/* DATA DESCRIPTION:
Citation:	Streletskiy, Dmitry A; CALM; GTN-P; Wieczorek, Mareike; Heim, Birgit; Bartsch, Annett (2025): GTN-P CALM: 35 years of Active Layer Thickness (ALT) across latitudinal and elevational gradients in the Northern Hemisphere [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.972777
	CALM_C7B (C7 B, Reindeer Depot) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 68.684720 * LONGITUDE: -134.145800 * ELEVATION: 6.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C8A (C8 A, Rengleng River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 67.795000 * LONGITUDE: -134.126100 * ELEVATION: 11.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements
	CALM_C8B (C8 B, Rengleng River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 67.795000 * LONGITUDE: -134.126100 * ELEVATION: 11.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C9A (C9 A, Mountain River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 65.673610 * LONGITUDE: -128.829200 * ELEVATION: 39.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements
	CALM_C10 (C10, Pump Station) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 65.283330 * LONGITUDE: -126.883300 * ELEVATION: 60.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements
	CALM_C11A (C11 A, Norman Wells) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 65.193060 * LONGITUDE: -126.468900 * ELEVATION: 61.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements
	CALM_C11B (C11 B, Norman Wells) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 65.193060 * LONGITUDE: -126.468900 * ELEVATION: 61.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C12 (C12, Great Bear River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 64.916670 * LONGITUDE: -125.583300 * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Ground temperature measurements
	CALM_C13 * LATITUDE: 63.500000 * LONGITUDE: -123.700000 * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM)
	CALM_C14A (C14 A, Willowlake River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 62.696670 * LONGITUDE: -123.065000 * ELEVATION: 108.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements
	CALM_C14B (C14 B, Willowlake River) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 62.696670 * LONGITUDE: -123.065000 * ELEVATION: 108.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C15A (C15 A, Fort Simpson) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 61.887780 * LONGITUDE: -121.601700 * ELEVATION: 171.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Thaw tube measurements
	CALM_C15B (C15 B, Fort Simpson) (URI: https://www2.gwu.edu/~calm/data/webforms/MT_f.html) * LATITUDE: 61.887780 * LONGITUDE: -121.601700 * ELEVATION: 171.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Caroline Duchesne, Sharon Smith, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C16 (C16, Ellesmere Island) (URI: https://www2.gwu.edu/~calm/data/webforms/c16_f.html) * LATITUDE: 81.400720 * LONGITUDE: -71.383330 * ELEVATION: 250.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Charles Tarnocai, Method: Ground temperature measurements
	CALM_C17 (C17, Sheldrake River) * LATITUDE: 56.633330 * LONGITUDE: -76.100000 * ELEVATION: 183.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Michel Allard, Method: Ground temperature measurements
	CALM_C18 (C18, Ellesmere Island) (URI: https://www2.gwu.edu/~calm/data/webforms/c18_f.html) * LATITUDE: 81.400720 * LONGITUDE: -76.709370 * ELEVATION: 78.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Jane Chisholm, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C19 (C19, Ellesmere Island) (URI: https://www2.gwu.edu/~calm/data/webforms/c19_f.html) * LATITUDE: 80.016670 * LONGITUDE: -85.750000 * ELEVATION: 39.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Antoni Lewkowicz, Method: Spatially-oriented mechanical probing at 1000 m Grid or Transect
	CALM_C20 * LATITUDE: 64.200000 * LONGITUDE: -95.500000 * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM)
	CALM_C21 (C21, Marmot Mountain) (URI: https://www2.gwu.edu/~calm/data/webforms/c21_f.html) * LATITUDE: 52.800000 * LONGITUDE: -118.116700 * ELEVATION: 2263.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Stuart Harris, Method: Ground temperature measurements
	CALM_C22 (C22, Dawson) (URI: https://www2.gwu.edu/~calm/data/webforms/c22_f.htm) * LATITUDE: 63.940540 * LONGITUDE: -138.591570 * ELEVATION: 469.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Edda Mutter, Method: Spatially-oriented mechanical probing at 50 m Grid or Transect
	CALM_C23 (C23, Teslin) (URI: https://www2.gwu.edu/~calm/data/webforms/c23_f.htm) * LATITUDE: 60.449430 * LONGITUDE: -133.520160 * ELEVATION: 835.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Leah M. Anderson, Method: Spatially-oriented mechanical probing at 50 m Grid or Transect
	CALM_C24 (C24, Beaver Creek) (URI: https://www2.gwu.edu/~calm/data/webforms/c24_f.htm) * LATITUDE: 62.337700 * LONGITUDE: -140.838350 * ELEVATION: 67.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Edda Mutter, Method: Spatially-oriented mechanical probing at 50 m Grid or Transect
	CALM_C25 (C25, Ukkusiksalik National Park) (URI: https://www2.gwu.edu/~calm/data/webforms/c25_f.htm) * LATITUDE: 65.878080 * LONGITUDE: -89.367170 * ELEVATION: 115.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Maryse Mahy, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C26 (C26, Borden Peninsula) (URI: https://www2.gwu.edu/~calm/data/webforms/c26_f.htm) * LATITUDE: 73.005400 * LONGITUDE: -80.687250 * ELEVATION: 46.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Maryse Mahy, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C27 (C27, Owl River) (URI: https://www2.gwu.edu/~calm/data/webforms/c27_f.htm) * LATITUDE: 66.879320 * LONGITUDE: -64.697280 * ELEVATION: 145.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Maryse Mahy, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_C28 (C28, Bylot Island) (URI: https://www2.gwu.edu/~calm/data/webforms/c28_f.htm) * LATITUDE: 72.810720 * LONGITUDE: -79.329280 * ELEVATION: 165.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Maryse Mahy, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
	CALM_CH1 (CH1, Corvatsch) (URI: https://www2.gwu.edu/~calm/data/webforms/ch1_f.html) * LATITUDE: 46.428790 * LONGITUDE: 9.821836 * ELEVATION: 2549.0 m * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 62 m borehole
	CALM_CH2 (CH2, Schilthorn) (URI: https://www2.gwu.edu/~calm/data/webforms/ch2_f.html) * LATITUDE: 46.558282 * LONGITUDE: 7.834426 * ELEVATION: 2221.0 m * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 101 m borehole
	CALM_CH3 (CH3, Lapires) * LATITUDE: 46.106117 * LONGITUDE: 7.284349 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 19 m borehole
	CALM_CH4 (CH4, Stockhorn) * LATITUDE: 45.986786 * LONGITUDE: 7.824201 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 100 m borehole
	CALM_CH5 (CH5, Les Attelas) * LATITUDE: 46.096772 * LONGITUDE: 7.273075 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 26 m borehole
	CALM_CH6 (CH6, Tsat) * LATITUDE: 46.109047 * LONGITUDE: 7.548442 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 20 m borehole
	CALM_CH7 (CH7, Gentianes) * LATITUDE: 46.083705 * LONGITUDE: 7.302472 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 20 m borehole
	CALM_CH8 (CH8, Fl ela) * LATITUDE: 46.748868 * LONGITUDE: 9.943555 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 23 m borehole
	CALM_CH9 (CH9, Muot da Barba Peider) * LATITUDE: 46.496573 * LONGITUDE: 9.931410 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 18 m borehole
	CALM_CH10 (CH10, Matterhorn) * LATITUDE: 45.982321 * LONGITUDE: 7.676049 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 53 m borehole
	CALM_CH11 (CH11, Schafberg) * LATITUDE: 46.498797 * LONGITUDE: 9.925215 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 60 m borehole
	CALM_CH12 (CH12, Ritigraben) * LATITUDE: 46.174694 * LONGITUDE: 7.849835 * LOCATION: Switzerland * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Daniel Vonder Muehll, Method: Ground temperature measurements from a 30 m borehole
	CALM_CN1 (CN1 , Yutulihe) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 50.933330 * LONGITUDE: 121.333300 * ELEVATION: 844.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements
	CALM_CN2 (CN2 , Fenghuo Shan) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 34.333330 * LONGITUDE: 97.866670 * ELEVATION: 4649.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements from a 35 m borehole
	CALM_CN3 (CN3 , Ecology Station) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 34.733330 * LONGITUDE: 92.883330 * ELEVATION: 4777.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements
	CALM_CN4 (CN4 , Wuli) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 35.433330 * LONGITUDE: 93.600000 * ELEVATION: 4461.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements
	CALM_CN5 (CN5 , Lower Two Rivers) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 34.466670 * LONGITUDE: 92.733330 * ELEVATION: 4571.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements from a 40 m borehole
	CALM_CN6 (CN6 , Upper Two Rivers) (URI: https://www2.gwu.edu/~calm/data/webforms/cn_f.htm) * LATITUDE: 31.816670 * LONGITUDE: 91.733330 * ELEVATION: 4788.0 m * LOCATION: China * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Lin Zhao, Method: Ground temperature measurements from a 18 m borehole
