date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,36.0,36.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,30.0,30.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,28.0,28.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,36.0,36.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,39.0,39.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,38.0,38.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,40.0,40.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,39.0,39.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,38.0,38.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,39.0,39.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,43.0,43.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,42.0,42.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,32.0,32.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,42.0,42.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,44.0,44.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,47.0,47.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,45.0,45.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,49.0,49.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,43.0,43.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,40.0,40.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,42.0,42.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,59.0,59.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,47.0,47.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,47.0,47.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,46.0,46.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,49.0,49.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,49.0,49.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,50.0,50.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,50.0,50.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,58.0,58.0,1,Brown_etal_2000_calm,
1990-09-01,Atkasuk,70.45,-157.4,Frost Probe Transect or Grid,52.0,52.0,1,Brown_etal_2000_calm,
