site_id,bonnaventure_point_type,pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,method,bonnaventure_published_site_count,bonnaventure_shared_site_count,bonnaventure_protocol_limit_cm,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_model_or_estimate
PP21,WPT,0,63.134863,-117.246712,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP22,WPT,1,63.13791904,-117.254288,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP23,WPT,1,63.17090401,-117.279241,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP24,WPT,0,63.16826304,-117.277086,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP25,WPT,0,63.168573,-117.276368,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP26,WPT,0,63.16912998,-117.280225,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP27,WPT,0,63.16872496,-117.281499,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP28,WPT,0,63.17077098,-117.283421,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP29,WPT,0,63.17121296,-117.283355,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP3,WPT,1,63.15113797,-117.222157,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP30,WPT,1,63.17813398,-117.309239,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP31,WPT,1,63.17852299,-117.302619,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP32,WPT,1,63.17784003,-117.302971,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP33,WPT,0,63.17820104,-117.302895,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP34,WPT,1,63.17775697,-117.295904,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP35,WPT,1,63.17791002,-117.294458,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP36,WPT,0,63.17231703,-117.287282,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP37,WPT,0,63.16576598,-117.274446,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP38,WPT,1,63.15899198,-117.274681,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP39,WPT,1,63.158966,-117.273194,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP4,WPT,1,63.15091702,-117.221892,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP40,WPT,1,63.15901201,-117.269681,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP41,WPT,1,63.15888402,-117.27072,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP42,WPT,0,63.15912198,-117.275888,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
