date,thaw_depth,pf_depth,obs_limit,pf_observed,transect_name,transect_point,lon,lat,source,site_id,method
2020-08-17,35.0,35.0,120,1,BM-1,0,-148.45996,70.23659,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,34.0,34.0,120,1,BM-1,1,-148.45995725004616,70.23659900000095,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,35.0,35.0,120,1,BM-1,2,-148.45995450008996,70.23660800000184,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,35.0,35.0,120,1,BM-1,3,-148.45995175013138,70.23661700000267,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,31.0,31.0,120,1,BM-1,4,-148.45994900017044,70.2366260000035,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,31.0,31.0,120,1,BM-1,5,-148.45994625020714,70.23663500000423,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,38.0,38.0,120,1,BM-1,6,-148.45994350024145,70.23664400000493,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,34.0,34.0,120,1,BM-1,7,-148.4599407502734,70.23665300000557,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,43.0,43.0,120,1,BM-1,8,-148.459938000303,70.23666200000619,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,37.0,37.0,120,1,BM-1,9,-148.45993525033023,70.23667100000672,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,41.0,41.0,120,1,BM-1,10,-148.45993250035508,70.23668000000725,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,33.0,33.0,120,1,BM-1,11,-148.45992975037757,70.2366890000077,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,35.0,35.0,120,1,BM-1,12,-148.4599270003977,70.23669800000809,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,42.0,42.0,120,1,BM-1,13,-148.45992425041547,70.23670700000848,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,46.0,46.0,120,1,BM-1,14,-148.45992150043082,70.23671600000878,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,45.0,45.0,120,1,BM-1,15,-148.45991875044385,70.23672500000905,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,47.0,47.0,120,1,BM-1,16,-148.4599160004545,70.23673400000926,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,44.0,44.0,120,1,BM-1,17,-148.4599132504628,70.23674300000943,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,48.0,48.0,120,1,BM-1,18,-148.4599105004687,70.23675200000959,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,44.0,44.0,120,1,BM-1,19,-148.45990775047227,70.23676100000962,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,41.0,41.0,120,1,BM-1,20,-148.45990500047344,70.23677000000966,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,33.0,33.0,120,1,BM-1,21,-148.45990225047225,70.23677900000963,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,34.0,34.0,120,1,BM-1,22,-148.4598995004687,70.23678800000957,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,30.0,30.0,120,1,BM-1,23,-148.4598967504628,70.23679700000943,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,34.0,34.0,120,1,BM-1,24,-148.4598940004545,70.23680600000927,Peirce_2020,Peirce_2020_BM-1,tp
2020-08-17,35.0,35.0,120,1,BM-1,25,-148.45989125044386,70.23681500000906,Peirce_2020,Peirce_2020_BM-1,tp
