Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
Colleen,T2,20200815,33,0,51,
Colleen,T2,20200815,34,0,53,
Colleen,T2,20200815,35,3,57,
Colleen,T2,20200815,36,25,57,
Colleen,T2,20200815,37,39,50,
Colleen,T2,20200815,38,26,56,
Colleen,T2,20200815,39,24,56,
Colleen,T2,20200815,40,25,53,
Colleen,T2,20200815,41,28,49,
Colleen,T2,20200815,42,25,54,
Colleen,T2,20200815,43,36,45,
Colleen,T2,20200815,44,39,41,
Colleen,T2,20200815,45,45,44,
Colleen,T2,20200815,46,50,33,
Colleen,T2,20200815,47,45,36,
Colleen,T2,20200815,48,40,38,
Colleen,T2,20200815,49,16,56,
Colleen,T2,20200815,50,0,45,wet
Colleen,T2,20200815,51,0,42,
Colleen,T2,20200815,52,0,54,
Colleen,T2,20200815,53,0,55,
Colleen,T2,20200815,54,0,57,
Colleen,T2,20200815,55,0,53,
Colleen,T2,20200815,56,0,55,
Colleen,T2,20200815,57,0,48,
Colleen,T2,20200815,58,0,53,
Colleen,T2,20200815,59,0,54,
Colleen,T2,20200815,60,0,56,
Colleen,T2,20200815,61,0,53,
Colleen,T2,20200815,62,0,44,
Colleen,T2,20200815,63,0,45,
Colleen,T2,20200815,64,0,45,
Colleen,T2,20200815,65,0,42,
Colleen,T2,20200815,66,0,41,
Colleen,T2,20200815,67,0,50,
Colleen,T2,20200815,68,0,63,
Colleen,T2,20200815,69,7,51,
Colleen,T2,20200815,70,9,49,
Colleen,T2,20200815,71,4,56,
Colleen,T2,20200815,72,0,54,
Colleen,T2,20200815,73,0,55,
Colleen,T2,20200815,74,0,50,
Colleen,T2,20200815,75,0,45,
Colleen,T2,20200815,76,0,42,
Colleen,T2,20200815,77,0,47,
Colleen,T2,20200815,78,0,45,
Colleen,T2,20200815,79,0,47,
Colleen,T2,20200815,80,0,41,
Colleen,T2,20200815,81,0,42,
Colleen,T2,20200815,82,0,46,
Colleen,T2,20200815,83,0,64,
Colleen,T2,20200815,84,10,86,
Colleen,T2,20200815,85,45,55,
Colleen,T2,20200815,86,64,38,
Colleen,T2,20200815,87,55,43,
Colleen,T2,20200815,88,42,55,
Colleen,T2,20200815,89,36,58,
Colleen,T2,20200815,90,24,71,
Colleen,T2,20200815,91,18,72,
Colleen,T2,20200815,92,9,67,
Colleen,T2,20200815,93,21,71,
Colleen,T2,20200815,94,0,67,
Colleen,T2,20200815,95,0,47,
Colleen,T2,20200815,96,0,50,
Colleen,T2,20200815,97,0,55,
Colleen,T2,20200815,98,0,52,
Colleen,T2,20200815,99,0,51,
Colleen,T2,20200815,100,0,53,
Colleen,T2,20200815,105,0,63,
Colleen,T2,20200815,110,0,68,
Colleen,T2,20200815,115,0,47,close to water
Colleen,T2,20200815,120,0,65,
Colleen,T2,20200815,125,0,78,wet
Colleen,T2,20200815,130,0,53,
Colleen,T2,20200815,135,16,50,
Colleen,T2,20200815,140,0,48,
Colleen,T2,20200815,145,0,47,
Colleen,T2,20200815,150,0,54,
Colleen,T2,20200815,155,0,57,
Colleen,T2,20200815,160,0,56,
Colleen,T2,20200815,165,0,58,
Colleen,T2,20200815,170,26,59,
Colleen,T2,20200815,175,0,48,
Colleen,T2,20200815,180,0,41,
Colleen,T2,20200815,185,0,53,
Colleen,T2,20200815,190,0,51,
Colleen,T2,20200815,195,0,50,wet
Colleen,T2,20200815,200,0,48,
Airport,T3,20200816,0,0,Not recorded,"road berm from 0-3m, buried flags"
Airport,T3,20200816,1,0,Not recorded,"road berm from 0-3m, buried flags"
Airport,T3,20200816,2,0,Not recorded,"road berm from 0-3m, buried flags"
Airport,T3,20200816,3,0,Not recorded,"road berm from 0-3m, buried flags"
Airport,T3,20200816,4,0,65,
Airport,T3,20200816,5,0,57,
Airport,T3,20200816,6,0,59,
Airport,T3,20200816,7,0,50,
Airport,T3,20200816,8,0,45,
Airport,T3,20200816,9,0,44,
Airport,T3,20200816,10,0,61,
Airport,T3,20200816,11,0,49,
Airport,T3,20200816,12,0,49,
Airport,T3,20200816,13,0,58,
Airport,T3,20200816,14,0,55,
Airport,T3,20200816,15,0,55,
Airport,T3,20200816,16,0,63,
Airport,T3,20200816,17,0,53,
Airport,T3,20200816,18,0,57,
Airport,T3,20200816,19,0,57,
Airport,T3,20200816,20,0,59,
Airport,T3,20200816,21,0,64,
Airport,T3,20200816,22,0,58,
Airport,T3,20200816,23,0,57,
Airport,T3,20200816,24,0,57,
Airport,T3,20200816,25,0,58,
Airport,T3,20200816,26,0,49,
Airport,T3,20200816,27,0,49,
Airport,T3,20200816,28,0,48,
Airport,T3,20200816,29,0,51,
Airport,T3,20200816,30,0,49,
Airport,T3,20200816,31,0,51,
Airport,T3,20200816,32,0,56,
Airport,T3,20200816,33,0,69,
Airport,T3,20200816,34,0,38,
Airport,T3,20200816,35,0,49,
Airport,T3,20200816,36,0,52,
Airport,T3,20200816,37,0,57,
Airport,T3,20200816,38,0,49,
Airport,T3,20200816,39,0,54,
Airport,T3,20200816,40,0,57,
Airport,T3,20200816,41,0,50,
Airport,T3,20200816,42,0,47,
Airport,T3,20200816,43,0,48,
Airport,T3,20200816,44,0,51,
Airport,T3,20200816,45,0,60,
Airport,T3,20200816,46,0,43,
Airport,T3,20200816,47,0,81,edge of trough
Airport,T3,20200816,48,0,55,
Airport,T3,20200816,49,1,56,
Airport,T3,20200816,50,0,66,
Airport,T3,20200816,51,0,61,
Airport,T3,20200816,52,0,53,
Airport,T3,20200816,53,0,50,
Airport,T3,20200816,54,0,56,
Airport,T3,20200816,55,0,59,
Airport,T3,20200816,56,0,61,
Airport,T3,20200816,57,0,60,
Airport,T3,20200816,58,0,60,
Airport,T3,20200816,59,0,58,
Airport,T3,20200816,60,0,63,
Airport,T3,20200816,61,0,56,
Airport,T3,20200816,62,0,53,
Airport,T3,20200816,63,0,56,
Airport,T3,20200816,64,0,51,
Airport,T3,20200816,65,0,44,rim
Airport,T3,20200816,66,0,42,rim
Airport,T3,20200816,67,0,51,
Airport,T3,20200816,68,0,77,edge of trough; active erosion of trough at 68-72m
Airport,T3,20200816,69,1,51,
Airport,T3,20200816,70,5,52,
Airport,T3,20200816,71,0,44,no water
Airport,T3,20200816,72,0,79,collapsed rim
Airport,T3,20200816,73,0,48,
Airport,T3,20200816,74,0,55,
Airport,T3,20200816,75,0,61,
Airport,T3,20200816,76,0,59,
Airport,T3,20200816,77,0,55,
Airport,T3,20200816,78,0,56,
Airport,T3,20200816,79,0,56,
Airport,T3,20200816,80,0,59,
Airport,T3,20200816,81,0,55,
Airport,T3,20200816,82,0,52,
Airport,T3,20200816,83,0,69,
Airport,T3,20200816,84,0,64,
Airport,T3,20200816,85,0,60,
Airport,T3,20200816,86,0,59,
Airport,T3,20200816,87,0,65,
Airport,T3,20200816,88,0,53,
Airport,T3,20200816,89,0,51,
Airport,T3,20200816,90,0,59,
Airport,T3,20200816,91,0,55,
Airport,T3,20200816,92,0,61,
Airport,T3,20200816,93,0,59,
Airport,T3,20200816,94,0,65,
Airport,T3,20200816,95,0,65,
Airport,T3,20200816,96,0,54,
Airport,T3,20200816,97,0,54,
Airport,T3,20200816,98,0,61,
Airport,T3,20200816,99,0,60,
Airport,T3,20200816,100,0,67,
Airport,T4,20200816,0,34,>106,gravel 0-20
Airport,T4,20200816,1,14,94,
Airport,T4,20200816,2,1,74,
Airport,T4,20200816,3,10,59,
Airport,T4,20200816,4,19,57,
Airport,T4,20200816,5,21,59,
Airport,T4,20200816,6,21,67,
Airport,T4,20200816,7,20,81,
Airport,T4,20200816,8,27,63,
Airport,T4,20200816,9,23,56,
Airport,T4,20200816,10,18,60,
Airport,T4,20200816,11,19,61,
Airport,T4,20200816,12,20,61,
Airport,T4,20200816,13,29,64,
Airport,T4,20200816,14,40,71,
Airport,T4,20200816,15,29,81,
Airport,T4,20200816,16,18,96,
Airport,T4,20200816,17,18,105,
Airport,T4,20200816,18,25,104,
Airport,T4,20200816,19,26,>130,gravel; over fiber optic cable
Airport,T4,20200816,20,50,>50,gravel; over fiber optic cable
Airport,T4,20200816,21,59,>113,over fiber optic cable
Airport,T4,20200816,22,40,>116,over fiber optic cable
Airport,T4,20200816,23,25,120,
Airport,T4,20200816,24,25,111,
Airport,T4,20200816,25,30,117,
Airport,T4,20200816,26,39,113,
Airport,T4,20200816,27,40,110,
Airport,T4,20200816,28,61,>104,
Airport,T4,20200816,29,71,>165,too deep to probe (>165)
Airport,T4,20200816,30,65,>165,too deep to probe (>165)
Airport,T4,20200816,31,54,101,
Airport,T4,20200816,32,45,96,
Airport,T4,20200816,33,47,71,
Airport,T4,20200816,34,42,82,
Airport,T4,20200816,35,60,73,
Airport,T4,20200816,36,85,64,
Airport,T4,20200816,37,90,69,
Airport,T4,20200816,38,94,51,
Airport,T4,20200816,39,49,67,
Airport,T4,20200816,40,45,57,
Airport,T4,20200816,41,39,46,
Airport,T4,20200816,42,39,51,
Airport,T4,20200816,43,23,63,
Airport,T4,20200816,44,35,54,
Airport,T4,20200816,45,37,59,
Airport,T4,20200816,46,48,50,
Airport,T4,20200816,47,44,60,
Airport,T4,20200816,48,70,52,
Airport,T4,20200816,49,52,70,
Airport,T4,20200816,50,40,60,
Airport,T4,20200816,51,32,53,
Airport,T4,20200816,52,23,59,
Airport,T4,20200816,53,16,59,
Airport,T4,20200816,54,20,49,
Airport,T4,20200816,55,17,48,
Airport,T4,20200816,56,15,50,
Airport,T4,20200816,57,17,48,
Airport,T4,20200816,58,17,47,
Airport,T4,20200816,59,14,54,
Airport,T4,20200816,60,18,46,
Airport,T4,20200816,61,17,46,
Airport,T4,20200816,62,14,46,
Airport,T4,20200816,63,7,52,
Airport,T4,20200816,64,14,42,
Airport,T4,20200816,65,17,38,
Airport,T4,20200816,66,13,45,
Airport,T4,20200816,67,5,55,
Airport,T4,20200816,68,5,53,
Airport,T4,20200816,69,17,38,
Airport,T4,20200816,70,13,45,
Airport,T4,20200816,71,16,44,
Airport,T4,20200816,72,22,39,
Airport,T4,20200816,73,20,48,
Airport,T4,20200816,74,22,42,
Airport,T4,20200816,75,10,54,
Airport,T4,20200816,76,12,44,
Airport,T4,20200816,77,10,46,
Airport,T4,20200816,78,10,49,
Airport,T4,20200816,79,19,47,gravel from flood 79.0-86.2
Airport,T4,20200816,80,20,57,
Airport,T4,20200816,81,13,72,
Airport,T4,20200816,82,12,73,
Airport,T4,20200816,83,13,76,
Airport,T4,20200816,84,12,77,
Airport,T4,20200816,85,13,72,
Airport,T4,20200816,86,17,61,
Airport,T4,20200816,87,20,45,
Airport,T4,20200816,88,17,47,
Airport,T4,20200816,89,20,44,
Airport,T4,20200816,90,20,44,
Airport,T4,20200816,91,11,51,
Airport,T4,20200816,92,11,45,
Airport,T4,20200816,93,20,39,
Airport,T4,20200816,94,17,43,
Airport,T4,20200816,95,20,38,
Airport,T4,20200816,96,14,43,
Airport,T4,20200816,97,16,41,
Airport,T4,20200816,98,14,44,
Airport,T4,20200816,99,18,39,
Airport,T4,20200816,100,14,41,
Airport,T5,20200816,0,0,Not recorded,"heavy road disturbance from 0-19m, thaw not recorded"
Airport,T5,20200816,20,0,71,
Airport,T5,20200816,21,12,55,trough
Airport,T5,20200816,22,18,50,trough
Airport,T5,20200816,23,21,47,trough
Airport,T5,20200816,24,31,36,trough
Airport,T5,20200816,25,0,61,trough (20cm water)
Airport,T5,20200816,26,0,53,
Airport,T5,20200816,27,0,54,
Airport,T5,20200816,28,0,53,trough (20cm water)
Airport,T5,20200816,29,0,64,
Airport,T5,20200816,30,0,60,
Airport,T5,20200816,31,0,64,
Airport,T5,20200816,32,0,65,
Airport,T5,20200816,33,0,50,
Airport,T5,20200816,34,0,45,
Airport,T5,20200816,35,0,40,
Airport,T5,20200816,36,0,49,
Airport,T5,20200816,37,0,52,
Airport,T5,20200816,38,0,49,
Airport,T5,20200816,39,20,40,
Airport,T5,20200816,40,0,51,
Airport,T5,20200816,41,0,59,
Airport,T5,20200816,42,0,55,
Airport,T5,20200816,43,0,59,
Airport,T5,20200816,44,0,59,
Airport,T5,20200816,45,0,62,
Airport,T5,20200816,46,0,63,
Airport,T5,20200816,47,0,60,
Airport,T5,20200816,48,0,55,
Airport,T5,20200816,49,0,49,
Airport,T5,20200816,50,0,46,
Airport,T5,20200816,51,0,44,
Airport,T5,20200816,52,0,41,
Airport,T5,20200816,53,0,45,
Airport,T5,20200816,54,0,45,
Airport,T5,20200816,55,0,45,
Airport,T5,20200816,56,0,45,
Airport,T5,20200816,57,0,47,
Airport,T5,20200816,58,0,42,
Airport,T5,20200816,59,0,46,
Airport,T5,20200816,60,0,49,
Airport,T5,20200816,61,0,49,
Airport,T5,20200816,62,0,52,
Airport,T5,20200816,63,0,59,
Airport,T5,20200816,64,0,59,
Airport,T5,20200816,65,0,60,
Airport,T5,20200816,66,0,59,
Airport,T5,20200816,67,0,53,
Airport,T5,20200816,68,0,42,
Airport,T5,20200816,69,0,53,
Airport,T5,20200816,70,35,42,
Airport,T5,20200816,71,41,48,
Airport,T5,20200816,72,31,50,
Airport,T5,20200816,73,0,55,
Airport,T5,20200816,74,0,50,
Airport,T5,20200816,75,0,51,
Airport,T5,20200816,76,0,54,
Airport,T5,20200816,77,0,49,
Airport,T5,20200816,78,0,51,
Airport,T5,20200816,79,0,53,
Airport,T5,20200816,80,0,51,
Airport,T5,20200816,81,0,52,
Airport,T5,20200816,82,0,52,
Airport,T5,20200816,83,0,50,
Airport,T5,20200816,84,16,47,
Airport,T5,20200816,85,24,42,
Airport,T5,20200816,86,0,51,
Airport,T5,20200816,87,0,49,
Airport,T5,20200816,88,0,47,
Airport,T5,20200816,89,0,49,
Airport,T5,20200816,90,0,45,
Airport,T5,20200816,91,0,44,
Airport,T5,20200816,92,0,45,
Airport,T5,20200816,93,13,30,trough
Airport,T5,20200816,94,0,49,
Airport,T5,20200816,95,0,43,
Airport,T5,20200816,96,0,49,
Airport,T5,20200816,97,0,53,
Airport,T5,20200816,98,0,48,
Airport,T5,20200816,99,0,51,
Airport,T5,20200816,100,0,49,
