Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
NIRPO,NIRPO-1,20200817,11,19,50,water trough 10.5-17.8
NIRPO,NIRPO-1,20200817,12,39,51,
NIRPO,NIRPO-1,20200817,13,46,53,
NIRPO,NIRPO-1,20200817,14,60,34,
NIRPO,NIRPO-1,20200817,15,51,51,
NIRPO,NIRPO-1,20200817,16,37,57,
NIRPO,NIRPO-1,20200817,17,18,57,
NIRPO,NIRPO-1,20200817,18,0,51,
NIRPO,NIRPO-1,20200817,19,0,46,
NIRPO,NIRPO-1,20200817,20,0,46,
NIRPO,NIRPO-1,20200817,21,0,44,
NIRPO,NIRPO-1,20200817,22,0,49,
NIRPO,NIRPO-1,20200817,23,0,44,
NIRPO,NIRPO-1,20200817,24,0,49,
NIRPO,NIRPO-1,20200817,25,0,45,
NIRPO,NIRPO-1,20200817,26,0,44,
NIRPO,NIRPO-1,20200817,27,0,34,inter hummock
NIRPO,NIRPO-1,20200817,28,0,40,
NIRPO,NIRPO-1,20200817,29,0,35,rim
NIRPO,NIRPO-1,20200817,30,0,44,rim
NIRPO,NIRPO-1,20200817,31,0,44,rim
NIRPO,NIRPO-1,20200817,32,15,44,trough 31.7-37.5
NIRPO,NIRPO-1,20200817,33,25,48,
NIRPO,NIRPO-1,20200817,34,39,38,
NIRPO,NIRPO-1,20200817,35,38,31,
NIRPO,NIRPO-1,20200817,36,16,52,
NIRPO,NIRPO-1,20200817,37,17,41,
NIRPO,NIRPO-1,20200817,38,0,40,
NIRPO,NIRPO-1,20200817,39,0,41,
NIRPO,NIRPO-1,20200817,40,0,51,rim
NIRPO,NIRPO-1,20200817,41,0,43,rim
NIRPO,NIRPO-1,20200817,42,0,45,
NIRPO,NIRPO-1,20200817,43,0,41,
NIRPO,NIRPO-1,20200817,44,0,42,U
NIRPO,NIRPO-1,20200817,45,0,39,U4
NIRPO,NIRPO-1,20200817,46,0,39,U4
NIRPO,NIRPO-1,20200817,47,0,44,U4
NIRPO,NIRPO-1,20200817,48,0,42,U4
NIRPO,NIRPO-1,20200817,49,0,46,U4
NIRPO,NIRPO-1,20200817,50,0,44,U4
NIRPO,NIRPO-1,20200817,51,0,45,U4
NIRPO,NIRPO-1,20200817,52,0,49,U4
NIRPO,NIRPO-1,20200817,53,0,46,U4
NIRPO,NIRPO-1,20200817,54,0,47,U4
NIRPO,NIRPO-1,20200817,55,0,44,U4
NIRPO,NIRPO-1,20200817,56,0,43,U4
NIRPO,NIRPO-1,20200817,57,0,30,trough
NIRPO,NIRPO-1,20200817,58,0,26,trough
NIRPO,NIRPO-1,20200817,59,0,35,trough
NIRPO,NIRPO-1,20200817,60,0,34,trough
NIRPO,NIRPO-1,20200817,61,0,35,trough
NIRPO,NIRPO-1,20200817,62,0,35,trough
NIRPO,NIRPO-1,20200817,63,0,25,trough
NIRPO,NIRPO-1,20200817,64,2,31,trough
NIRPO,NIRPO-1,20200817,65,0,48,trough
NIRPO,NIRPO-1,20200817,66,3,50,margin of trough
NIRPO,NIRPO-1,20200817,67,0,60,
NIRPO,NIRPO-1,20200817,68,0,67,rim
NIRPO,NIRPO-1,20200817,69,0,45,
NIRPO,NIRPO-1,20200817,70,0,36,
NIRPO,NIRPO-1,20200817,71,0,37,U4
NIRPO,NIRPO-1,20200817,72,0,38,U4
NIRPO,NIRPO-1,20200817,73,0,39,U4
NIRPO,NIRPO-1,20200817,74,0,40,U4
NIRPO,NIRPO-1,20200817,75,0,41,U4
NIRPO,NIRPO-1,20200817,76,0,40,U4
NIRPO,NIRPO-1,20200817,77,0,40,U4
NIRPO,NIRPO-1,20200817,78,0,36,U4
NIRPO,NIRPO-1,20200817,79,0,34,U4
NIRPO,NIRPO-1,20200817,80,0,41,U4
NIRPO,NIRPO-1,20200817,81,0,34,small trough
NIRPO,NIRPO-1,20200817,82,0,45,U4
NIRPO,NIRPO-1,20200817,83,0,44,U4
NIRPO,NIRPO-1,20200817,84,0,35,U4
NIRPO,NIRPO-1,20200817,85,0,37,U4
NIRPO,NIRPO-1,20200817,86,0,43,U4
NIRPO,NIRPO-1,20200817,87,0,40,U4
NIRPO,NIRPO-1,20200817,88,0,40,U4
NIRPO,NIRPO-1,20200817,89,0,42,U4
NIRPO,NIRPO-1,20200817,90,0,43,U4
NIRPO,NIRPO-1,20200817,91,0,45,U4
NIRPO,NIRPO-1,20200817,92,0,55,U4
NIRPO,NIRPO-1,20200817,93,17,45,trough
NIRPO,NIRPO-1,20200817,94,30,41,trough
NIRPO,NIRPO-1,20200817,95,23,51,trough
NIRPO,NIRPO-1,20200817,96,2,58,trough
NIRPO,NIRPO-1,20200817,97,0,59,rim
NIRPO,NIRPO-1,20200817,98,0,35,U4
NIRPO,NIRPO-1,20200817,99,0,31,U4
NIRPO,NIRPO-1,20200817,100,0,39,U4
Joregenson,JS,20200815,0,0,46,
Joregenson,JS,20200815,1,0,45,
Joregenson,JS,20200815,2,0,56,
Joregenson,JS,20200815,3,0,40,
Joregenson,JS,20200815,4,0,50,
Joregenson,JS,20200815,5,0,43,
Joregenson,JS,20200815,6,0,44,
Joregenson,JS,20200815,7,0,46,
Joregenson,JS,20200815,8,0,48,
Joregenson,JS,20200815,9,0,47,
Joregenson,JS,20200815,10,0,50,
Joregenson,JS,20200815,11,0,46,
Joregenson,JS,20200815,12,0,49,
Joregenson,JS,20200815,13,0,50,
Joregenson,JS,20200815,14,0,40,
Joregenson,JS,20200815,15,0,54,
Joregenson,JS,20200815,16,0,50,
Joregenson,JS,20200815,17,0,54,
Joregenson,JS,20200815,18,0,49,
Joregenson,JS,20200815,19,0,40,
Joregenson,JS,20200815,20,0,48,
Joregenson,JS,20200815,21,0,36,
Joregenson,JS,20200815,22,0,34,
Joregenson,JS,20200815,23,0,48,
Joregenson,JS,20200815,24,0,60,
Joregenson,JS,20200815,25,22,38,water trough 24.5-28.15
Joregenson,JS,20200815,26,25,38,
Joregenson,JS,20200815,27,26,38,
Joregenson,JS,20200815,28,7,52,
Joregenson,JS,20200815,29,0,45,
Joregenson,JS,20200815,30,0,49,
Joregenson,JS,20200815,31,0,52,
Joregenson,JS,20200815,32,0,50,
Joregenson,JS,20200815,33,0,52,
Joregenson,JS,20200815,34,0,40,
Joregenson,JS,20200815,35,0,35,
Joregenson,JS,20200815,36,0,35,
Joregenson,JS,20200815,37,0,35,
Joregenson,JS,20200815,38,0,49,
Joregenson,JS,20200815,39,0,38,
Joregenson,JS,20200815,40,0,40,
Joregenson,JS,20200815,41,0,41,
Joregenson,JS,20200815,42,0,49,
Joregenson,JS,20200815,43,0,34,
Joregenson,JS,20200815,44,0,45,
Joregenson,JS,20200815,45,0,37,
Joregenson,JS,20200815,46,0,42,
Joregenson,JS,20200815,47,0,50,
Joregenson,JS,20200815,48,0,50,
Joregenson,JS,20200815,49,0,55,
Joregenson,JS,20200815,50,0,58,
Joregenson,JS,20200815,51,0,54,
Joregenson,JS,20200815,52,0,57,
Joregenson,JS,20200815,53,0,55,
Joregenson,JS,20200815,54,0,55,
Joregenson,JS,20200815,55,0,52,
Joregenson,JS,20200815,56,0,52,
Joregenson,JS,20200815,57,0,42,
Joregenson,JS,20200815,58,0,59,
Joregenson,JS,20200815,59,25,35,water trough 58.65-61.60
Joregenson,JS,20200815,60,26,39,
Joregenson,JS,20200815,61,24,33,
Joregenson,JS,20200815,62,0,56,
Joregenson,JS,20200815,63,0,44,
Joregenson,JS,20200815,64,0,54,
Joregenson,JS,20200815,65,0,53,
Joregenson,JS,20200815,66,0,52,
Joregenson,JS,20200815,67,0,52,
Joregenson,JS,20200815,68,0,56,
Joregenson,JS,20200815,69,0,53,
Joregenson,JS,20200815,70,0,55,
Joregenson,JS,20200815,71,0,57,
Joregenson,JS,20200815,72,37,38,water trough 71.65-74.9
Joregenson,JS,20200815,73,45,42,
Joregenson,JS,20200815,74,39,45,
Joregenson,JS,20200815,75,0,71,
Joregenson,JS,20200815,76,0,48,
Joregenson,JS,20200815,77,0,55,
Joregenson,JS,20200815,78,0,52,
Joregenson,JS,20200815,79,0,47,
Joregenson,JS,20200815,80,0,49,
Joregenson,JS,20200815,81,0,43,
Joregenson,JS,20200815,82,0,44,
Joregenson,JS,20200815,83,0,38,
Joregenson,JS,20200815,84,0,51,
Joregenson,JS,20200815,85,20,40,water trough 84.2-85.75
Joregenson,JS,20200815,86,0,59,
Joregenson,JS,20200815,87,0,46,
Joregenson,JS,20200815,88,0,48,
Joregenson,JS,20200815,89,0,50,
