site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,quality_flag_pf_state_assumed,quality_flag_source_unit_or_code_recoded,quality_flag_date_source_approximate,quality_flag_coord_lookup_or_interpolated
Balloon_3_Schaefer,2013-08-11,61.284804578947366,-162.8642645263158,77.41132494631579,1,77.41132494631579,,gp,Moore_et_al_2025,19,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28482666666667,-162.864222,79.01907849,1,79.01907849,,gp,Moore_et_al_2025,3,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.2848527,-162.86418815,82.414625067,1,82.414625067,,gp,Moore_et_al_2025,20,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28488973333334,-162.86414786666668,77.87460636600001,1,77.87460636600001,,gp,Moore_et_al_2025,15,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.284914333333326,-162.86412433333334,77.33603043000001,1,77.33603043000001,,gp,Moore_et_al_2025,3,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.284939758620695,-162.86409944827585,90.51893514,1,90.51893514,,gp,Moore_et_al_2025,29,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28497753333333,-162.8640520666667,91.338983712,1,91.338983712,,gp,Moore_et_al_2025,15,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.2849955,-162.8640234,93.10618456649999,1,93.10618456649999,,gp,Moore_et_al_2025,11,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28502976190477,-162.86399533333335,90.5840183152381,1,90.5840183152381,,gp,Moore_et_al_2025,21,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28506553333333,-162.86395753333332,84.186033024,1,84.186033024,,gp,Moore_et_al_2025,15,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285087,-162.86392080000002,83.61379818,1,83.61379818,,gp,Moore_et_al_2025,5,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285116272727265,-162.86388304545454,76.46008026272727,1,76.46008026272727,,gp,Moore_et_al_2025,22,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285140000000006,-162.86383833333332,71.150830245,1,71.150830245,,gp,Moore_et_al_2025,4,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28516468,-162.8638008,71.7988039308,1,71.7988039308,,gp,Moore_et_al_2025,25,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28519181818182,-162.86375309090909,72.93715624227274,1,72.93715624227274,,gp,Moore_et_al_2025,12,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285213799999994,-162.86373,77.731546176,1,77.731546176,,gp,Moore_et_al_2025,10,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28524193333333,-162.86372519999998,84.6067953,1,84.6067953,,gp,Moore_et_al_2025,15,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285264999999995,-162.86373675,76.178935215,1,76.178935215,,gp,Moore_et_al_2025,4,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28529480952381,-162.86376776190477,71.48142943714285,1,71.48142943714285,,gp,Moore_et_al_2025,21,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285321714285715,-162.86380814285715,64.12410677571428,1,64.12410677571428,,gp,Moore_et_al_2025,7,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28534440909091,-162.86386186363637,66.98146356000001,1,66.98146356000001,,gp,Moore_et_al_2025,22,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285363,-162.8639145,67.27982048999999,1,67.27982048999999,,gp,Moore_et_al_2025,2,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28537878947369,-162.86396663157896,73.01325474473684,1,73.01325474473684,,gp,Moore_et_al_2025,19,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285405499999996,-162.86401666666666,77.16772414500001,1,77.16772414500001,,gp,Moore_et_al_2025,6,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28542321428571,-162.864065,72.27486552214286,1,72.27486552214286,,gp,Moore_et_al_2025,14,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.2854472,-162.86412813333334,67.06944057,1,67.06944057,,gp,Moore_et_al_2025,15,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28546142857143,-162.86417014285715,72.09454006285715,1,72.09454006285715,,gp,Moore_et_al_2025,7,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.285483318181825,-162.8642324090909,65.48967084272728,1,65.48967084272728,,gp,Moore_et_al_2025,22,5.0,True,True,False,False,False
Balloon_3_Schaefer,2013-08-11,61.28550255555555,-162.8642927777778,65.44249475,1,65.44249475,,gp,Moore_et_al_2025,9,5.0,True,True,False,False,False
