lat,lon,date,source,site_id,pf_observed,pf_depth,obs_limit,thaw_depth,method,walker_thaw_depth_raw,distance_m
70.22354442611407,-148.4707093,2021-08-24,Walker_2022,Colleen_T1_52,1,57,,57,tp,57,52
70.22355254967455,-148.4706981,2021-08-24,Walker_2022,Colleen_T1_53,1,55,,55,tp,55,53
70.22356067323432,-148.4706869,2021-08-24,Walker_2022,Colleen_T1_54,1,57,,57,tp,57,54
70.22356879679339,-148.4706757,2021-08-24,Walker_2022,Colleen_T1_55,1,58,,58,tp,58,55
70.22357692035175,-148.4706645,2021-08-24,Walker_2022,Colleen_T1_56,1,60,,60,tp,60,56
70.22358504390942,-148.4706533,2021-08-24,Walker_2022,Colleen_T1_57,1,59,,59,tp,59,57
70.22359316746636,-148.4706421,2021-08-24,Walker_2022,Colleen_T1_58,1,54,,54,tp,54,58
70.22360129102263,-148.470631,2021-08-24,Walker_2022,Colleen_T1_59,1,46,,46,tp,46,59
70.22360941457818,-148.4706198,2021-08-24,Walker_2022,Colleen_T1_60,1,56,,56,tp,56,60
70.22361753813303,-148.4706086,2021-08-24,Walker_2022,Colleen_T1_61,1,54,,54,tp,54,61
70.22362566168717,-148.4705974,2021-08-24,Walker_2022,Colleen_T1_62,1,54,,54,tp,54,62
70.22363378524061,-148.4705862,2021-08-24,Walker_2022,Colleen_T1_63,1,60,,60,tp,60,63
70.22364190879335,-148.470575,2021-08-24,Walker_2022,Colleen_T1_64,1,60,,60,tp,60,64
70.22365003234539,-148.4705638,2021-08-24,Walker_2022,Colleen_T1_65,1,59,,59,tp,59,65
70.22365815589671,-148.4705526,2021-08-24,Walker_2022,Colleen_T1_66,1,53,,53,tp,53,66
70.22366627944734,-148.4705415,2021-08-24,Walker_2022,Colleen_T1_67,1,51,,51,tp,51,67
70.22367440299726,-148.4705303,2021-08-24,Walker_2022,Colleen_T1_68,1,50,,50,tp,50,68
70.22368253,-148.4705191,2021-08-24,Walker_2022,Colleen_T1_69,1,49,,49,tp,49,69
70.22369065009501,-148.4705079,2021-08-24,Walker_2022,Colleen_T1_70,1,48,,48,tp,48,70
70.22369877364282,-148.4704967,2021-08-24,Walker_2022,Colleen_T1_71,1,55,,55,tp,55,71
70.22370689718993,-148.4704855,2021-08-24,Walker_2022,Colleen_T1_72,1,60,,60,tp,60,72
70.22371502073634,-148.4704743,2021-08-24,Walker_2022,Colleen_T1_73,1,59,,59,tp,59,73
70.22372314428203,-148.4704631,2021-08-24,Walker_2022,Colleen_T1_74,1,66,,66,tp,66,74
70.22373126782703,-148.470452,2021-08-24,Walker_2022,Colleen_T1_75,1,67,,67,tp,67,75
70.22373939137134,-148.4704408,2021-08-24,Walker_2022,Colleen_T1_76,1,57,,57,tp,57,76
70.22374751491492,-148.4704296,2021-08-24,Walker_2022,Colleen_T1_77,1,56,,56,tp,56,77
70.22375563845782,-148.4704184,2021-08-24,Walker_2022,Colleen_T1_78,1,59,,59,tp,59,78
70.22376376,-148.4704072,2021-08-24,Walker_2022,Colleen_T1_79,1,45,,45,tp,45,79
70.22377188554148,-148.470396,2021-08-24,Walker_2022,Colleen_T1_80,1,51,,51,tp,51,80
70.22378000908226,-148.4703848,2021-08-24,Walker_2022,Colleen_T1_81,1,52,,52,tp,52,81
70.22378813262233,-148.4703736,2021-08-24,Walker_2022,Colleen_T1_82,1,55,,55,tp,55,82
70.22379626,-148.4703625,2021-08-24,Walker_2022,Colleen_T1_83,1,48,,48,tp,48,83
70.22380437970038,-148.4703513,2021-08-24,Walker_2022,Colleen_T1_84,1,51,,51,tp,51,84
70.22381250323835,-148.4703401,2021-08-24,Walker_2022,Colleen_T1_85,1,47,,47,tp,47,85
70.22382063,-148.4703289,2021-08-24,Walker_2022,Colleen_T1_86,1,43,,43,tp,43,86
70.22382875031217,-148.4703177,2021-08-24,Walker_2022,Colleen_T1_87,1,42,,42,tp,42,87
70.22383687384803,-148.4703065,2021-08-24,Walker_2022,Colleen_T1_88,1,44,,44,tp,44,88
70.22384499738317,-148.4702953,2021-08-24,Walker_2022,Colleen_T1_89,1,48,,48,tp,48,89
70.22385312091762,-148.4702841,2021-08-24,Walker_2022,Colleen_T1_90,1,54,,54,tp,54,90
70.22386124445137,-148.470273,2021-08-24,Walker_2022,Colleen_T1_91,1,59,,59,tp,59,91
70.22386937,-148.4702618,2021-08-24,Walker_2022,Colleen_T1_92,1,60,,60,tp,60,92
70.22387749151675,-148.4702506,2021-08-24,Walker_2022,Colleen_T1_93,1,57,,57,tp,57,93
70.22388561504837,-148.4702394,2021-08-24,Walker_2022,Colleen_T1_94,1,49,,49,tp,49,94
70.22389374,-148.4702282,2021-08-24,Walker_2022,Colleen_T1_95,1,46,,46,tp,46,95
70.22390186210953,-148.470217,2021-08-24,Walker_2022,Colleen_T1_96,1,40,,40,tp,40,96
70.22390998563905,-148.4702058,2021-08-24,Walker_2022,Colleen_T1_97,1,47,,47,tp,47,97
70.22391810916787,-148.4701946,2021-08-24,Walker_2022,Colleen_T1_98,1,62,,62,tp,62,98
70.22392623269599,-148.4701835,2021-08-24,Walker_2022,Colleen_T1_99,1,55,,55,tp,55,99
70.22393436,-148.4701723,2021-08-24,Walker_2022,Colleen_T1_100,1,49,,49,tp,49,100
70.22397497,-148.4701163,2021-08-24,Walker_2022,Colleen_T1_105,1,60,,60,tp,60,105
70.22401559145884,-148.4700604,2021-08-24,Walker_2022,Colleen_T1_110,1,52,,52,tp,52,110
