/* DATA DESCRIPTION:
	Churchill-iButton116 * LATITUDE: 58.732897 * LONGITUDE: -93.803156 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton117 * LATITUDE: 58.732890 * LONGITUDE: -93.803756 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton118 * LATITUDE: 58.732942 * LONGITUDE: -93.803712 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton119 * LATITUDE: 58.733062 * LONGITUDE: -93.803635 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton120 * LATITUDE: 58.733099 * LONGITUDE: -93.803641 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton121 * LATITUDE: 58.732120 * LONGITUDE: -93.803878 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton122 * LATITUDE: 58.732178 * LONGITUDE: -93.803884 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton123 * LATITUDE: 58.728222 * LONGITUDE: -93.836497 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton124 * LATITUDE: 58.728121 * LONGITUDE: -93.836515 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton125 * LATITUDE: 58.728111 * LONGITUDE: -93.836495 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton126 * LATITUDE: 58.727992 * LONGITUDE: -93.836390 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton127 * LATITUDE: 58.727845 * LONGITUDE: -93.836477 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton128 * LATITUDE: 58.727763 * LONGITUDE: -93.836558 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton129 * LATITUDE: 58.727664 * LONGITUDE: -93.836560 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton130 * LATITUDE: 58.727662 * LONGITUDE: -93.836319 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton131 * LATITUDE: 58.727638 * LONGITUDE: -93.836234 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton132 * LATITUDE: 58.727611 * LONGITUDE: -93.836243 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton133 * LATITUDE: 58.727567 * LONGITUDE: -93.836218 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton134 * LATITUDE: 58.727541 * LONGITUDE: -93.836313 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton135 * LATITUDE: 58.727567 * LONGITUDE: -93.835503 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton136 * LATITUDE: 58.727589 * LONGITUDE: -93.835376 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton137 * LATITUDE: 58.727552 * LONGITUDE: -93.835328 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton138 * LATITUDE: 58.727543 * LONGITUDE: -93.835202 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton139 * LATITUDE: 58.728006 * LONGITUDE: -93.835598 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton140 * LATITUDE: 58.728032 * LONGITUDE: -93.835376 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton141 * LATITUDE: 58.727023 * LONGITUDE: -93.835362 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
	Churchill-iButton142 * LATITUDE: 58.726966 * LONGITUDE: -93.835396 * LOCATION: Churchill, Canada * CAMPAIGN: CA-Land_2019_Churchill (Churchill_2019) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Multiple investigations (MULT)
