site_id,lat,lon,date,thaw_depth,pf_observed,source,method,langer_reported_ald_cm,obs_limit,pf_depth,quality_flag_obs_limit_assumed
141,58.72702346,-93.83536177,2019-07-30,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
142,58.72696593,-93.83539588,2019-07-30,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
143,58.18452076,-94.14533646,2018-07-25,60.0,1,Langer_etal_2020,tp,60.0,,60.0,False
143,58.18452076,-94.14533646,2019-07-31,200.0,1,Langer_etal_2020,tp,200.0,,200.0,False
144,58.1845491,-94.14551534,2018-07-25,44.0,1,Langer_etal_2020,tp,44.0,,44.0,False
144,58.1845491,-94.14551534,2019-07-31,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
145,58.18455576,-94.14564859,2018-07-25,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
145,58.18455576,-94.14564859,2019-07-31,38.0,1,Langer_etal_2020,tp,38.0,,38.0,False
146,58.18459662,-94.14577679,2018-07-25,31.0,1,Langer_etal_2020,tp,31.0,,31.0,False
146,58.18459662,-94.14577679,2019-07-31,34.0,1,Langer_etal_2020,tp,34.0,,34.0,False
147,58.18460499,-94.1459221,2018-07-25,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
147,58.18460499,-94.1459221,2019-07-31,32.0,1,Langer_etal_2020,tp,32.0,,32.0,False
148,58.18460526,-94.14621296,2018-07-25,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
148,58.18460526,-94.14621296,2019-07-31,41.0,1,Langer_etal_2020,tp,41.0,,41.0,False
149,58.18460006,-94.14635067,2018-07-25,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
149,58.18460006,-94.14635067,2019-07-31,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
150,58.18457782,-94.14650921,2018-07-25,27.0,1,Langer_etal_2020,tp,27.0,,27.0,False
150,58.18457782,-94.14650921,2019-07-31,36.0,1,Langer_etal_2020,tp,36.0,,36.0,False
151,58.18456943,-94.14664083,2018-07-25,79.0,1,Langer_etal_2020,tp,79.0,,79.0,False
151,58.18456943,-94.14664083,2019-07-31,130.0,1,Langer_etal_2020,tp,130.0,,130.0,False
152,58.18439809,-94.1467729,2018-07-25,82.0,1,Langer_etal_2020,tp,82.0,,82.0,False
152,58.18439809,-94.1467729,2019-07-31,65.0,1,Langer_etal_2020,tp,65.0,,65.0,False
153,58.18439971,-94.14685457,2018-07-25,38.0,1,Langer_etal_2020,tp,38.0,,38.0,False
153,58.18439971,-94.14685457,2019-07-31,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
154,58.18439838,-94.14696102,2018-07-25,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
154,58.18439838,-94.14696102,2019-07-31,64.0,1,Langer_etal_2020,tp,64.0,,64.0,False
155,58.18441404,-94.14713556,2018-07-25,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
