pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,site_id,method
1,63.16174099,-117.169374,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16038103,-117.170434,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16040399,-117.170612,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16072402,-117.170342,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16288797,-117.168738,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16874801,-117.143703,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16852304,-117.144793,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15066297,-117.258328,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16813203,-117.14634,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16818701,-117.1463,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16840704,-117.146488,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16731504,-117.136834,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16840301,-117.136347,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16602498,-117.143103,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16675404,-117.143638,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.162303,-117.195969,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16488496,-117.215995,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16645497,-117.219209,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15012803,-117.260506,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16573002,-117.21775,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.165669,-117.216599,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16519903,-117.214722,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16405197,-117.213557,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.16330899,-117.21343,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.16321797,-117.21042,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15121299,-117.251071,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15105398,-117.251715,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15066498,-117.251556,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14936997,-117.261782,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15069297,-117.252307,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15070596,-117.253536,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15063799,-117.254148,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.15034898,-117.25485,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.150065,-117.255148,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14975596,-117.255001,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14952202,-117.254517,Bonaventure_Whati,2019-08-15,,,,,unknown
0,63.14925598,-117.253756,Bonaventure_Whati,2019-08-15,,,,,unknown
1,63.14217101,-117.249367,Bonaventure_Whati,2019-08-15,,,,,unknown
