site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,kling_source_sd_cm,kling_source_se_cm,kling_source_n,kling_source_min_cm,kling_source_max_cm,kling_source_cv_percent
LTER_TussockWS,2012-07-02,68.6279,-149.613,20.2,1,20.2,,tp,Kling_2016,4.3,0.3,288,12.0,36.0,21.2
LTER_TussockWS,2012-08-11,68.6279,-149.613,38.4,1,38.4,,tp,Kling_2016,6.1,0.4,288,24.0,60.0,16.0
LTER_TussockWS,2013-07-02,68.6279,-149.613,19.3,1,19.3,,tp,Kling_2016,7.4,0.4,288,9.0,55.0,38.5
LTER_TussockWS,2013-08-11,68.6279,-149.613,42.7,1,42.7,,tp,Kling_2016,7.4,0.4,288,20.0,64.0,17.4
LTER_TussockWS,2014-07-02,68.6279,-149.613,19.0,1,19.0,,tp,Kling_2016,4.6,0.3,288,9.0,36.0,24.2
LTER_TussockWS,2014-08-11,68.6279,-149.613,39.7,1,39.7,,tp,Kling_2016,9.3,0.5,288,19.0,75.0,23.4
LTER_TussockWS,2015-07-02,68.6279,-149.613,27.6,1,27.6,,tp,Kling_2016,6.7,0.4,288,13.0,50.0,24.4
LTER_TussockWS,2015-08-11,68.6279,-149.613,46.1,1,46.1,,tp,Kling_2016,8.4,0.5,288,27.0,71.0,18.1
LTER_TussockWS,2016-07-02,68.6279,-149.613,22.8,1,22.8,,tp,Kling_2016,7.4,0.4,288,8.0,44.0,32.5
LTER_TussockWS,2016-08-11,68.6279,-149.613,45.3,1,45.3,,tp,Kling_2016,9.5,0.6,288,25.0,81.0,21.0
LTER_TussockWS,2017-07-02,68.6279,-149.613,22.1,1,22.1,,tp,Kling_2016,5.6,0.3,288,12.0,46.0,25.4
LTER_TussockWS,2017-08-11,68.6279,-149.613,45.8,1,45.8,,tp,Kling_2016,8.1,0.5,288,25.0,66.0,17.6
LTER_TussockWS,2018-07-02,68.6279,-149.613,20.4,1,20.4,,tp,Kling_2016,6.8,0.4,288,10.0,67.0,33.5
LTER_TussockWS,2018-08-11,68.6279,-149.613,43.1,1,43.1,,tp,Kling_2016,9.3,0.5,288,21.0,75.0,21.6
