site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.2566646,-156.55393729999997,41.27062,gp,Jafarov_2016,True,10,5.0,True,1,41.27062,
BS,2013-08-12,71.25663242857142,-156.55393423809522,42.71147142857143,gp,Jafarov_2016,True,21,5.0,True,1,42.71147142857143,
BS,2013-08-12,71.25659571428572,-156.55392564285714,40.50712142857143,gp,Jafarov_2016,True,14,5.0,True,1,40.50712142857143,
BS,2013-08-12,71.25657363636364,-156.5539037272727,43.064336363636365,gp,Jafarov_2016,True,11,5.0,True,1,43.064336363636365,
BS,2013-08-12,71.2565415,-156.553898375,44.84029583333333,gp,Jafarov_2016,True,24,5.0,True,1,44.84029583333333,
BS,2013-08-12,71.25649504347827,-156.55388204347827,44.266726086956524,gp,Jafarov_2016,True,23,5.0,True,1,44.266726086956524,
BS,2013-08-12,71.25645136363637,-156.55385151515154,43.031636363636366,gp,Jafarov_2016,True,33,5.0,True,1,43.031636363636366,
BS,2013-08-12,71.25640540740741,-156.55382962962963,42.04737407407407,gp,Jafarov_2016,True,27,5.0,True,1,42.04737407407407,
BS,2013-08-12,71.25636023809524,-156.55382276190477,42.5829380952381,gp,Jafarov_2016,True,21,5.0,True,1,42.5829380952381,
BS,2013-08-12,71.25631621052631,-156.55381126315788,42.817684210526316,gp,Jafarov_2016,True,19,5.0,True,1,42.817684210526316,
BS,2013-08-12,71.256303,-156.553808,42.3773,gp,Jafarov_2016,True,1,5.0,False,1,42.3773,
BS,2013-08-12,71.25627200000001,-156.55379294444444,41.61250555555556,gp,Jafarov_2016,True,18,5.0,True,1,41.61250555555556,
BS,2013-08-12,71.25622924,-156.55377416,42.10736,gp,Jafarov_2016,True,25,5.0,True,1,42.10736,
BS,2013-08-12,71.25618081818182,-156.55376213636364,43.03981363636364,gp,Jafarov_2016,True,22,5.0,True,1,43.03981363636364,
BS,2013-08-12,71.25613678260869,-156.55375365217392,42.92886086956522,gp,Jafarov_2016,True,23,5.0,True,1,42.92886086956522,
BS,2013-08-12,71.2560905,-156.5537638846154,42.32536923076923,gp,Jafarov_2016,True,26,5.0,True,1,42.32536923076923,
BS,2013-08-12,71.25604592592593,-156.5537948888889,40.237922222222224,gp,Jafarov_2016,True,27,5.0,True,1,40.237922222222224,
BS,2013-08-12,71.25600382608695,-156.55381960869565,42.494639130434784,gp,Jafarov_2016,True,23,5.0,True,1,42.494639130434784,
BS,2013-08-12,71.25595681818182,-156.5538281060606,41.64932727272728,gp,Jafarov_2016,True,66,5.0,True,1,41.64932727272728,
BS,2013-08-12,71.25591454166667,-156.553767625,46.395100000000006,gp,Jafarov_2016,True,24,5.0,True,1,46.395100000000006,
BS,2013-08-12,71.25590314285714,-156.5536772857143,45.46653571428572,gp,Jafarov_2016,True,28,5.0,True,1,45.46653571428572,
