File name: probe_data.csv,,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Distance,UNB_HD_1 ,UNB_HD_2 ,BS_HD_1 ,BS_HD_2 ,BS_HD_3 ,BS_HD_4 ,BS_HD_5 ,BS_HD_7 ,CP_HD_1 ,CL_HD_1 ,CL_HD_2 ,CL_HD_3 ,CL_HD_4 ,CL_HD_5 ,CL_HD_6 
m,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm
78,33,49,40,28,40,32,39,42,30,59,42,32,42,47,34
79,28,47,38,24,40,36,39,47,30,61,43,28,41,46,34
80,28,59,38,31,41,34,38,51,32,63,44,26,40,45,30
81,22,54,35,38,43,37,38,58,43,70,47,27,42,46,30
82,26,53,37,33,42,36,39,61,46,67,44,33,43,40,28
83,38,56,41,29,41,32,40,61,34,69,41,36,42,41,35
84,45,45,43,35,42,30,40,61,30,65,40,36,43,34,27
85,44,46,44,36,42,27,40,63,33,63,42,38,45,34,29
86,33,44,40,35,42,29,39,72,43,50,40,39,43,33,33
87,32,44,37,33,41,29,39,68,37,47,40,40,40,34,32
88,26,45,46,34,43,27,40,67,38,42,41,40,39,39,30
89,25,42,46,37,43,22,42,71,38,42,42,42,36,42,33
90,28,37,55,35,43,25,41,64,33,43,40,40,40,39,29
91,23,43,39,34,43,31,39,60,37,44,40,41,36,39,33
92,23,38,36,34,43,30,39,64,36,43,38,38,34,36,28
93,28,50,30,30,43,26,41,80,28,42,35,38,39,39,30
94,26,50,37,28,43,24,41,93,32,41,38,39,39,39,29
95,27,44,35,30,43,30,42,82,31,48,38,39,43,41,32
96,24,43,41,32,42,36,42,82,28,42,39,40,43,42,30
97,22,49,38,28,42,35,41,76,32,52,43,39,45,41,39
98,29,47,36,26,41,38,42,72,29,58,42,39,42,42,40
99,36,34,36,26,43,33,40,60,23,44,42,39,44,41,46
100,36,36,32,26,43,36,39,56,32,54,46,36,42,41,37
