File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
CP_HD_1,71.27363,-156.639116,0.3,0.03,71.273812,-156.63795,8.860826,0.033857,0.005803,0.202004,0.356946,0.072105,0.861375,0.174001
CP_HD_1,71.273636,-156.639097,0.3,0.03,71.273812,-156.63795,9.001475,0.033328,0.005712,0.202004,0.362612,0.073249,0.893398,0.18047
CP_HD_1,71.273641,-156.639078,0.31,0.03,71.273812,-156.63795,9.12203,0.033984,0.005825,0.202004,0.367469,0.07423,0.854291,0.17257
CP_HD_1,71.273644,-156.639059,0.31,0.03,71.273812,-156.63795,8.840734,0.035065,0.00601,0.202004,0.356137,0.071941,0.801618,0.16193
CP_HD_1,71.27365,-156.63904,0.28,0.03,71.273812,-156.63795,8.479068,0.033022,0.00566,0.202004,0.341568,0.068998,-999,-999
CP_HD_1,71.273652,-156.639021,0.34,0.03,71.273812,-156.63795,8.479068,0.040099,0.006873,0.202004,0.341568,0.068998,0.659583,0.133239
CP_HD_1,71.273655,-156.639002,0.31,0.03,71.273812,-156.63795,8.720178,0.03555,0.006093,0.202004,0.351281,0.07096,0.781782,0.157923
CP_HD_1,71.273655,-156.638983,0.25,0.03,71.273812,-156.63795,8.840734,0.028278,0.004847,0.202004,0.356137,0.071941,-999,-999
CP_HD_1,71.273655,-156.638964,0.3,0.03,71.273812,-156.63795,8.398697,0.03572,0.006122,0.202004,0.33833,0.068344,0.775282,0.15661
CP_HD_1,71.273658,-156.638946,0.32,0.03,71.273812,-156.63795,8.358512,0.038284,0.006562,0.202004,0.336711,0.068017,0.698479,0.141096
