site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,org_thick,source
JG-SA3,07/31/2018,69.32835,-150.97481,49.0,1,49.0,unknown,86.0,30.0,Jorgenson_Kanevskiy_2022_Jago
JG-DI1,07/30/2011,69.32819,-150.97397,56.0,1,56.0,unknown,56.0,30.0,Jorgenson_Kanevskiy_2022_Jago
JG-DI1,07/29/2016,69.25046,-150.72749,56.0,1,56.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SA1,07/29/2011,69.25057,-150.72786,46.0,1,46.0,unknown,46.0,41.0,Jorgenson_Kanevskiy_2022_Jago
JG-SA1,07/27/2016,69.25206,-150.72679,46.0,1,46.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SA2,07/29/2011,69.35942,-151.07379,42.0,1,42.0,unknown,42.0,42.0,Jorgenson_Kanevskiy_2022_Jago
JG-SA2,07/27/2016,69.35941,-151.07382,42.0,1,42.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SA3,07/29/2011,69.35941,-151.07391,42.0,1,42.0,unknown,42.0,42.0,Jorgenson_Kanevskiy_2022_Jago
JG-SA3,07/27/2016,69.88132,-142.27783,42.0,1,42.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI1,07/29/2011,69.84793,-142.24513,56.0,1,56.0,unknown,56.0,50.0,Jorgenson_Kanevskiy_2022_Jago
JG-SI1,07/27/2016,69.84735,-142.24607,56.0,1,56.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI2,07/29/2011,69.885,-142.3329,47.0,1,47.0,unknown,47.0,41.0,Jorgenson_Kanevskiy_2022_Jago
JG-SI2,07/27/2016,69.8855,-142.2991,57.0,1,57.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI3,07/27/2016,69.8728,-142.2831,55.0,1,55.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
