thaw_depth,pf_observed,pf_depth,date,org_thick,obs_limit,site_id,lat,lon,source,method
104.0,1,104.0,2015-08-29,7.0,132,AK201-DANA,64.75244121,-148.1070854,Minsley_2015,tp
40.0,1,40.0,2015-08-29,,132,AK201-DANA,64.75243257,-148.1070875,Minsley_2015,tp
60.0,1,60.0,2015-08-29,,132,AK201-DANA,64.75242392,-148.1070896,Minsley_2015,tp
98.0,1,98.0,2015-08-29,,132,AK201-DANA,64.75241528,-148.1070917,Minsley_2015,tp
62.0,1,62.0,2015-08-29,,132,AK201-DANA,64.75240664,-148.1070938,Minsley_2015,tp
60.0,1,60.0,2015-08-29,9.0,132,AK201-DANA,64.752398,-148.1070959,Minsley_2015,tp
70.0,1,70.0,2015-08-29,,132,AK201-DANA,64.75238935,-148.107098,Minsley_2015,tp
114.0,1,114.0,2015-08-29,,132,AK201-DANA,64.75238071,-148.1071001,Minsley_2015,tp
64.0,1,64.0,2015-08-29,,132,AK201-DANA,64.75237207,-148.1071022,Minsley_2015,tp
56.0,1,56.0,2015-08-29,,132,AK201-DANA,64.75236342,-148.1071043,Minsley_2015,tp
47.0,1,47.0,2015-08-29,16.0,132,AK201-DANA,64.75235478,-148.1071064,Minsley_2015,tp
66.0,1,66.0,2015-08-29,,132,AK201-DANA,64.75234624,-148.1071113,Minsley_2015,tp
119.0,1,119.0,2015-08-29,,132,AK201-DANA,64.7523377,-148.1071162,Minsley_2015,tp
131.0,1,131.0,2015-08-29,,132,AK201-DANA,64.75232916,-148.1071211,Minsley_2015,tp
144.0,0,,2015-08-29,,132,AK201-DANA,64.75232062,-148.107126,Minsley_2015,tp
154.0,0,,2015-08-29,12.0,132,AK201-DANA,64.75231209,-148.1071309,Minsley_2015,tp
153.0,0,,2015-08-29,,132,AK201-DANA,64.75230355,-148.1071357,Minsley_2015,tp
189.0,0,,2015-08-29,,132,AK201-DANA,64.75229501,-148.1071406,Minsley_2015,tp
192.0,0,,2015-08-29,,132,AK201-DANA,64.75228647,-148.1071455,Minsley_2015,tp
197.0,0,,2015-08-29,,132,AK201-DANA,64.75227793,-148.1071504,Minsley_2015,tp
203.0,0,,2015-08-29,5.0,132,AK201-DANA,64.75226939,-148.1071553,Minsley_2015,tp
245.0,0,,2015-08-29,,132,AK201-DANA,64.75226057,-148.1071592,Minsley_2015,tp
239.0,0,,2015-08-29,,132,AK201-DANA,64.75225175,-148.107163,Minsley_2015,tp
238.0,0,,2015-08-29,,132,AK201-DANA,64.75224293,-148.1071669,Minsley_2015,tp
246.0,0,,2015-08-29,,132,AK201-DANA,64.75223411,-148.1071707,Minsley_2015,tp
251.0,0,,2015-08-29,6.0,132,AK201-DANA,64.75222529,-148.1071746,Minsley_2015,tp
251.0,0,,2015-08-29,,132,AK201-DANA,64.75221647,-148.1071784,Minsley_2015,tp
251.0,0,,2015-08-29,,132,AK201-DANA,64.75220765,-148.1071823,Minsley_2015,tp
251.0,0,,2015-08-29,,132,AK201-DANA,64.75219883,-148.1071861,Minsley_2015,tp
251.0,0,,2015-08-29,,132,AK201-DANA,64.75219001,-148.10719,Minsley_2015,tp
239.0,0,,2015-08-29,6.0,132,AK201-DANA,64.75218119,-148.1071938,Minsley_2015,tp
