site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source,ruess_native_count,ruess_ice_count,ruess_no_barrier_count,ruess_rock_count,ruess_source_row_count,quality_flag_summary_statistic,quality_flag_coord_site_level,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_refusal_or_obstruction_note
BCEFM2,2016-09-20,64.6951599992718,-148.32324,56.3,1,56.3,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2017-09-28,64.6951599992718,-148.32324,48.2,1,48.2,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2018-10-05,64.6951599992718,-148.32324,47.6842105263158,1,47.6842105263158,tp,,Ruess_2025,19,19,0,0,20,True,True,False,False,False
BCEFM2,2019-10-11,64.6951599992718,-148.32324,43.95,1,43.95,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2020-09-30,64.6951599992718,-148.32324,41,1,41,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2021-09-27,64.6951599992718,-148.32324,52.65,1,52.65,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2022-09-28,64.6951599992718,-148.32324,44,1,44,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFM2,2023-10-04,64.6951599992718,-148.32324,50.85,1,50.85,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BCEFm2,2024-09-05,64.6951599992718,-148.32324,47.3,1,47.3,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI5,2018-10-16,65.0951974592802,-150.28272274,179.916666666667,1,179.916666666667,tp,,Ruess_2025,12,12,0,8,20,True,True,False,False,True
BDI5,2019-10-16,65.0951974592802,-150.28272274,160.111111111111,1,160.111111111111,tp,,Ruess_2025,9,9,0,9,19,True,True,False,False,True
BDI5,2020-09-25,65.0951974592802,-150.28272274,160.857142857143,1,160.857142857143,tp,,Ruess_2025,7,7,0,12,20,True,True,False,False,True
BDI5,2022-09-22,65.0951974592802,-150.28272274,148.45,1,148.45,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2015-09-02,65.1008404492804,-150.26987625,56.8,1,56.8,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2016-09-22,65.1008404492804,-150.26987625,82.7894736842105,1,82.7894736842105,tp,,Ruess_2025,19,19,0,1,20,True,True,False,False,True
BDI6,2017-10-05,65.1008404492804,-150.26987625,74.05,1,74.05,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2018-10-03,65.1008404492804,-150.26987625,79.05,1,79.05,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2019-10-16,65.1008404492804,-150.26987625,95,1,95,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2020-09-25,65.1008404492804,-150.26987625,95.2631578947368,1,95.2631578947368,tp,,Ruess_2025,19,19,0,1,20,True,True,False,False,True
BDI6,2021-09-16,65.1008404492804,-150.26987625,82.5,1,82.5,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDI6,2022-09-22,65.1008404492804,-150.26987625,79.95,1,79.95,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2015-09-02,65.1579899992816,-150.13574,56.5,1,56.5,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2016-09-22,65.1579899992816,-150.13574,56.9,1,56.9,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2017-10-05,65.1579899992816,-150.13574,46.5,1,46.5,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2018-10-03,65.1579899992816,-150.13574,54.3,1,54.3,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2019-10-16,65.1579899992816,-150.13574,54.05,1,54.05,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2020-09-25,65.1579899992816,-150.13574,60.6842105263158,1,60.6842105263158,tp,,Ruess_2025,19,19,0,0,19,True,True,False,False,False
BDM1,2021-09-16,65.1579899992816,-150.13574,60.75,1,60.75,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2022-09-22,65.1579899992816,-150.13574,57.8,1,57.8,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDM1,2023-09-26,65.1579899992816,-150.13574,62.35,1,62.35,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDi6,2023-09-26,65.1008404492804,-150.26987625,77.5,1,77.5,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDi6,2024-09-24,65.1008404492804,-150.26987625,86.35,1,86.35,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BDm1,2024-09-24,65.1579899992816,-150.13574,56.8,1,56.8,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2015-09-01,65.1536518992815,-147.47723033,92.1,1,92.1,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2016-09-28,65.1536518992815,-147.47723033,119.35,1,119.35,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2017-09-29,65.1536518992815,-147.47723033,110.65,1,110.65,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2019-10-08,65.1536518992815,-147.47723033,137.6,1,137.6,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2020-10-02,65.1536518992815,-147.47723033,138.55,1,138.55,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY7,2021-09-21,65.1536518992815,-147.47723033,137.95,1,137.95,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFY8,2015-09-01,65.3493388092857,-146.66782851,88.1428571428571,1,88.1428571428571,tp,,Ruess_2025,7,7,0,12,19,True,True,False,False,True
BFy7,2018-10-09,65.1536518992815,-147.47723033,125.95,1,125.95,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFy7,2022-09-27,65.1536518992815,-147.47723033,87.6,1,87.6,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFy7,2023-10-03,65.1536518992815,-147.47723033,108.8,1,108.8,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
BFy7,2024-09-10,65.1536518992815,-147.47723033,112.05,1,112.05,tp,,Ruess_2025,20,20,0,0,20,True,True,False,False,False
