site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,permos_alt_id,permos_borehole_id,permos_borehole_name,permos_borehole_alternate_name,permos_site_abbr,permos_site_name,permos_region,permos_canton,permos_year,permos_alt_m,permos_bound_type,permos_bound_cm,permos_date_source,permos_guess,permos_upper_therm_m,permos_lower_therm_m,permos_alt_comment,permos_coordinate_source,permos_borehole_elevation_m,permos_site_elevation_min_m,permos_site_elevation_max_m,permos_borehole_depth_m,permos_borehole_inclination_deg,permos_borehole_slope_deg,permos_borehole_aspect_deg,permos_morphology,permos_surface_type,permos_pf_thickness,permos_borehole_class,permos_gtnp_id,permos_gtnp_dms_id,permos_calm_id,permos_borehole_comment,permos_site_comment
ATT_0208,PERMOS_2024,2019-09-22,46.096746,7.273682,1,561.0,561.0,,temp,384,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2019,5.61,exact,,reported_max_alt_date,false,5.0,6.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2020-10-03,46.096746,7.273682,1,593.0,593.0,,temp,401,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2020,5.93,exact,,reported_max_alt_date,,5.0,6.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2021-09-22,46.096746,7.273682,1,583.0,583.0,,temp,455,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2021,5.83,exact,,reported_max_alt_date,false,5.0,6.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2022-09-09,46.096746,7.273682,1,580.0,580.0,,temp,502,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2022,5.8,exact,,reported_max_alt_date,false,5.0,6.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2023-09-24,46.096746,7.273682,1,594.0,594.0,,temp,526,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2023,5.94,exact,,reported_max_alt_date,true,5.0,6.0,maybe not yet the max,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
COR_0200,PERMOS_2024,2002-09-03,46.428534,9.82202,1,335.0,335.0,,temp,117,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2002,3.35,exact,,reported_max_alt_date,,3.5,4.0,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2003-08-31,46.428534,9.82202,1,325.0,325.0,,temp,118,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2003,3.25,exact,,reported_max_alt_date,,3.0,3.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2004-09-13,46.428534,9.82202,1,289.0,289.0,,temp,119,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2004,2.89,exact,,reported_max_alt_date,,2.5,3.0,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2005-09-05,46.428534,9.82202,1,249.00000000000003,249.00000000000003,,temp,120,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2005,2.49,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
COR_0200,PERMOS_2024,2006-09-14,46.428534,9.82202,1,248.0,248.0,,temp,121,39,COR_0200,2/2000,COR,Murtèl-Corvatsch,Engadine,GR,2006,2.48,exact,,reported_max_alt_date,,2.0,2.5,,borehole,2672.3,2500,3300,63.2,0.0,10.0,315.0,rock glacier,coarse blocks,>62 m,IB,CH 14,870.0,,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",
