FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
39,AK21LTER,ERT,20210912,-148.2966307,64.71233945,438201.82,7177028.3,137.17,-9999,-9999,-9999,-9999,58.5,59.26
40,AK21LTER,ERT,20210912,-148.2966147,64.71232604,438202.55,7177026.79,137.4,999,6,Bl spruce fireline,-9999,60,60.93
41,AK21LTER,ERT,20210912,-148.2965987,64.7123146,438203.29,7177025.5,137.46,-9999,-9999,-9999,-9999,61.5,62.42
42,AK21LTER,ERT,20210912,-148.2965891,64.71230239,438203.72,7177024.13,137.43,-9999,-9999,-9999,-9999,63,63.86
43,AK21LTER,ERT,20210912,-148.2965734,64.71229059,438204.44,7177022.8,137.44,-9999,-9999,Bl spruce fireline,-9999,64.5,65.37
44,AK21LTER,ERT,20210912,-148.2965591,64.7122769,438205.09,7177021.26,137.21,999,10,Bl spruce fireline,-9999,66,67.04
45,AK21LTER,ERT,20210912,-148.296542,64.71226583,438205.88,7177020.01,137.24,-9999,-9999,Bl spruce fireline,-9999,67.5,68.51
46,AK21LTER,ERT,20210912,-148.2965303,64.71225462,438206.41,7177018.75,137.01,-9999,-9999,Bl spruce fireline,-9999,69,69.88
47,AK21LTER,ERT,20210912,-148.2965159,64.71224183,438207.07,7177017.31,137.19,-9999,-9999,Bl spruce fireline,-9999,70.5,71.46
48,AK21LTER,ERT,20210912,-148.2965053,64.71223115,438207.55,7177016.11,137.29,999,5,Bl spruce fireline,-9999,72,72.76
49,AK21LTER,ERT,20210912,-148.2964838,64.71221967,438208.55,7177014.81,137.11,-9999,-9999,Bl spruce fireline,-9999,73.5,74.4
50,AK21LTER,ERT,20210912,-148.2964661,64.71220538,438209.36,7177013.2,137.16,-9999,-9999,Bl spruce fireline,-9999,75,76.21
51,AK21LTER,ERT,20210912,-148.2964542,64.71219417,438209.9,7177011.94,137.14,-9999,-9999,Bl spruce fireline,-9999,76.5,77.57
52,AK21LTER,ERT,20210912,-148.2964386,64.71218372,438210.62,7177010.76,137.18,999,14,Bl spruce fireline edge,-9999,78,78.95
53,AK21LTER,ERT,20210912,-148.2964219,64.71217229,438211.39,7177009.47,137.53,-9999,-9999,Bl spruce fireline edge,-9999,79.5,80.46
