pf_depth,obs_limit,site_id,lat,lon,source,date,pf_observed,thaw_depth,method
150.0,150.0,AS-UV-051,71.3336681542983,-156.65215673832208,Wagner_2019,2015-09-01,0,,aug
187.0,187.0,AS-UV-052,71.3336987292011,-156.65229149791315,Wagner_2019,2015-09-01,0,,aug
149.0,149.0,AS-UV-053,71.33389871792575,-156.65267349123667,Wagner_2019,2015-09-01,1,,aug
139.0,139.0,AS-UV-054,71.33370311471849,-156.65286839605085,Wagner_2019,2015-09-01,1,,aug
247.00000000000003,247.00000000000003,AS-UV-055,71.33353010833494,-156.65305078095832,Wagner_2019,2015-09-01,0,,aug
,112.00000000000001,AS-UV-056,71.33338125284975,-156.65319771246112,Wagner_2019,2015-09-01,0,,aug
,125.0,AS-UV-057,71.3334291388756,-156.65430352701412,Wagner_2019,2015-09-01,0,,aug
,147.0,AS-UV-058,71.33359418089245,-156.65416024482866,Wagner_2019,2015-09-01,0,,aug
145.0,145.0,AS-UV-059,71.3337754810319,-156.65396437043762,Wagner_2019,2015-09-01,1,,aug
,143.0,AS-UV-060,71.33397728097962,-156.6537280217296,Wagner_2019,2015-09-01,0,,aug
,142.0,AS-UV-061,71.33418185489816,-156.6534788377248,Wagner_2019,2015-09-01,0,,aug
,148.0,AS-UV-062,71.33388169718198,-156.65443772212268,Wagner_2019,2015-09-01,0,,aug
152.0,152.0,AS-UV-064,71.33378283361253,-156.65336795097124,Wagner_2019,2015-09-01,0,,aug
115.99999999999999,115.99999999999999,AS-UV-065,71.33375489606337,-156.65137308749095,Wagner_2019,2015-09-01,1,,aug
122.0,122.0,AS-UV-066,71.33372467156096,-156.65127590777635,Wagner_2019,2015-09-01,1,,aug
,180.0,AS-UV-067,71.33479861000582,-156.64504478648593,Wagner_2019,2015-09-01,0,,aug
,170.0,AS-UV-068,71.33463070410563,-156.64507311339392,Wagner_2019,2015-09-01,0,,aug
,164.0,AS-UV-069,71.33444751530227,-156.64506878561784,Wagner_2019,2015-09-01,0,,aug
157.0,157.0,AS-UV-070,71.33422501098663,-156.64505937988588,Wagner_2019,2015-09-01,0,,aug
167.0,167.0,AS-UV-071,71.3339863054821,-156.64503648182108,Wagner_2019,2015-09-01,0,,aug
156.0,156.0,AS-UV-072,71.33377540857535,-156.6450139550635,Wagner_2019,2015-09-01,0,,aug
186.0,186.0,AS-UV-073,71.33353005798652,-156.64487555735144,Wagner_2019,2015-09-01,0,,aug
189.0,189.0,AS-UV-074,71.33331339890508,-156.64461347089804,Wagner_2019,2015-09-01,0,,aug
168.0,168.0,AS-UV-075,71.33311281169944,-156.64420433147632,Wagner_2019,2015-09-01,0,,aug
159.0,159.0,AS-UV-076,71.3331235911081,-156.64469200062226,Wagner_2019,2015-09-01,0,,aug
,190.0,AS-UV-077,71.33319240405332,-156.64518361983608,Wagner_2019,2015-09-01,0,,aug
218.00000000000003,218.00000000000003,AS-UV-078,71.33325212703605,-156.64565797176226,Wagner_2019,2015-09-01,0,,aug
142.0,142.0,AS-UV-079,71.3328873953876,-156.64409607245736,Wagner_2019,2015-09-01,1,,aug
61.0,61.0,AS-UV-080,71.33281615954552,-156.64419678798086,Wagner_2019,2015-09-01,1,,aug
84.0,84.0,AS-UV-081,71.33295730111915,-156.64461760760324,Wagner_2019,2015-09-01,1,,aug
152.0,152.0,AS-UV-082,71.33302848668922,-156.64513397651945,Wagner_2019,2015-09-01,0,,aug
188.0,188.0,AS-UV-083,71.33310139484178,-156.6456382344241,Wagner_2019,2015-09-01,0,,aug
,126.0,AS-UV-084,71.33317027386894,-156.6461475798832,Wagner_2019,2015-09-01,0,,aug
,126.0,AS-UV-085,71.33303099465657,-156.64574270934762,Wagner_2019,2015-09-01,0,,aug
,171.0,AS-UV-086,71.33292202592996,-156.64561287616468,Wagner_2019,2015-09-01,0,,aug
,130.0,AS-UV-087,71.33283534761533,-156.64507281827497,Wagner_2019,2015-09-01,0,,aug
,124.0,AS-UV-088,71.33280646805943,-156.6448421251872,Wagner_2019,2015-09-01,0,,aug
127.0,155.0,PH-UV-001,71.32829531540007,-156.66477198860437,Wagner_2019,2015-09-01,1,,aug
,95.0,PH-UV-002,71.32823686818969,-156.66532837901812,Wagner_2019,2015-09-01,0,,aug
63.0,114.99999999999999,PH-UV-003,71.32814795809014,-156.66581716584466,Wagner_2019,2015-09-01,1,,aug
,168.0,PH-UV-004,71.32806191732824,-156.6663153478307,Wagner_2019,2015-09-01,0,,aug
76.0,154.0,PH-UV-005,71.32797759126515,-156.66683185756128,Wagner_2019,2015-09-01,1,,aug
106.0,195.0,PH-UV-006,71.32791079059174,-156.66729433163508,Wagner_2019,2015-09-01,1,,aug
86.0,147.0,PH-UV-007,71.32781178257997,-156.66777443130633,Wagner_2019,2015-09-01,1,,aug
94.0,147.0,PH-UV-008,71.32775941753044,-156.66785091599243,Wagner_2019,2015-09-01,1,,aug
52.0,216.0,PH-UV-009,71.32767342396183,-156.6677247248726,Wagner_2019,2015-09-01,1,,aug
73.0,115.99999999999999,PH-UV-010,71.3277246317267,-156.6682942641248,Wagner_2019,2015-09-01,1,,aug
41.0,123.0,PH-UV-011,71.32767009018198,-156.6681990089558,Wagner_2019,2015-09-01,1,,aug
54.0,150.0,PH-UV-012,71.3276186953147,-156.66829665802453,Wagner_2019,2015-09-01,1,,aug
36.0,286.0,PH-UV-013,71.32757456865721,-156.66870368543223,Wagner_2019,2015-09-01,1,,aug
48.0,118.0,PH-UV-014,71.32748090707018,-156.6690569132546,Wagner_2019,2015-09-01,1,,aug
21.0,206.0,PH-UV-015,71.32764161165865,-156.66958722986246,Wagner_2019,2015-09-01,1,,aug
