site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
BET_31_86,10/1/2024,60.80612445,-161.859558,47.0,1,47.0,tp,150.0,Jones_2025
BET_7_87,10/3/2024,60.79543889,-161.8246417,43.0,1,43.0,tp,150.0,Jones_2025
BET_31_87,10/1/2024,60.8061328,-161.8595513,59.0,1,59.0,tp,150.0,Jones_2025
BET_7_88,10/3/2024,60.79543056,-161.82465,41.0,1,41.0,tp,150.0,Jones_2025
BET_31_88,10/1/2024,60.80614114,-161.8595445,60.0,1,60.0,tp,150.0,Jones_2025
BET_7_89,10/3/2024,60.795425,-161.8246556,52.0,1,52.0,tp,150.0,Jones_2025
BET_31_89,10/1/2024,60.80614949,-161.8595377,62.0,1,62.0,tp,150.0,Jones_2025
BET_7_90,10/3/2024,60.79541667,-161.8246639,55.0,1,55.0,tp,150.0,Jones_2025
BET_31_90,10/1/2024,60.80615784,-161.859531,60.0,1,60.0,tp,150.0,Jones_2025
BET_7_91,10/3/2024,60.79540833,-161.8246722,55.0,1,55.0,tp,150.0,Jones_2025
BET_31_91,10/1/2024,60.80616618,-161.8595242,59.0,1,59.0,tp,150.0,Jones_2025
BET_7_92,10/3/2024,60.7954,-161.8246806,60.0,1,60.0,tp,150.0,Jones_2025
BET_31_92,10/1/2024,60.80617453,-161.8595175,66.0,1,66.0,tp,150.0,Jones_2025
BET_7_93,10/3/2024,60.79539167,-161.8246889,79.0,1,79.0,tp,150.0,Jones_2025
BET_31_93,10/1/2024,60.80618287,-161.8595107,54.0,1,54.0,tp,150.0,Jones_2025
BET_7_94,10/3/2024,60.79538333,-161.8246972,90.0,1,90.0,tp,150.0,Jones_2025
BET_31_94,10/1/2024,60.80619122,-161.8595039,55.0,1,55.0,tp,150.0,Jones_2025
BET_7_95,10/3/2024,60.795375,-161.8247028,61.0,1,61.0,tp,150.0,Jones_2025
BET_31_95,10/1/2024,60.80619957,-161.8594972,53.0,1,53.0,tp,150.0,Jones_2025
BET_7_96,10/3/2024,60.79536667,-161.8247111,60.0,1,60.0,tp,150.0,Jones_2025
BET_31_96,10/1/2024,60.80620791,-161.8594904,57.0,1,57.0,tp,150.0,Jones_2025
BET_7_97,10/3/2024,60.79535833,-161.8247194,62.0,1,62.0,tp,150.0,Jones_2025
BET_31_97,10/1/2024,60.80621626,-161.8594837,63.0,1,63.0,tp,150.0,Jones_2025
BET_7_98,10/3/2024,60.79535,-161.8247278,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_98,10/1/2024,60.8062246,-161.8594769,59.0,1,59.0,tp,150.0,Jones_2025
BET_7_99,10/3/2024,60.79534444,-161.8247333,84.0,1,84.0,tp,150.0,Jones_2025
BET_31_99,10/1/2024,60.80623295,-161.8594701,55.0,1,55.0,tp,150.0,Jones_2025
BET_7_100,10/3/2024,60.79533611,-161.8247417,99.0,1,99.0,tp,150.0,Jones_2025
BET_31_100,10/1/2024,60.8062413,-161.8594634,57.0,1,57.0,tp,150.0,Jones_2025
