site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,site_name,transect_name,transect_point,natali_source_thaw_depth_cm,natali_notes,natali_coordinate_source,quality_flag_coord_lookup_or_interpolated,quality_flag_source_unit_or_code_recoded,quality_flag_refusal_or_obstruction_note
Natali_2023_HCU_T1_L28,2016-08-09,65.56745886666666,-148.9257974,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,1,28,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L29,2016-08-09,65.56746843333333,-148.9258007,49.0,1,49.0,,tp,Natali_2023,Hess Creek Unburned,1,29,49.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L30,2016-08-09,65.567478,-148.925804,38.0,1,38.0,,tp,Natali_2023,Hess Creek Unburned,1,30,38.0,,source_endpoint,False,False,False
Natali_2023_HCU_T2_L0,2016-08-09,65.567228,-148.925424,51.0,1,51.0,,tp,Natali_2023,Hess Creek Unburned,2,0,51.0,,source_endpoint,False,False,False
Natali_2023_HCU_T2_L1,2016-08-09,65.5672356,-148.9254296,47.0,1,47.0,,tp,Natali_2023,Hess Creek Unburned,2,1,47.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L2,2016-08-09,65.56724320000001,-148.92543519999998,41.0,1,41.0,,tp,Natali_2023,Hess Creek Unburned,2,2,41.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L3,2016-08-09,65.5672508,-148.9254408,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,2,3,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L4,2016-08-09,65.5672584,-148.9254464,50.0,1,50.0,,tp,Natali_2023,Hess Creek Unburned,2,4,50.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L5,2016-08-09,65.567266,-148.925452,42.0,1,42.0,,tp,Natali_2023,Hess Creek Unburned,2,5,42.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L6,2016-08-09,65.56727360000001,-148.9254576,38.0,1,38.0,,tp,Natali_2023,Hess Creek Unburned,2,6,38.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L7,2016-08-09,65.5672812,-148.9254632,21.0,1,21.0,,tp,Natali_2023,Hess Creek Unburned,2,7,21.0,Rock,interpolated_transect,True,False,True
Natali_2023_HCU_T2_L8,2016-08-09,65.5672888,-148.9254688,48.0,1,48.0,,tp,Natali_2023,Hess Creek Unburned,2,8,48.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L9,2016-08-09,65.5672964,-148.92547439999998,50.0,1,50.0,,tp,Natali_2023,Hess Creek Unburned,2,9,50.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L10,2016-08-09,65.56730400000001,-148.92548,37.0,1,37.0,,tp,Natali_2023,Hess Creek Unburned,2,10,37.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L11,2016-08-09,65.5673116,-148.9254856,37.0,1,37.0,,tp,Natali_2023,Hess Creek Unburned,2,11,37.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L12,2016-08-09,65.5673192,-148.92549119999998,55.0,1,55.0,,tp,Natali_2023,Hess Creek Unburned,2,12,55.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L13,2016-08-09,65.5673268,-148.9254968,35.0,1,35.0,,tp,Natali_2023,Hess Creek Unburned,2,13,35.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L14,2016-08-09,65.56733440000001,-148.9255024,46.0,1,46.0,,tp,Natali_2023,Hess Creek Unburned,2,14,46.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L15,2016-08-09,65.567342,-148.92550799999998,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,2,15,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L16,2016-08-09,65.5673496,-148.9255136,34.0,1,34.0,,tp,Natali_2023,Hess Creek Unburned,2,16,34.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L17,2016-08-09,65.5673572,-148.9255192,35.0,1,35.0,,tp,Natali_2023,Hess Creek Unburned,2,17,35.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L18,2016-08-09,65.56736480000001,-148.9255248,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,2,18,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L19,2016-08-09,65.56737240000001,-148.92553039999999,34.0,1,34.0,,tp,Natali_2023,Hess Creek Unburned,2,19,34.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L20,2016-08-09,65.56738,-148.925536,32.0,1,32.0,,tp,Natali_2023,Hess Creek Unburned,2,20,32.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L21,2016-08-09,65.5673876,-148.9255416,52.0,1,52.0,,tp,Natali_2023,Hess Creek Unburned,2,21,52.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L22,2016-08-09,65.5673952,-148.92554719999998,30.0,1,30.0,,tp,Natali_2023,Hess Creek Unburned,2,22,30.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L23,2016-08-09,65.56740280000001,-148.9255528,32.0,1,32.0,,tp,Natali_2023,Hess Creek Unburned,2,23,32.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L24,2016-08-09,65.5674104,-148.9255584,49.0,1,49.0,,tp,Natali_2023,Hess Creek Unburned,2,24,49.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L25,2016-08-09,65.567418,-148.925564,29.0,1,29.0,,tp,Natali_2023,Hess Creek Unburned,2,25,29.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L26,2016-08-09,65.5674256,-148.9255696,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,2,26,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L27,2016-08-09,65.56743320000001,-148.9255752,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,2,27,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L28,2016-08-09,65.5674408,-148.9255808,45.0,1,45.0,,tp,Natali_2023,Hess Creek Unburned,2,28,45.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L29,2016-08-09,65.5674484,-148.9255864,50.0,1,50.0,,tp,Natali_2023,Hess Creek Unburned,2,29,50.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T2_L30,2016-08-09,65.567456,-148.925592,57.0,1,57.0,,tp,Natali_2023,Hess Creek Unburned,2,30,57.0,,source_endpoint,False,False,False
Natali_2023_HCU_T3_L0,2016-08-09,65.567277,-148.925009,52.0,1,52.0,,tp,Natali_2023,Hess Creek Unburned,3,0,52.0,,source_endpoint,False,False,False
Natali_2023_HCU_T3_L1,2016-08-09,65.56728650000001,-148.9250108,61.0,1,61.0,,tp,Natali_2023,Hess Creek Unburned,3,1,61.0,,interpolated_transect,True,False,False
