name,thaw_depth,comment,Easting,Northing,year,Elevation (m),Detected_CRS
TNHA-2021-1-69,,,579859.4070935133,7911299.732532765,2021,10,EPSG:32604
TNHA-2021-1-70,,,579859.1073685024,7911300.693232374,2021,10,EPSG:32604
TNHA-2021-1-71,,,579858.8076434914,7911301.653931984,2021,10,EPSG:32604
TNHA-2021-1-72,,,579858.5079184806,7911302.614631593,2021,10,EPSG:32604
TNHA-2021-1-73,,,579858.2081934697,7911303.575331203,2021,10,EPSG:32604
TNHA-2021-1-74,,,579857.9084684587,7911304.536030812,2021,10,EPSG:32604
TNHA-2021-1-75,,,579857.6087434478,7911305.496730422,2021,10,EPSG:32604
TNHA-2021-1-76,,,579857.3090184369,7911306.457430031,2021,10,EPSG:32604
TNHA-2021-1-77,,,579857.0093,7911307.418129642,2021,10,EPSG:32604
TNHA-2021-1-78,,,579856.7095684151,7911308.378829251,2021,10,EPSG:32604
TNHA-2021-1-79,,,579856.4098434042,7911309.3395288605,2021,10,EPSG:32604
TNHA-2021-1-80,,,579856.1101183932,7911310.3,2021,10,EPSG:32604
TNHA-2021-1-81,,,579855.8103933823,7911311.260928079,2021,10,EPSG:32604
TNHA-2021-1-82,,,579855.5106683715,7911312.221627689,2021,10,EPSG:32604
TNHA-2021-1-83,,,579855.2109433605,7911313.182327298,2021,10,EPSG:32604
TNHA-2021-1-84,,,579854.9112183496,7911314.143026908,2021,10,EPSG:32604
TNHA-2021-2-0,,Frost probe bottomed out,579844.2214857022,7911250.434337704,2021,10,EPSG:32604
TNHA-2021-2-1,,"""",579845.1726962465,7911250.754356392,2021,10,EPSG:32604
TNHA-2021-2-2,,"""",579846.1239067909,7911251.074,2021,10,EPSG:32604
TNHA-2021-2-3,,"""",579847.0751173352,7911251.394393767,2021,10,EPSG:32604
TNHA-2021-2-4,,"""",579848.0263278795,7911251.7144124545,2021,10,EPSG:32604
TNHA-2021-2-5,,"""",579848.9775384238,7911252.034431143,2021,10,EPSG:32604
TNHA-2021-2-6,,"""",579849.9287489682,7911252.354,2021,10,EPSG:32604
TNHA-2021-2-7,,"""",579850.8799595125,7911252.674468517,2021,10,EPSG:32604
TNHA-2021-2-8,,"""",579851.8311700568,7911252.994487205,2021,10,EPSG:32604
TNHA-2021-2-9,,"""",579852.7823806012,7911253.314505893,2021,10,EPSG:32604
TNHA-2021-2-10,,"""",579853.7335911455,7911253.635,2021,10,EPSG:32604
TNHA-2021-2-11,,"""",579854.6848016898,7911253.954543268,2021,10,EPSG:32604
TNHA-2021-2-12,0.57,,579855.6360122341,7911254.274561956,2021,10,EPSG:32604
TNHA-2021-2-13,0.56,,579856.5872227785,7911254.594580644,2021,10,EPSG:32604
TNHA-2021-2-14,,Frost probe bottomed out,579857.5384333228,7911254.914599331,2021,10,EPSG:32604
TNHA-2021-2-15,0.44,,579858.4896438671,7911255.234618018,2021,10,EPSG:32604
TNHA-2021-2-16,0.44,,579859.4408544115,7911255.554636707,2021,10,EPSG:32604
TNHA-2021-2-17,0.39,,579860.3920649558,7911255.874655394,2021,10,EPSG:32604
TNHA-2021-2-18,0.49,,579861.3432755001,7911256.194674081,2021,10,EPSG:32604
TNHA-2021-2-19,0.42,,579862.2944860444,7911256.514692769,2021,10,EPSG:32604
TNHA-2021-2-20,0.56,,579863.2456965888,7911256.834711457,2021,10,EPSG:32604
TNHA-2021-2-21,0.6,,579864.1969071331,7911257.154730144,2021,10,EPSG:32604
TNHA-2021-2-22,0.72,,579865.1481176774,7911257.474748832,2021,10,EPSG:32604
TNHA-2021-2-23,0.74,,579866.0993282218,7911257.794767519,2021,10,EPSG:32604
TNHA-2021-2-24,0.88,,579867.0505387661,7911258.114786207,2021,10,EPSG:32604
TNHA-2021-2-25,0.52,Road,579868.0017493104,7911258.434804895,2021,10,EPSG:32604
TNHA-2021-2-26,0.15,"""",579868.9529598547,7911258.754823582,2021,10,EPSG:32604
TNHA-2021-2-27,0.11,"""",579869.9041703991,7911259.074842269,2021,10,EPSG:32604
TNHA-2021-2-28,0.55,"""",579870.8553809434,7911259.394860958,2021,10,EPSG:32604
TNHA-2021-2-29,0.64,"""",579871.8065914877,7911259.714879645,2021,10,EPSG:32604
TNHA-2021-2-30,0.66,,579872.7578,7911260.034898332,2021,10,EPSG:32604
TNHA-2021-2-31,0.49,,579873.7090125764,7911260.354917021,2021,10,EPSG:32604
TNHA-2021-2-32,0.32,,579874.6602231207,7911260.674935708,2021,10,EPSG:32604
TNHA-2021-2-33,0.33,,579875.6114,7911260.994954396,2021,10,EPSG:32604
TNHA-2021-2-34,0.26,,579876.5626442094,7911261.314973083,2021,10,EPSG:32604
TNHA-2021-2-35,0.27,,579877.5138547537,7911261.634991771,2021,10,EPSG:32604
TNHA-2021-2-36,0.24,,579878.4651,7911261.955010459,2021,10,EPSG:32604
TNHA-2021-2-37,0.26,,579879.4162758423,7911262.275029146,2021,10,EPSG:32604
TNHA-2021-2-38,0.24,,579880.3674863867,7911262.595047833,2021,10,EPSG:32604
TNHA-2021-2-39,,Building is too low to use frost probe,579881.3187,7911262.915066522,2021,10,EPSG:32604
TNHA-2021-2-40,,"""",579882.2699074753,7911263.235085209,2021,10,EPSG:32604
TNHA-2021-2-41,0.37,,579883.2211180197,7911263.555103896,2021,10,EPSG:32604
TNHA-2021-2-42,0.34,,579884.1723285641,7911263.875122584,2021,10,EPSG:32604
TNHA-2021-2-43,0.38,,579885.1235391084,7911264.195141272,2021,10,EPSG:32604
TNHA-2021-2-44,0.34,,579886.0747496528,7911264.515159959,2021,10,EPSG:32604
TNHA-2021-2-45,0.4,,579887.0259601971,7911264.835178647,2021,10,EPSG:32604
TNHA-2021-2-46,0.39,,579887.9771707414,7911265.1551973345,2021,10,EPSG:32604
TNHA-2021-2-47,0.38,,579888.9283812857,7911265.475216022,2021,10,EPSG:32604
TNHA-2021-2-48,0.54,,579889.8795918301,7911265.795,2021,10,EPSG:32604
TNHA-2021-2-49,0.31,,579890.8308023744,7911266.115253397,2021,10,EPSG:32604
TNHA-2021-2-50,0.64,,579891.7820129187,7911266.435272085,2021,10,EPSG:32604
TNHA-2021-2-51,0.68,,579892.7332234631,7911266.755290773,2021,10,EPSG:32604
TNHA-2021-2-52,0.35,Unsure if gravel,579893.6844340074,7911267.075,2021,10,EPSG:32604
TNHA-2021-2-53,0.48,To refusal,579894.6356445517,7911267.395328148,2021,10,EPSG:32604
TNHA-2021-2-54,0.37,"""",579895.5869,7911267.715346836,2021,10,EPSG:32604
TNHA-2021-2-55,0.36,"""",579896.5380656404,7911268.035365523,2021,10,EPSG:32604
TNHA-2021-2-56,0.26,"""",579897.4892761847,7911268.355384211,2021,10,EPSG:32604
TNHA-2021-2-57,0.28,"""",579898.4405,7911268.675402898,2021,10,EPSG:32604
TNHA-2021-2-58,0.29,"""",579899.3916972734,7911268.995421586,2021,10,EPSG:32604
TNHA-2021-2-59,0.23,"""",579900.3429078177,7911269.315440274,2021,10,EPSG:32604
TNHA-2021-2-60,0.24,"""",579901.2941,7911269.635458961,2021,10,EPSG:32604
TNHA-2021-2-61,0.22,"""",579902.2453289063,7911269.955477648,2021,10,EPSG:32604
TNHA-2021-2-62,0.29,"""",579903.1965394507,7911270.275496337,2021,10,EPSG:32604
TNHA-2021-2-63,0.09,"""",579904.1477,7911270.595515024,2021,10,EPSG:32604
TNHA-2021-2-64,0.12,"""",579905.0989605393,7911270.915533711,2021,10,EPSG:32604
TNHA-2021-2-65,,Frost probe bottomed out,579906.0501710837,7911271.235552399,2021,10,EPSG:32604
TNHA-2021-2-66,,Took measurements every other meter across open gravel area (65 m through 83 m); to refusal,579907.0014,7911271.555571087,2021,10,EPSG:32604
TNHA-2021-2-67,0.14,"""",579907.9525921723,7911271.875589774,2021,10,EPSG:32604
TNHA-2021-2-68,,"""",579908.9038027166,7911272.195608462,2021,10,EPSG:32604
TNHA-2021-2-69,0.1,"""",579909.855,7911272.515627149,2021,10,EPSG:32604
TNHA-2021-2-70,,"""",579910.8062238053,7911272.835645837,2021,10,EPSG:32604
TNHA-2021-2-71,0.18,"""",579911.7574343496,7911273.155664525,2021,10,EPSG:32604
TNHA-2021-2-72,,"""",579912.7086,7911273.475683212,2021,10,EPSG:32604
TNHA-2021-2-73,0.17,"""",579913.6598554383,7911273.7957019005,2021,10,EPSG:32604
TNHA-2021-2-74,,"""",579914.6110659826,7911274.115720588,2021,10,EPSG:32604
TNHA-2021-2-75,0.15,"""",579915.5622765269,7911274.435739275,2021,10,EPSG:32604
TNHA-2021-2-76,,"""",579916.5134870713,7911274.755757963,2021,10,EPSG:32604
TNHA-2021-2-77,0.05,"""",579917.4646976156,7911275.075776651,2021,10,EPSG:32604
TNHA-2021-2-78,,"""",579918.4159081599,7911275.395795338,2021,10,EPSG:32604
TNHA-2021-2-79,0.18,"""",579919.3671187042,7911275.715814026,2021,10,EPSG:32604
TNHA-2021-2-80,,"""",579920.3183292486,7911276.035832713,2021,10,EPSG:32604
TNHA-2021-2-81,0.22,"""",579921.2695397929,7911276.355851401,2021,10,EPSG:32604
TNHA-2021-2-82,,"""",579922.2207503372,7911276.675870089,2021,10,EPSG:32604
TNHA-2021-2-83,0.09,"""",579923.1719608816,7911276.995888776,2021,10,EPSG:32604
Old road-2021-1-0,0.25,,581989.4898792916,7913571.960544341,2021,10,EPSG:32604
Old road-2021-1-1,0.24,,581990.0207487746,7913571.100133589,2021,10,EPSG:32604
Old road-2021-1-2,0.33,,581990.5516182575,7913570.239722838,2021,10,EPSG:32604
Old road-2021-1-3,0.35,,581991.0824877406,7913569.379312086,2021,10,EPSG:32604
Old road-2021-1-4,0.3,,581991.6133572236,7913568.518901334,2021,10,EPSG:32604
Old road-2021-1-5,0.27,,581992.1442267065,7913567.658490582,2021,10,EPSG:32604
Old road-2021-1-6,0.27,,581992.6750961895,7913566.798079831,2021,10,EPSG:32604
Old road-2021-1-7,0.23,,581993.2059656725,7913565.938,2021,10,EPSG:32604
Old road-2021-1-8,0.29,,581993.7368351554,7913565.077258328,2021,10,EPSG:32604
Old road-2021-1-9,0.42,,581994.2677046384,7913564.216847576,2021,10,EPSG:32604
Old road-2021-1-10,0.3,,581994.7985741214,7913563.356436824,2021,10,EPSG:32604
Old road-2021-1-11,0.21,,581995.3294436043,7913562.496026073,2021,10,EPSG:32604
Old road-2021-1-12,0.24,,581995.8603130874,7913561.635615321,2021,10,EPSG:32604
Old road-2021-1-13,0.24,,581996.3911825704,7913560.775204569,2021,10,EPSG:32604
Old road-2021-1-14,0.27,,581996.9220520533,7913559.914793817,2021,10,EPSG:32604
Old road-2021-1-15,0.2,,581997.4529215363,7913559.054383066,2021,10,EPSG:32604
Old road-2021-1-16,0.22,,581997.9837910193,7913558.193972315,2021,10,EPSG:32604
Old road-2021-1-17,0.23,,581998.5146605022,7913557.333561563,2021,10,EPSG:32604
Old road-2021-1-18,0.21,,581999.0455299852,7913556.473150811,2021,10,EPSG:32604
Old road-2021-1-19,0.24,,581999.5763994682,7913555.612740059,2021,10,EPSG:32604
Old road-2021-1-20,0.24,,582000.1072689511,7913554.752329308,2021,10,EPSG:32604
Old road-2021-1-21,0.29,,582000.6381384342,7913553.891918556,2021,10,EPSG:32604
Old road-2021-1-22,0.38,,582001.1690079172,7913553.031507804,2021,10,EPSG:32604
Old road-2021-1-23,0.36,,582001.6998774001,7913552.171097052,2021,10,EPSG:32604
Old road-2021-1-24,0.32,,582002.2307468831,7913551.3106863005,2021,10,EPSG:32604
Old road-2021-1-25,0.39,,582002.7616163661,7913550.450275549,2021,10,EPSG:32604
Old road-2021-1-26,0.39,,582003.2925,7913549.589864798,2021,10,EPSG:32604
Old road-2021-1-27,0.35,,582003.8234,7913548.729454046,2021,10,EPSG:32604
Old road-2021-1-28,0.36,,582004.3542,7913547.869043294,2021,10,EPSG:32604
Old road-2021-1-29,0.37,,582004.8850942979,7913547.008632543,2021,10,EPSG:32604
Old road-2021-1-30,0.41,,582005.416,7913546.148221791,2021,10,EPSG:32604
Old road-2021-1-31,0.47,,582005.9468,7913545.287811039,2021,10,EPSG:32604
Old road-2021-1-32,0.5,,582006.4777027469,7913544.427400287,2021,10,EPSG:32604
Old road-2021-1-33,0.45,,582007.0085722299,7913543.566989535,2021,10,EPSG:32604
Old road-2021-1-34,0.46,,582007.5394417129,7913542.706578784,2021,10,EPSG:32604
Old road-2021-1-35,0.36,,582008.0703111958,7913541.846168032,2021,10,EPSG:32604
Old road-2021-1-36,0.41,,582008.6011806788,7913540.985757281,2021,10,EPSG:32604
Old road-2021-1-37,0.87,,582009.1320501618,7913540.125346529,2021,10,EPSG:32604
Old road-2021-1-38,,Frost probe bottomed out,582009.6629196447,7913539.2649357775,2021,10,EPSG:32604
Old road-2021-1-39,0.42,To refusal,582010.1937891277,7913538.404525026,2021,10,EPSG:32604
Old road-2021-1-40,0.2,"""",582010.7246586108,7913537.544114274,2021,10,EPSG:32604
Old road-2021-1-41,,Frost probe bottomed out,582011.2555280937,7913536.683703522,2021,10,EPSG:32604
Old road-2021-1-42,0.33,To refusal,582011.7863975767,7913535.823,2021,10,EPSG:32604
Old road-2021-1-43,0.4,"""",582012.3172670597,7913534.962882019,2021,10,EPSG:32604
Old road-2021-1-44,,Frost probe bottomed out,582012.8481365426,7913534.102471267,2021,10,EPSG:32604
Old road-2021-1-45,0.88,,582013.3790060256,7913533.242060515,2021,10,EPSG:32604
Old road-2021-1-46,0.63,,582013.9098755086,7913532.381649764,2021,10,EPSG:32604
Old road-2021-1-47,0.43,,582014.4407449915,7913531.521239012,2021,10,EPSG:32604
Old road-2021-1-48,0.4,,582014.9716144745,7913530.660828261,2021,10,EPSG:32604
Old road-2021-1-49,0.4,,582015.5024839576,7913529.800417509,2021,10,EPSG:32604
Old road-2021-1-50,0.46,,582016.0333534405,7913528.940006757,2021,10,EPSG:32604
Old road-2021-1-51,0.37,,582016.5642229235,7913528.079596005,2021,10,EPSG:32604
Old road-2021-1-52,0.38,,582017.0950924065,7913527.219185254,2021,10,EPSG:32604
Old road-2021-1-53,0.4,,582017.6259618894,7913526.358774502,2021,10,EPSG:32604
Old road-2021-1-54,0.38,,582018.1568313724,7913525.498,2021,10,EPSG:32604
Old road-2021-1-55,0.34,,582018.6877008554,7913524.637952998,2021,10,EPSG:32604
Old road-2021-1-56,0.58,,582019.2185703383,7913523.777542247,2021,10,EPSG:32604
Old road-2021-1-57,0.48,Pond,582019.7494398213,7913522.917131496,2021,10,EPSG:32604
Old road-2021-1-58,0.46,"""",582020.2803093044,7913522.056720744,2021,10,EPSG:32604
Old road-2021-1-59,0.45,"""",582020.8111787873,7913521.196309992,2021,10,EPSG:32604
Old road-2021-1-60,0.41,"""",582021.3420482703,7913520.336,2021,10,EPSG:32604
Old road-2021-1-61,0.39,"""",582021.8729177533,7913519.475488489,2021,10,EPSG:32604
Old road-2021-1-62,0.26,,582022.4037872362,7913518.615077737,2021,10,EPSG:32604
Old road-2021-1-63,0.21,,582022.9346567192,7913517.754666985,2021,10,EPSG:32604
Old road-2021-1-64,0.19,,582023.4655262022,7913516.894256233,2021,10,EPSG:32604
Old road-2021-1-65,0.18,,582023.9963956851,7913516.033845481,2021,10,EPSG:32604
Old road-2021-1-66,0.2,,582024.5272651681,7913515.173434731,2021,10,EPSG:32604
Old road-2021-1-67,0.36,,582025.0581346512,7913514.313023979,2021,10,EPSG:32604
Old road-2021-1-68,0.33,,582025.5890041341,7913513.452613227,2021,10,EPSG:32604
Old road-2021-1-69,0.38,,582026.1198736171,7913512.592202475,2021,10,EPSG:32604
Old road-2021-1-70,0.39,,582026.6507431001,7913511.7317917235,2021,10,EPSG:32604
Old road-2021-1-71,0.55,,582027.1816,7913510.871380972,2021,10,EPSG:32604
Old road-2021-1-72,0.45,,582027.7125,7913510.011,2021,10,EPSG:32604
Old road-2021-1-73,0.47,,582028.2434,7913509.150559468,2021,10,EPSG:32604
Old road-2021-1-74,0.45,,582028.7742210319,7913508.290148716,2021,10,EPSG:32604
Old road-2021-1-75,0.43,,582029.3051,7913507.429737965,2021,10,EPSG:32604
Old road-2021-1-76,0.3,,582029.836,7913506.569327214,2021,10,EPSG:32604
Old road-2021-1-77,0.38,,582030.3668294809,7913505.708916462,2021,10,EPSG:32604
Old road-2021-1-78,0.42,,582030.8976989639,7913504.849,2021,10,EPSG:32604
Old road-2021-1-79,0.42,,582031.4285684469,7913503.9880949585,2021,10,EPSG:32604
Old road-2021-1-80,0.45,,582031.9594379298,7913503.127684207,2021,10,EPSG:32604
Old road-2021-1-81,0.34,,582032.4903074128,7913502.267273455,2021,10,EPSG:32604
Old road-2021-1-82,0.35,,582033,7913501.416227604,2021,10,EPSG:32604
Old road-2021-1-83,0.43,,582033.5404901772,7913500.565181753,2021,10,EPSG:32604
Fence-2022-1-0,0.36,,583528.4828,7911468.321,2022,5.582,EPSG:32604
Fence-2022-1-2,0.3,,583530.4263874398,7911468.792194808,2022,5.583,EPSG:32604
Fence-2022-1-4,0.32,,583532.4436554157,7911469.281558911,2022,5.598,EPSG:32604
Fence-2022-1-6,0.32,,583534.3994596499,7911469.742,2022,5.649,EPSG:32604
Fence-2022-1-8,0.33,,583536.3449464531,7911470.147914919,2022,5.716,EPSG:32604
Fence-2022-1-10,0.4,,583538.3795638815,7911470.363698874,2022,5.673,EPSG:32604
Fence-2022-1-12,0.46,,583540.2283250189,7911470.748876379,2022,5.665,EPSG:32604
Fence-2022-1-14,0.32,,583542.241,7911471.291310212,2022,5.669,EPSG:32604
Fence-2022-1-16,0.3,,583544.1592420968,7911471.741392317,2022,5.602,EPSG:32604
Fence-2022-1-18,0.39,,583546.1183775443,7911472.200725749,2022,5.557,EPSG:32604
Fence-2022-1-20,0.4,,583548.0883284617,7911472.621,2022,5.261,EPSG:32604
Fence-2022-1-22,0.42,,583550.0300386363,7911473.076298551,2022,5.264,EPSG:32604
