lon,lat,date,pf_depth,pf_observed,thaw_depth,obs_limit,site_id,transect_direction,source,comments,method
-148.766486,69.812372,2018-08-26,68,1,68,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,51,1,51,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,61,1,61,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,49,1,49,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,65,1,65,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,47,1,47,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,70,1,70,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,42,1,42,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,45,1,45,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,54,1,54,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,51,1,51,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,84,1,84,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,53,1,53,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,57,1,57,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,61,1,61,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,44,1,44,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,52,1,52,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,62,1,62,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,52,1,52,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,57,1,57,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,56,1,56,,FB,NE-SW,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,49,1,49,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,61,1,61,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,71,1,71,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,58,1,58,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,50,1,50,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,65,1,65,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,63,1,63,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,66,1,66,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,68,1,68,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,69,1,69,,FB,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,56,1,56,,ICC,N-S ,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,43,1,43,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,47,1,47,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,47,1,47,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,46,1,46,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,55,1,55,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,43,1,43,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,58,1,58,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,61,1,61,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,52,1,52,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,49,1,49,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,36,1,36,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,59,1,59,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,49,1,49,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,46,1,46,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,46,1,46,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,51,1,51,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,57,1,57,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,52,1,52,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,42,1,42,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,44,1,44,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,50,1,50,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,50,1,50,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,46,1,46,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,57,1,57,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,61,1,61,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,52,1,52,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,41,1,41,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,45,1,45,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,45,1,45,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.827031,69.041894,2018-08-23,38,1,38,,ICC,N-S,Bakian_Dogaheh_2020,,tp/pit
