X,Y,PF
454917.5892,7178308.936,0
454833.1486,7178294.862,0
454367.917,7178692.733,0
454815.127,7178909.66,0
454557.945,7179376.392,0
454101.357,7180149.219,1
454787.631,7178894.163,0
453744.904,7179741.949,0
454394.385,7178723.987,0
453993.398,7180579.263,0
453803.483,7179773.979,0
454386.583,7178714.711,0
454419.703,7179619.24,1
454816.4364,7178292.224,0
454806.331,7178961.686,0
454531.421,7179437.045,0
