pf_observed,date,lon,lat,site_id,source,pf_depth,thaw_depth,obs_limit,method
1,2019-09-15,-164.81772687301984,65.16613602768966,KG,Seward,,,,unknown
1,2019-09-15,-164.82214526841238,65.16496658612783,KG,Seward,,,,unknown
0,2019-09-15,-164.8228382666191,65.16485241233565,KG,Seward,,,,unknown
1,2019-09-15,-164.82376691507034,65.16132052568462,KG,Seward,,,,unknown
0,2019-09-15,-164.82991731776065,65.16376084253609,KG,Seward,,,,unknown
1,2019-09-15,-164.82139047607748,65.15810848601305,KG,Seward,,,,unknown
0,2019-09-15,-164.8299149977027,65.1611054460662,KG,Seward,,,,unknown
0,2019-09-15,-164.83105671043867,65.1639632144068,KG,Seward,,,,unknown
1,2019-09-15,-164.8227555330768,65.16136985087067,KG,Seward,,,,unknown
0,2019-09-15,-164.8307731634869,65.16410406130649,KG,Seward,,,,unknown
1,2019-09-15,-164.82115557056673,65.15799067383236,KG,Seward,,,,unknown
1,2019-09-15,-164.82193112257417,65.1583814117758,KG,Seward,,,,unknown
1,2019-09-15,-164.80858315762865,65.1617405870963,KG,Seward,,,,unknown
1,2019-09-15,-164.82150955291135,65.1650748849599,KG,Seward,,,,unknown
0,2019-09-15,-164.8296391049781,65.16080528606423,KG,Seward,,,,unknown
1,2019-09-15,-164.82383539370096,65.16123779769362,KG,Seward,,,,unknown
0,2019-09-15,-164.82364361905383,65.16507916547924,KG,Seward,,,,unknown
1,2019-09-15,-164.8182193939321,65.1665248791076,KG,Seward,,,,unknown
1,2019-09-15,-164.80824716121526,65.16175106005129,KG,Seward,,,,unknown
0,2019-09-15,-164.82102537858236,65.15793406286656,KG,Seward,,,,unknown
0,2019-09-15,-164.8301149161712,65.16107995689646,KG,Seward,,,,unknown
0,2019-09-15,-164.82239665871998,65.16491385551976,KG,Seward,,,,unknown
0,2019-09-15,-164.82348171080753,65.1649632463388,KG,Seward,,,,unknown
0,2019-09-15,-164.83026069975503,65.16385260832497,KG,Seward,,,,unknown
1,2019-09-15,-164.82196389052262,65.16499638457793,KG,Seward,,,,unknown
1,2019-09-15,-164.82186103044444,65.16501095972492,KG,Seward,,,,unknown
1,2019-09-15,-164.81783818131748,65.16623153277396,KG,Seward,,,,unknown
1,2019-09-15,-164.8230634280927,65.16135509520124,KG,Seward,,,,unknown
1,2019-09-15,-164.8212603347627,65.16512142556132,KG,Seward,,,,unknown
0,2019-09-15,-164.8232684117703,65.16482339038929,KG,Seward,,,,unknown
0,2019-09-15,-164.8310860508948,65.16389242652656,KG,Seward,,,,unknown
1,2019-09-15,-164.80802370930377,65.1617582845625,KG,Seward,,,,unknown
0,2019-09-15,-164.82254324329884,65.16489223434905,KG,Seward,,,,unknown
0,2019-09-15,-164.8313118607371,65.16373082331037,KG,Seward,,,,unknown
