site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
PB-DI2-200,70.22,-148.42,2011-06-14,9.0,57.0,57.0,1,138.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-240,70.22,-148.42,2011-06-14,15.0,61.0,61.0,1,137.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-300,70.22,-148.42,2011-06-14,,13.0,13.0,1,270.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-350,70.22,-148.42,2011-06-14,7.0,57.0,68.0,1,345.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-400,70.22,-148.42,2011-06-14,,54.0,66.0,1,80.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-420,70.22,-148.42,2011-06-14,,57.0,57.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2-450,70.22,-148.42,2011-06-14,25.0,57.0,57.0,1,128.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI3,70.22,-148.42,2011-06-09,20.0,49.0,49.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI5,70.22,-148.42,2012-07-25,36.0,36.0,36.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-HC1,70.22,-148.42,2011-06-13,19.0,43.0,43.0,1,263.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-HC2,70.22,-148.42,2011-06-12,21.0,62.0,67.0,1,255.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-HC3,70.22,-148.42,2011-06-13,7.0,60.0,80.0,1,175.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1-150,70.22,-148.42,2011-06-09,8.0,52.0,52.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1-200,70.22,-148.42,2011-06-09,7.0,48.0,48.0,1,152.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1,70.22,-148.42,2011-06-09,6.0,38.0,42.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1-300,70.22,-148.42,2011-06-09,12.0,45.0,45.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1-350,70.22,-148.42,2011-06-09,2.0,43.0,51.0,1,332.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA1-500,70.22,-148.42,2011-06-09,10.0,50.0,55.0,1,178.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA16-050,70.22,-148.42,2012-07-26,,48.0,48.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA16-100,70.22,-148.42,2012-07-26,,49.0,49.0,1,149.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA16-150,70.22,-148.42,2012-07-25,5.0,52.0,52.0,1,130.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA16-330,70.22,-148.42,2012-07-26,7.0,54.0,61.0,1,85.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-000,70.22,-148.42,2012-07-27,,58.0,58.0,1,90.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-070,70.22,-148.42,2012-07-27,4.0,54.0,54.0,1,110.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-190,70.22,-148.42,2012-07-27,6.0,49.0,49.0,1,134.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-250,70.22,-148.42,2012-07-26,,52.0,52.0,1,134.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-330,70.22,-148.42,2012-07-27,,48.0,48.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-390,70.22,-148.42,2012-07-27,,56.0,56.0,1,132.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA18-440,70.22,-148.42,2012-07-27,20.0,55.0,55.0,1,131.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA2,70.22,-148.42,2011-06-09,3.0,49.0,49.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA2-B,70.22,-148.42,2012-06-11,9.0,47.0,52.0,1,58.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA21-000,70.22,-148.42,2012-07-27,20.0,41.0,42.0,1,89.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA21-210,70.22,-148.42,2012-07-25,2.0,45.0,45.0,1,136.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA21-360,70.22,-148.42,2012-07-27,62.0,55.0,55.0,1,141.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA21-780,70.22,-148.42,2012-07-26,,51.0,51.0,1,119.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-000,70.22,-148.42,2012-07-26,12.0,52.0,54.0,1,85.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-1030,70.22,-148.42,2012-07-25,7.0,46.0,46.0,1,107.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-170,70.22,-148.42,2012-07-26,,52.0,52.0,1,122.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-540,70.22,-148.42,2012-07-27,6.0,52.0,52.0,1,152.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-710,70.22,-148.42,2012-07-24,8.0,47.0,47.0,1,98.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA22-870,70.22,-148.42,2012-07-27,26.0,52.0,52.0,1,98.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA3,70.22,-148.42,2011-06-09,3.0,49.0,49.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA31,70.22,-148.42,2012-07-27,4.0,48.0,48.0,1,98.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA32,70.22,-148.42,2012-07-25,,70.0,75.0,1,106.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA5,70.22,-148.42,2012-07-23,16.0,41.0,52.0,1,150.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA6,70.22,-148.42,2012-07-23,8.0,55.0,55.0,1,160.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA7,70.22,-148.41,2012-07-23,7.0,52.0,57.0,1,167.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA8,70.22,-148.41,2012-07-23,6.0,51.0,51.0,1,140.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SA9,70.22,-148.42,2012-07-24,8.0,41.0,41.0,1,300.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1,70.22,-148.42,2011-06-09,6.0,44.0,44.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-100,70.22,-148.42,2011-06-14,7.0,51.0,51.0,1,110.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-160,70.22,-148.42,2011-06-14,5.0,41.0,45.0,1,150.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-210,70.22,-148.42,2011-06-14,5.0,48.0,48.0,1,325.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-300,70.22,-148.42,2011-06-14,10.0,46.0,46.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-400,70.22,-148.42,2011-06-14,3.0,42.0,42.0,1,170.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI1-450,70.22,-148.42,2011-06-14,10.0,53.0,54.0,1,145.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI2,70.22,-148.42,2011-06-09,12.0,40.0,44.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI3,70.22,-148.42,2011-06-09,,45.0,45.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI4,70.22,-148.42,2012-07-24,48.0,46.0,48.0,1,115.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI5,70.22,-148.42,2012-07-24,55.0,53.0,55.0,1,83.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-SI6,70.22,-148.42,2012-07-27,43.0,43.0,43.0,1,56.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T000-2mS,70.22,-148.41,2011-06-09,10.0,57.0,73.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T010-2mS,70.22,-148.41,2012-07-22,9.0,54.0,68.0,1,227.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T020-2mS,70.22,-148.41,2012-07-22,15.0,51.0,51.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T030-2mS,70.22,-148.41,2012-07-22,,56.0,56.0,1,132.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T040-2mS,70.22,-148.41,2012-07-23,46.0,59.0,59.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T050-2mS,70.22,-148.41,2011-06-09,45.0,48.0,54.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T070-2mS,70.22,-148.42,2012-07-23,15.0,54.0,54.0,1,146.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T080-2mS,70.22,-148.42,2012-07-26,,61.0,61.0,1,173.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T090-2mS,70.22,-148.42,2012-07-26,,55.0,60.0,1,151.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T110-2mS,70.22,-148.42,2012-07-26,22.0,48.0,56.0,1,125.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T120-2mS,70.22,-148.42,2012-07-26,22.0,57.0,57.0,1,145.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T130-2ms,70.22,-148.42,2012-07-25,6.0,60.0,65.0,1,155.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T140-2mS,70.22,-148.42,2012-07-25,19.0,51.0,51.0,1,133.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T160-2mS,70.22,-148.42,2012-07-25,13.0,53.0,59.0,1,134.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T170-2mS,70.22,-148.42,2012-07-25,8.0,50.0,50.0,1,142.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T180-2mS,70.22,-148.42,2012-07-25,15.0,51.0,51.0,1,120.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T190-2mS,70.22,-148.42,2012-07-25,,55.0,55.0,1,116.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-T200-2mS,70.22,-148.42,2011-06-09,,47.0,49.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD1,70.22,-148.41,2011-06-09,3.0,38.0,51.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2,70.22,-148.41,2011-06-09,8.0,41.0,41.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2-100,70.22,-148.41,2011-06-10,5.0,48.0,57.0,1,115.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2-150,70.22,-148.41,2011-06-10,5.0,46.0,46.0,1,161.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2-200,70.22,-148.41,2011-06-10,9.0,38.0,48.0,1,325.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2-250,70.22,-148.41,2011-06-10,4.0,48.0,52.0,1,211.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD2-300,70.22,-148.41,2011-06-10,6.0,51.0,51.0,1,129.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD3,70.22,-148.42,2011-06-09,15.0,39.0,44.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD5,70.22,-148.42,2012-07-24,5.0,38.0,46.0,1,77.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-UD6,70.22,-148.42,2012-07-25,36.0,46.0,54.0,1,61.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T1-001,70.3,-148.35,2006-07-25,,68.0,68.0,1,228.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-000,70.37,-148.5,2006-07-25,99.0,,37.0,1,102.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-005,70.37,-148.5,2006-07-28,,0.0,,0,,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-025,70.37,-148.5,2006-07-28,89.0,,33.0,1,97.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-100,70.37,-148.5,2006-07-28,42.0,,42.0,1,74.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-105,70.37,-148.5,2006-07-28,,,34.0,1,196.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-1-150,70.37,-148.5,2006-07-28,,,68.0,1,195.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-2-001,70.37,-148.5,2006-07-27,154.0,34.0,34.0,1,194.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-2-005,70.37,-148.5,2006-07-27,63.0,47.0,47.0,1,63.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-2-025,70.37,-148.5,2006-07-27,37.0,37.0,37.0,1,74.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-2-100,70.37,-148.5,2006-07-27,,,39.0,1,105.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T2-2-105,70.37,-148.5,2006-07-27,,142.0,142.0,1,178.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T3-000,70.37,-148.5,2006-07-27,87.0,37.0,37.0,1,201.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T3-001,70.37,-148.5,2006-07-28,,10.0,,0,10.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T3-005,70.37,-148.5,2006-07-28,,10.0,,0,10.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T3-025,70.37,-148.5,2006-07-28,,10.0,,0,10.0,aug_pit,Jorgenson_Kanevskiy_2025
PBAY-T3-100,70.37,-148.5,2006-07-28,,10.0,,0,10.0,aug_pit,Jorgenson_Kanevskiy_2025
RC-C1,65.65,-149.08,2017-08-12,,,71.0,1,288.0,aug_pit,Jorgenson_Kanevskiy_2025
RC-C2,65.65,-149.08,2017-08-12,,,100.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
RC-E1,65.65,-149.08,2016-09-09,,,90.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
RIB-DB1,68.79,-148.72,2023-08-24,,50.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
RIB-DB2,68.79,-148.72,2023-08-24,10.0,50.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
S01AK-185-001,68.48,-149.49,2001-08-25,,54.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
S01AK-185-002,69.67,-148.72,2001-08-29,20.0,90.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S01AK-185-003,69.67,-148.72,2001-08-29,,82.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S01AK-185-004,69.14,-148.84,2001-08-26,,67.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S01AK-185-005,70.37,-148.55,2001-08-27,9.0,38.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S1992AK185001,71.3,-156.59,1992-08-19,7.0,30.0,,0,103.0,aug_pit,Jorgenson_Kanevskiy_2025
S1992AK185003,71.31,-156.59,1992-08-19,11.0,20.0,,0,48.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185001,70.28,-148.89,1992-06-18,50.0,50.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185003,69.14,-148.85,1993-06-19,10.0,34.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185004,68.63,-149.63,1993-06-01,30.0,65.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185005,68.63,-149.58,1993-06-20,13.0,30.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185006,68.61,-149.31,1993-06-01,17.0,40.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185007,67.57,-149.79,1993-06-23,25.0,50.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185008,67.43,-150.14,1993-06-23,6.0,120.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185009,67.43,-150.14,1993-06-01,48.0,54.0,,0,108.0,aug_pit,Jorgenson_Kanevskiy_2025
S1993AK185010,67.2,-150.27,1993-06-01,39.0,51.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185001,70.28,-148.88,1995-07-04,11.0,41.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185002,70.27,-148.91,1995-07-04,39.0,39.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185003,70.27,-148.91,1995-07-05,3.0,43.0,,0,84.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185004,70.27,-148.91,1995-07-05,15.0,25.0,35.0,1,50.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185005,69.93,-148.8,1995-07-06,8.0,52.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185006,69.93,-148.8,1995-07-06,30.0,51.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185007,68.62,-149.61,1995-07-07,13.0,30.0,,0,55.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185008,68.62,-149.61,1995-07-07,9.0,32.0,,0,50.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185009,68.62,-149.61,1995-07-07,14.0,50.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185010,68.61,-149.31,1995-07-08,80.0,50.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185011,68.61,-149.31,1995-07-08,35.0,35.0,,0,35.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185012,68.61,-149.3,1995-07-08,17.0,26.0,,0,70.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185013,69.44,-148.66,1995-07-10,25.0,45.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185014,69.4,-148.79,1995-07-10,20.0,35.0,,0,90.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185015,69.12,-148.58,1995-07-11,15.0,28.0,,0,90.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185016,69.06,-148.74,1995-07-11,2.0,52.0,,0,53.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185017,68.76,-149.4,1995-07-12,,20.0,,0,70.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185018,69.78,-149.78,1995-07-12,25.0,42.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185018b,69.78,-149.78,1995-07-12,24.0,53.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185019,69.78,-149.78,1995-07-12,,999.0,,0,999.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185020,68.5,-149.18,1995-07-13,3.0,90.0,,0,90.0,aug_pit,Jorgenson_Kanevskiy_2025
S1995AK185021,68.61,-149.29,1995-07-13,5.0,120.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S1996AK185001,69.4,-148.78,1996-08-03,23.0,50.0,,0,80.0,aug_pit,Jorgenson_Kanevskiy_2025
S1996AK185002,70.26,-148.88,1996-08-04,50.0,30.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1996AK185004,70.46,-157.37,1996-08-09,30.0,47.0,,0,110.0,aug_pit,Jorgenson_Kanevskiy_2025
S1998AK185002A,68.62,-149.6,1998-08-02,8.0,50.0,,0,80.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185001,68.48,-155.74,1999-07-07,30.0,60.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185002,68.47,-155.73,1999-07-07,40.0,60.0,,0,90.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185003,68.48,-155.74,1999-07-08,30.0,45.0,,0,68.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185004,68.48,-155.73,1999-07-08,33.0,73.0,,0,73.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185005,69.73,-155.86,1999-07-10,15.0,55.0,,0,75.0,aug_pit,Jorgenson_Kanevskiy_2025
S1999AK185006,69.73,-155.86,1999-09-10,15.0,46.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S2003AK185001,68.63,-149.64,2003-08-19,18.0,23.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
S2003AK185002,69.39,-148.73,2003-08-19,9.0,36.0,,0,140.0,aug_pit,Jorgenson_Kanevskiy_2025
S2003AK185003,70.31,-147.99,2003-08-21,,84.0,,0,140.0,aug_pit,Jorgenson_Kanevskiy_2025
S2003AK185004,69.98,-148.69,2003-08-22,18.0,45.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185001,69.6,-148.64,2004-08-13,11.0,72.0,,0,80.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185002,69.13,-148.84,2004-08-14,10.0,50.0,,0,120.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185003,68.48,-149.47,2004-08-15,4.0,77.0,,0,77.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185004,67.96,-149.76,2004-08-16,9.0,60.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185005,67.94,-149.78,2004-08-16,10.0,60.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185006,68.06,-149.58,2004-08-16,5.0,55.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185007,67.56,-149.82,2004-08-17,30.0,45.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185008,67.39,-150.09,2004-08-17,10.0,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185009,67.33,-150.14,2004-08-17,16.0,130.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
S2004AK185010,67.27,-150.16,2004-08-18,10.0,129.0,,0,186.0,aug_pit,Jorgenson_Kanevskiy_2025
S2007AK001002,68.12,-149.47,2007-08-21,,56.0,,0,152.0,aug_pit,Jorgenson_Kanevskiy_2025
S2007AK001003,70.28,-148.89,1992-09-21,15.0,35.0,,0,80.0,aug_pit,Jorgenson_Kanevskiy_2025
S2007AK001004,68.61,-149.3,2007-08-21,3.0,152.0,,0,152.0,aug_pit,Jorgenson_Kanevskiy_2025
TAAB-T01-45,64.71,-147.96,2003-07-22,,76.0,,0,76.0,aug_pit,Jorgenson_Kanevskiy_2025
TAAB-T16-06,64.67,-147.9,2003-07-23,,48.0,,0,48.0,aug_pit,Jorgenson_Kanevskiy_2025
TAAB-T20-03,64.64,-147.96,2005-08-24,,60.0,,0,60.0,aug_pit,Jorgenson_Kanevskiy_2025
TAAB-T21-01,64.64,-147.97,2005-08-24,,51.0,,0,51.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C04,64.72,-148.04,2023-05-10,,44.0,44.0,1,304.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C05,64.72,-148.04,2023-05-10,,34.0,3.0,1,498.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C06,64.64,-147.96,2023-05-10,,62.0,76.0,1,390.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C08,64.71,-147.89,2023-05-11,,60.0,60.0,1,450.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C09,64.71,-147.89,2023-05-11,,20.0,0.0,1,350.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C01,64.64,-147.96,2020-10-02,83.0,,85.0,1,361.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C10,64.65,-147.98,2023-05-11,,58.0,58.0,1,434.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C11,64.65,-147.98,2023-05-11,,27.0,27.0,1,328.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C02,64.69,-148.01,2020-10-02,,130.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-C03,64.69,-148.01,2020-10-02,,130.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R1,64.7,-147.96,2001-07-29,,70.0,,0,70.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R2,64.69,-147.91,2001-07-29,,39.0,,0,39.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R3,64.68,-147.91,2001-07-29,,100.0,,0,100.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R4,64.68,-147.94,2001-07-29,,125.0,,0,125.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R5,64.69,-147.92,2001-07-29,,40.0,,0,40.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-R6,64.7,-147.93,2001-07-29,,130.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-140,64.72,-147.96,2001-07-28,,130.0,,0,130.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-153,64.72,-147.96,2001-07-28,,152.0,,0,152.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-178,64.72,-147.96,2001-07-28,,132.0,,0,132.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-191,64.72,-147.96,2001-07-28,,64.0,,0,64.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-199,64.72,-147.96,2001-07-28,,67.0,,0,67.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-BS1,64.72,-147.95,2012-08-21,,74.0,,0,74.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-BS2,64.71,-147.96,2013-07-24,,54.0,,0,54.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-BS3,64.71,-147.95,2012-08-21,,45.0,,0,45.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-BS4,64.72,-147.96,2013-07-24,,44.0,,0,44.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-BS5,64.72,-147.95,2012-08-21,,72.0,,0,72.0,aug_pit,Jorgenson_Kanevskiy_2025
TF-T1-min10m,64.72,-147.95,2001-07-28,,25.0,,0,25.0,aug_pit,Jorgenson_Kanevskiy_2025
TF01-BS1,64.64,-148.29,2012-08-23,,100.0,,0,173.0,aug_pit,Jorgenson_Kanevskiy_2025
TF01-BS2,64.64,-148.29,2012-08-23,,100.0,,0,168.0,aug_pit,Jorgenson_Kanevskiy_2025
TF01-BS3,64.64,-148.29,2012-08-23,,70.0,70.0,1,75.0,aug_pit,Jorgenson_Kanevskiy_2025
TF01-BS4,64.64,-148.29,2012-08-23,,92.0,92.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
TF01-BS5,64.64,-148.29,2012-08-23,,66.0,66.0,1,70.0,aug_pit,Jorgenson_Kanevskiy_2025
TF10-BS1,64.71,-148.0,2012-08-25,,100.0,,0,138.0,aug_pit,Jorgenson_Kanevskiy_2025
TF10-BS2,64.71,-148.01,2012-08-24,,100.0,,0,133.0,aug_pit,Jorgenson_Kanevskiy_2025
TF10-BS3,64.71,-148.01,2012-08-25,,87.0,,0,87.0,aug_pit,Jorgenson_Kanevskiy_2025
TF10-BS4,64.71,-148.01,2012-08-25,,100.0,,0,135.0,aug_pit,Jorgenson_Kanevskiy_2025
TF10-BS5,64.71,-148.01,2012-08-25,,56.0,,0,56.0,aug_pit,Jorgenson_Kanevskiy_2025
TF50-BP1,64.73,-147.82,2012-10-02,,59.0,59.0,1,405.0,aug_pit,Jorgenson_Kanevskiy_2025
