site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
JG-C02,69.74,-143.6,2018-07-31,5.0,36.0,47.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C03,69.74,-143.6,2018-07-31,,43.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C04,69.74,-143.6,2018-08-01,,30.0,53.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C05,69.74,-143.6,2018-07-31,,41.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C07,69.74,-143.6,2018-07-31,,42.0,51.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C08,69.74,-143.6,2018-07-31,,47.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C09,69.74,-143.6,2018-07-31,,33.0,33.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C10,69.74,-143.6,2018-08-01,,41.0,41.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C11,69.74,-143.6,2018-08-01,,32.0,37.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C12,69.74,-143.6,2018-08-01,,39.0,39.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C13,69.74,-143.6,2018-08-01,,43.0,46.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C14,69.74,-143.6,2018-08-01,,48.0,48.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C16,69.74,-143.6,2018-01-29,,54.0,54.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C17,69.74,-143.6,2018-08-01,,40.0,40.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C21,69.74,-143.6,2018-01-29,20.0,44.0,52.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C22,69.74,-143.6,2018-08-01,22.0,50.0,56.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C24,69.74,-143.6,2018-08-01,27.0,27.0,42.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C25,69.74,-143.6,2018-07-30,,31.0,51.0,1,522.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C26,69.74,-143.6,2018-08-01,,25.0,43.0,1,142.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C30,69.74,-143.6,2018-07-31,,49.0,54.0,1,109.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C31,69.74,-143.6,2018-07-31,,36.0,44.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C32,69.74,-143.6,2018-07-31,,44.0,60.0,1,127.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C33,69.74,-143.6,2018-07-27,,24.0,50.0,1,128.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C34,69.74,-143.6,2018-08-01,33.0,37.0,50.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C35,69.74,-143.6,2018-08-01,,38.0,48.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C40,69.74,-143.6,2018-08-01,23.0,33.0,45.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C48,69.74,-143.6,2018-08-02,,36.0,52.0,1,156.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C49,69.74,-143.6,2018-08-02,,40.0,45.0,1,317.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-C50,69.74,-143.6,2018-08-02,,36.0,36.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA1,69.74,-143.6,2009-08-10,18.0,44.0,44.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA1,69.74,-143.6,2011-07-29,,52.0,,0,52.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA1,69.74,-143.6,2018-07-29,,41.0,41.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA2,69.74,-143.6,2009-08-10,,48.0,48.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA2,69.74,-143.6,2011-07-29,,46.0,,0,46.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA2,69.74,-143.6,2018-07-29,,53.0,53.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA3,69.74,-143.6,2009-08-12,,62.0,73.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA3,69.74,-143.6,2011-07-29,,63.0,,0,63.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DA3,69.74,-143.6,2018-08-01,,62.0,62.0,1,120.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI1,69.74,-143.6,2009-08-12,24.0,43.0,60.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI1,69.74,-143.6,2011-07-30,,56.0,,0,56.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI1,69.74,-143.6,2018-08-01,30.0,44.0,55.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
JG-DI2,69.74,-143.6,2009-08-12,20.0,44.0,44.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
