Site,Date,Sample_ID,Latitude,Longitude,Elevation,Thaw_Depth,Soil_Moisture,Veg_Height,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0001,65.39306174,-164.6586595,91.891,38,55.9,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0002,65.39307054,-164.6582044,91.618,50,57.1,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0003,65.39305901,-164.6577524,90.911,35,83.5,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0004,65.39301527,-164.6573085,90.524,38,61.8,20,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0005,65.39294295,-164.6568962,90.237,34,55.6,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0006,65.39293328,-164.6564685,89.442,30,53.3,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0007,65.39290368,-164.6559065,88.244,37,75.3,20,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0008,65.39288279,-164.6554544,88.254,28,52,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0009,65.39285582,-164.6550038,87.712,40,84.5,25,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0010,65.39283432,-164.6545649,87.975,32,54.7,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0011,65.39281028,-164.6541252,87.906,37,58.1,25,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0012,65.39277477,-164.6536687,88.008,29,51,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0013,65.39273655,-164.653335,87.887,28,72.1,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0014,65.39269337,-164.6529169,87.954,29,60.4,5,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0015,65.39268456,-164.6527655,87.82,38,73.1,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0016,65.3926689,-164.6523613,87.802,30,79.4,25,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0017,65.39265177,-164.6519577,87.929,25,52.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0018,65.39265378,-164.6515541,87.837,13,57.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0019,65.39264636,-164.6511449,87.746,25,52,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0020,65.39262907,-164.6507582,87.848,22,62.2,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0021,65.39260594,-164.6503378,87.8,18,54.2,10,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0022,65.39259251,-164.649953,87.455,20,90.7,40,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0023,65.39256685,-164.6495769,87.799,28,74.4,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0024,65.39255263,-164.6491946,87.845,7,50.7,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0025,65.392566,-164.6487987,87.85,12,94.8,15,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0026,65.39256678,-164.6484118,88.608,18,56.5,30,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0027,65.39257988,-164.6480357,89.415,38,57.9,25,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0028,65.39261739,-164.6476399,89.669,28,52.8,40,,,,,,,,,,,,,,,,,,
Kougarok_MM82,20220723,K82_0029,65.39262977,-164.6472582,90.079,20,65.7,15,,,,,,,,,,,,,,,,,,
