site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,deepest_temperature_depth_m,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Mackenzie Delta,TC18 Goose Is. south,69.45,-135.38,147.0,1,,1992-07-01,147,08/91-06/93,Mackenzie Delta | TC18 Goose Is. south,,unknown,Smith_Burgess_2000,147.0,True,True,True
North Head,C3 100m from Beaufort coast,69.72,-134.45,62.0,1,0.07,1995-07-01,62,1994-1997,North Head | C3 100m from Beaufort coast,,unknown,Smith_Burgess_2000,62.0,True,True,True
Taglu,C4 ,69.37,-134.95,118.0,1,0.07,1995-07-01,118,1994-1997,Taglu | C4,,unknown,Smith_Burgess_2000,118.0,True,True,True
Lousy Point,C5 glaciofluvial ridge,69.22,-134.28,85.0,1,0.07,1994-07-01,85,1994-1995,Lousy Point | C5 glaciofluvial ridge,,unknown,Smith_Burgess_2000,85.0,True,True,True
Reindeer Depot,C7 surface of bar in East Channel,68.02,-134.14,134.0,1,0.07,1996-07-01,134,1996-1997,Reindeer Depot | C7 surface of bar in East Channel,,unknown,Smith_Burgess_2000,134.0,True,True,True
Rengleng River,C8 Alluvial plain,67.79,-134.13,110.0,1,0.07,1995-07-01,110,1994-1997,Rengleng River | C8 Alluvial plain,,unknown,Smith_Burgess_2000,110.0,True,True,True
Meadowbank River,-,65.3,-95.41666666666667,77.0,1,8.23,1975-07-01,77,1974 - 1976,Meadowbank River,,unknown,Smith_Burgess_2000,77.0,True,True,True
Thelon River,-,64.5,-96.7,58.0,1,8.23,1975-07-01,58,1974 - 1976,Thelon River,,unknown,Smith_Burgess_2000,58.0,True,True,True
Thirty Mile Lake,-,63.5,-96.8,216.0,1,5.49,1975-07-01,216,1974 - 1976,Thirty Mile Lake,,unknown,Smith_Burgess_2000,216.0,True,True,True
Kazan River,-,63.04,-97.1,111.0,1,8.8,1975-07-01,111,1974 - 1976,Kazan River,,unknown,Smith_Burgess_2000,111.0,True,True,True
Rankin Inlet,1,62.833333333333336,-92.0,333.0,1,13.87,1975-07-01,333,1974 - 1976,Rankin Inlet | 1,,unknown,Smith_Burgess_2000,333.0,True,True,True
Rankin Inlet,2,62.833333333333336,-92.0,150.0,1,12.5,1975-07-01,150,1974 - 1976,Rankin Inlet | 2,,unknown,Smith_Burgess_2000,150.0,True,True,True
Rankin Inlet,3,62.833333333333336,-92.0,117.0,1,4.88,1975-07-01,117,1974 - 1976,Rankin Inlet | 3,,unknown,Smith_Burgess_2000,117.0,True,True,True
Rankin Inlet,4,62.833333333333336,-92.0,124.0,1,4.27,1975-07-01,124,1974 - 1976,Rankin Inlet | 4,,unknown,Smith_Burgess_2000,124.0,True,True,True
Kogtok River,-,62.09,-97.05,51.0,1,6.5,1975-07-01,51,1974 - 1976,Kogtok River,,unknown,Smith_Burgess_2000,51.0,True,True,True
Maguse Lake,1,61.833333333333336,-95.15,38.0,1,15.54,1975-07-01,38,1974 - 1976,Maguse Lake | 1,,unknown,Smith_Burgess_2000,38.0,True,True,True
Maguse Lake,2,61.833333333333336,-95.15,91.0,1,,1975-07-01,91,1974 - 1976,Maguse Lake | 2,,unknown,Smith_Burgess_2000,91.0,True,True,True
Heninga Lake,1,61.75,-96.33333333333333,324.0,1,15.54,1975-07-01,324,1974 - 1976,Heninga Lake | 1,,unknown,Smith_Burgess_2000,324.0,True,True,True
Heninga Lake,2,61.75,-96.33333333333333,254.0,1,14.78,1975-07-01,254,1974 - 1976,Heninga Lake | 2,,unknown,Smith_Burgess_2000,254.0,True,True,True
Heninga Lake,3,61.75,-96.33333333333333,171.0,1,14.94,1975-07-01,171,1974 - 1976,Heninga Lake | 3,,unknown,Smith_Burgess_2000,171.0,True,True,True
Heninga Lake,4,61.75,-96.33333333333333,130.0,1,14.94,1975-07-01,130,1974 - 1976,Heninga Lake | 4,,unknown,Smith_Burgess_2000,130.0,True,True,True
Noomut River,-,61.5,-96.82833333333333,31.0,1,5.9,1975-07-01,31,1974 - 1976,Noomut River,,unknown,Smith_Burgess_2000,31.0,True,True,True
Tha-Anne River,-,61.016666666666666,-96.7,61.0,1,6.1,1975-07-01,61,1974 - 1976,Tha-Anne River,,unknown,Smith_Burgess_2000,61.0,True,True,True
Mountain River,C9 alluvial terrace,65.67,-126.83,60.0,1,0.07,1995-07-01,60,1993-1997,Mountain River | C9 alluvial terrace,,unknown,Smith_Burgess_2000,60.0,True,True,True
Norman Wells,C11 alluvial terrace,65.2,-126.46,60.0,1,0.07,1995-07-01,60,1994-1997,Norman Wells | C11 alluvial terrace,,unknown,Smith_Burgess_2000,60.0,True,True,True
Ochre River,C13 fluvial terrace,63.47,-123.69,60.0,1,0.07,1994-07-01,60,1993-1996,Ochre River | C13 fluvial terrace,,unknown,Smith_Burgess_2000,60.0,True,True,True
Willowlake River,C14 top of inactive fluvial bar,62.7,-123.06,84.0,1,0.07,1994-07-01,84,1993-1996,Willowlake River | C14 top of inactive fluvial bar,,unknown,Smith_Burgess_2000,84.0,True,True,True
Fort Simpson,C15 glaciolacustrine plain,61.89,-121.6,113.0,1,0.07,1994-07-01,113,1993-1996,Fort Simpson | C15 glaciolacustrine plain,,unknown,Smith_Burgess_2000,113.0,True,True,True
Churchill,1,58.75,-94.05,761.0,1,14.94,1975-07-01,761,1974 - 1976,Churchill | 1,,unknown,Smith_Burgess_2000,761.0,True,True,True
Churchill,2,58.75,-94.05,77.0,1,15.24,1975-07-01,77,1974 - 1976,Churchill | 2,,unknown,Smith_Burgess_2000,77.0,True,True,True
Churchill,3,58.75,-94.05,50.0,1,15.54,1975-07-01,50,1974 - 1976,Churchill | 3,,unknown,Smith_Burgess_2000,50.0,True,True,True
Asbestos Hill,-,61.9,-73.96666666666667,121.0,1,,1963-07-01,106.7 - 121.9,1962-1964,Asbestos Hill,,unknown,Smith_Burgess_2000,121.0,True,True,True
Kangiqsualujjuaq,rock,58.7,-66.0,500.0,1,,1989-07-01,500,06/89-12/89,Kangiqsualujjuaq | rock,,unknown,Smith_Burgess_2000,500.0,True,True,True
Kangiqsualujjuaq,Till,58.7,-66.0,200.0,1,,1989-07-01,200,06/89-12/89,Kangiqsualujjuaq | Till,,unknown,Smith_Burgess_2000,200.0,True,True,True
Kangiqsualujjuaq,Silt clay,58.7,-66.0,150.0,1,,1989-07-01,150,06/89-12/89,Kangiqsualujjuaq | Silt clay,,unknown,Smith_Burgess_2000,150.0,True,True,True
Quaqtaq,Sediment,61.03,-69.5,140.0,1,,1990-07-01,140,07/88-12/92,Quaqtaq | Sediment,,unknown,Smith_Burgess_2000,140.0,True,True,True
Quaqtaq,Sedimet,61.03,-69.5,220.0,1,,1990-07-01,220,07/88-12/92,Quaqtaq | Sedimet,,unknown,Smith_Burgess_2000,220.0,True,True,True
Kangiqsujuaq,rock,61.5,-72.0,340.0,1,,1990-07-01,340,08/88-12/93,Kangiqsujuaq | rock,,unknown,Smith_Burgess_2000,340.0,True,True,True
