site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,kling_source_sd_cm,kling_source_se_cm,kling_source_n,kling_source_min_cm,kling_source_max_cm,kling_source_cv_percent
LTER_Imnavait,2003-06-17,68.6103415,-149.3086005,10.8,1,10.8,,tp,Kling_2025,4.8,0.3,225,1.5,28.5,44.0
LTER_Imnavait,2003-06-23,68.6103415,-149.3086005,15.5,1,15.5,,tp,Kling_2025,4.8,0.3,225,8.0,40.0,31.2
LTER_Imnavait,2003-07-02,68.6103415,-149.3086005,19.7,1,19.7,,tp,Kling_2025,7.2,0.5,225,10.0,51.0,36.6
LTER_Imnavait,2003-07-12,68.6103415,-149.3086005,26.5,1,26.5,,tp,Kling_2025,7.7,0.5,225,10.0,60.0,29.1
LTER_Imnavait,2003-07-28,68.6103415,-149.3086005,34.0,1,34.0,,tp,Kling_2025,11.2,0.7,225,10.0,70.0,33.0
LTER_Imnavait,2003-08-11,68.6103415,-149.3086005,37.7,1,37.7,,tp,Kling_2025,11.4,0.8,224,10.0,85.0,30.3
LTER_Imnavait,2004-06-26,68.6103415,-149.3086005,21.3,1,21.3,,tp,Kling_2025,6.9,0.5,225,6.0,58.0,32.4
LTER_Imnavait,2004-07-02,68.6103415,-149.3086005,27.3,1,27.3,,tp,Kling_2025,8.3,0.6,225,14.0,59.0,30.6
LTER_Imnavait,2004-07-16,68.6103415,-149.3086005,34.9,1,34.9,,tp,Kling_2025,9.5,0.6,225,19.0,72.0,27.2
LTER_Imnavait,2004-07-28,68.6103415,-149.3086005,41.2,1,41.2,,tp,Kling_2025,11.7,0.8,225,19.0,79.0,28.4
LTER_Imnavait,2004-08-11,68.6103415,-149.3086005,41.6,1,41.6,,tp,Kling_2025,11.3,0.8,225,22.0,82.0,27.2
LTER_Imnavait,2005-06-18,68.6103415,-149.3086005,18.0,1,18.0,,tp,Kling_2025,4.4,0.3,225,8.0,38.0,24.6
LTER_Imnavait,2005-07-02,68.6103415,-149.3086005,22.1,1,22.1,,tp,Kling_2025,5.9,0.4,225,12.0,46.0,26.9
LTER_Imnavait,2005-07-14,68.6103415,-149.3086005,27.2,1,27.2,,tp,Kling_2025,6.8,0.5,225,13.0,63.0,25.0
LTER_Imnavait,2005-07-29,68.6103415,-149.3086005,37.3,1,37.3,,tp,Kling_2025,9.2,0.6,224,21.0,73.0,24.7
LTER_Imnavait,2005-08-11,68.6103415,-149.3086005,39.4,1,39.4,,tp,Kling_2025,9.5,0.6,225,23.0,82.0,24.2
LTER_Imnavait,2006-06-20,68.6103415,-149.3086005,16.6,1,16.6,,tp,Kling_2025,5.8,0.4,225,8.0,40.0,35.1
LTER_Imnavait,2006-07-01,68.6103415,-149.3086005,24.5,1,24.5,,tp,Kling_2025,7.3,0.5,225,13.0,54.0,29.8
LTER_Imnavait,2006-07-15,68.6103415,-149.3086005,30.5,1,30.5,,tp,Kling_2025,11.1,0.7,225,12.0,66.0,36.5
LTER_Imnavait,2006-07-29,68.6103415,-149.3086005,39.7,1,39.7,,tp,Kling_2025,11.4,0.8,225,16.0,76.0,28.7
LTER_Imnavait,2006-08-11,68.6103415,-149.3086005,43.9,1,43.9,,tp,Kling_2025,12.3,0.8,225,13.0,82.0,28.1
LTER_Imnavait,2006-08-21,68.6103415,-149.3086005,45.0,1,45.0,,tp,Kling_2025,11.8,0.8,225,25.0,84.0,26.2
LTER_Imnavait,2007-06-16,68.6103415,-149.3086005,17.0,1,17.0,,tp,Kling_2025,3.9,0.3,225,8.0,36.0,22.8
LTER_Imnavait,2007-07-02,68.6103415,-149.3086005,22.4,1,22.4,,tp,Kling_2025,5.6,0.4,225,12.0,44.0,25.0
LTER_Imnavait,2007-07-12,68.6103415,-149.3086005,27.9,1,27.9,,tp,Kling_2025,7.4,0.5,225,12.0,51.0,26.7
LTER_Imnavait,2007-07-30,68.6103415,-149.3086005,37.2,1,37.2,,tp,Kling_2025,10.2,0.7,225,10.0,71.0,27.3
LTER_Imnavait,2007-08-11,68.6103415,-149.3086005,42.3,1,42.3,,tp,Kling_2025,11.3,0.8,225,18.0,82.0,26.6
LTER_Imnavait,2007-08-21,68.6103415,-149.3086005,48.5,1,48.5,,tp,Kling_2025,11.6,0.8,225,27.0,87.0,24.0
LTER_Imnavait,2008-06-28,68.6103415,-149.3086005,21.3,1,21.3,,tp,Kling_2025,7.4,0.5,225,10.0,47.0,34.8
LTER_Imnavait,2008-07-02,68.6103415,-149.3086005,21.7,1,21.7,,tp,Kling_2025,6.6,0.4,222,9.0,46.0,30.5
LTER_Imnavait,2008-07-12,68.6103415,-149.3086005,29.6,1,29.6,,tp,Kling_2025,8.2,0.5,222,15.0,56.0,27.6
LTER_Imnavait,2008-07-26,68.6103415,-149.3086005,37.6,1,37.6,,tp,Kling_2025,9.4,0.6,222,16.0,67.0,25.1
