OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],Creek shift [m],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
,,,,,,,,,,,,
54,ACTRAN001,68.7680703,-148.8897941,18:13,c.n.p.,10,55.40637071,22.40637071,,494.83446,0.84521,0.015254744
55,ACTRAN002,68.7682796,-148.8904662,18:14,43,no rocks,50.04268065,17.04268065,494.59524,495.02524,1.03599,0.020702128
56,ACTRAN003,68.76837563,-148.8907592,18:15,80,no rocks,46.88272234,13.88272234,494.24962,495.04962,1.06037,0.022617501
57,ACTRAN004,68.76841939,-148.890877,18:16,90,no rocks,42.1001487,9.100148704,494.23312,495.13312,1.14387,0.027170213
58,ACTRAN005,68.76846345,-148.8910344,18:16,c.n.p.,100,41.01501823,8.015018229,,495.13453,1.14528,0.02792343
59,ACTRAN006,68.76848432,-148.8911304,18:17,c.n.p.,no rocks,40.4752631,7.475263097,,495.45343,1.46418,0.036174688
60,ACTRAN007,68.76850157,-148.8912003,18:18,c.n.p.,40,24.84504944,-8.15495056,,494.74407,0.75482,0.030381103
61,ACTRAN008,68.7685369,-148.8913548,18:18,45,no rocks,24.28209194,-8.717908064,493.78723,494.23723,0.24798,0.010212464
62,ACTRAN009,68.76854297,-148.8913958,18:19,c.n.p.,80,23.55502098,-9.444979022,,494.64911,0.65986,0.02801356
63,ACTRAN010,68.76856477,-148.8914707,18:19,c.n.p.,40,17.58203883,-15.41796117,,493.89392,-0.09533,-0.005422011
64,ACTRAN011,68.76858806,-148.891525,18:20,c.n.p.,40,13.95276318,-19.04723682,,493.98925,0,0
,,,,,,,,,,,,
65,ACTRAN012,68.76859978,-148.8915389,18:20,c.n.p.,0,-0.301666504,-33.3016665,,493.33506,0,0
66,ACTRAN013,68.76861403,-148.8915633,18:21,c.n.p.,45,-8.060297813,-41.06029781,,494.38292,1.04786,0.130002641
67,ACTRAN014,68.76866779,-148.8917147,18:22,c.n.p.,50,-17.34343258,-50.34343258,,494.52033,1.18527,0.068341143
68,ACTRAN015,68.76868431,-148.8917377,18:22,c.n.p.,10,-28.8816516,-61.8816516,,494.01156,0.6765,0.023423176
69,ACTRAN016,68.7687494,-148.8918351,18:23,c.n.p.,10,-37.46146202,-70.46146202,,494.13262,0.79756,0.021290146
70,ACTRAN017,68.76880774,-148.8918694,18:23,c.n.p.,15,-156.0136717,-189.0136717,,494.26387,0.92881,0.005953389
,,,,,,,,,,,,
104,ACTTRAN003,68.7739777,-148.8763852,19:11,42,no rocks,262.1461689,262.1461689,486.02788,486.44788,2.73051,0.010415983
105,ACTTRAN004,68.77412962,-148.8770723,19:12,46,no rocks,229.8956359,229.8956359,486.02037,486.48037,2.763,0.012018497
106,ACTTRAN005,68.77424635,-148.8776777,19:13,34,no rocks,202.6813247,202.6813247,486.20074,486.54074,2.82337,0.013930094
107,ACTTRAN006,68.77452795,-148.8787012,19:14,31,no rocks,150.7621615,150.7621615,486.22731,486.53731,2.81994,0.018704561
108,ACTTRAN007,68.77463778,-148.879113,19:15,38,no rocks,130.1162929,130.1162929,486.05085,486.43085,2.71348,0.020854268
109,ACTTRAN008,68.77484796,-148.8796913,19:16,39,no rocks,97.19869515,97.19869515,486.08084,486.47084,2.75347,0.028328261
110,ACTTRAN009,68.77498216,-148.8799625,19:16,47,no rocks,79.2621211,79.2621211,485.33375,485.80375,2.08638,0.026322536
111,ACTTRAN010,68.77502616,-148.8800626,19:17,63,no rocks,73.02988176,73.02988176,484.76428,485.39428,1.67691,0.022961971
112,ACTTRAN011,68.77504028,-148.8801156,19:17,c.n.p.,no rocks,70.37380833,70.37380833,,485.0238,1.30643,0.018564151
113,ACTTRAN012,68.77503461,-148.8800703,19:18,c.n.p.,no rocks,72.19516159,72.19516159,,485.20987,1.4925,0.020673131
114,ACTTRAN013,68.77503076,-148.8800415,19:19,54,no rocks,73.37031005,73.37031005,484.79864,485.33864,1.62127,0.022097085
115,ACTTRAN014,68.77506936,-148.8802014,19:19,c.n.p.,50,65.63755887,65.63755887,,485.10703,1.38966,0.02117172
116,ACTTRAN015,68.77510016,-148.8803437,19:20,c.n.p.,60,59.00505999,59.00505999,,485.03901,1.32164,0.022398757
117,ACTTRAN016,68.77512958,-148.8805492,19:20,c.n.p.,70,50.48320275,50.48320275,,484.73409,1.01672,0.020139768
118,ACTTRAN017,68.77514546,-148.8806787,19:21,c.n.p.,60,45.29954037,45.29954037,,485.12776,1.41039,0.031134753
119,ACTTRAN018,68.77517865,-148.8807215,19:22,c.n.p.,65,41.62635619,41.62635619,,485.05578,1.33841,0.032152946
120,ACTTRAN019,68.77522446,-148.8808847,19:22,c.n.p.,80,33.28417658,33.28417658,,485.11011,1.39274,0.041843907
121,ACTTRAN020,68.77533369,-148.881191,19:23,c.n.p.,85,15.99627652,15.99627652,,484.95893,1.24156,0.077615563
122,ACTTRAN021,68.77539094,-148.8812554,19:24,c.n.p.,90,9.956626577,9.956626577,,484.72619,1.00882,0.101321466
123,ACTTRAN022,68.77540428,-148.8812917,19:25,c.n.p.,30,7.880114419,7.880114419,,484.0437,0.32633,0.041411835
124,ACTTRAN023,68.77543065,-148.881383,19:25,c.n.p.,20,3.16116057,3.16116057,,484.27208,0.55471,0.175476692
125,ACTTRAN024,68.7754378,-148.8813913,19:26,c.n.p.,0,2.398788007,2.398788007,,483.71737,0,0
,,,,,,,,,,,,
126,ACTTRAN025,68.77552438,-148.8813475,19:28,c.n.p.,0,-2.297831396,-2.297831396,,483.44724,0,0
127,ACTTRAN026,68.77554697,-148.8814248,19:28,c.n.p.,0,-6.311654542,-6.311654542,,483.50023,0.05299,0.00839558
128,ACTTRAN027,68.77558483,-148.8814996,19:29,c.n.p.,0,-11.31801095,-11.31801095,,483.66766,0.22042,0.019475153
129,ACTTRAN028,68.77560306,-148.8815123,19:29,c.n.p.,20,-12.99585447,-12.99585447,,484.16294,0.7157,0.055071408
130,ACTTRAN029,68.77562858,-148.8815723,19:30,c.n.p.,10,-16.67151496,-16.67151496,,484.19017,0.74293,0.044562837
131,ACTTRAN030,68.77568227,-148.8816598,19:31,c.n.p.,10,-23.187353,-23.187353,,483.96938,0.52214,0.02251831
132,ACTTRAN031,68.77570327,-148.881751,19:32,c.n.p.,0,-27.52645627,-27.52645627,,483.74222,0.29498,0.010716236
133,ACTTRAN032,68.77572881,-148.8818114,19:32,c.n.p.,15,-31.21607903,-31.21607903,,484.4208,0.97356,0.031187773
134,ACTTRAN033,68.77576069,-148.881865,19:33,c.n.p.,5,-35.13671093,-35.13671093,,484.31645,0.86921,0.024737944
135,ACTTRAN034,68.77579137,-148.8819138,19:33,c.n.p.,5,-38.82232075,-38.82232075,,485.00632,1.55908,0.040159371
136,ACTTRAN035,68.77585689,-148.8820903,19:34,c.n.p.,1,-48.96485802,-48.96485802,,484.80349,1.35625,0.027698436
137,ACTTRAN036,68.77584732,-148.8824608,19:34,c.n.p.,5,-59.93704828,-59.93704828,,485.01038,1.56314,0.026079696
138,ACTTRAN037,68.77591207,-148.8827196,19:35,52,no rocks,-72.6119459,-72.6119459,484.42832,484.94832,1.50108,0.020672631
139,ACTTRAN038,68.77595229,-148.88293,19:36,80,no rocks,-82.04519642,-82.04519642,483.98605,484.78605,1.33881,0.016317957
140,ACTTRAN039,68.77598358,-148.8830916,19:37,c.n.p.,70,-89.31846103,-89.31846103,,484.68435,1.23711,0.013850552
141,ACTTRAN040,68.77614349,-148.8838815,19:38,c.n.p.,100,-125.3585979,-125.3585979,,485.20256,1.75532,0.01400239
142,ACTTRAN041,68.77621751,-148.8841357,19:39,c.n.p.,45,-138.5390495,-138.5390495,,484.78727,1.34003,0.00967258
143,ACTTRAN042,68.77627061,-148.8844854,19:40,c.n.p.,80,-153.2533882,-153.2533882,,484.89715,1.44991,0.009460868
