site_id,lat,lon,date,thaw_depth,obs_limit,pf_observed,pf_depth,method,source,quality_flag_date_assigned,quality_flag_obs_limit_assumed,daanen_reported_depth_cm
ACTTRAN019_Nice_Lose_Dis,69.20600207,-148.810692,2016-08-26,43.0,,1,43.0,tp,Daanen_2017,False,False,43.0
ACTTRAN020_Nice_Lose_Dis,69.20609766,-148.810833,2016-08-26,49.0,,1,49.0,tp,Daanen_2017,False,False,49.0
ACTTRAN030_Nice_Lose_Dis,69.20546791,-148.8090142,2016-08-26,55.0,,1,55.0,tp,Daanen_2017,False,False,55.0
ACTTRAN032_Nice_Lose_Dis,69.20545205,-148.8088767,2016-08-26,100.0,,1,100.0,tp,Daanen_2017,False,False,100.0
ACTTRAN033_Nice_Lose_Dis,69.20544102,-148.8087824,2016-08-26,,125.0,0,,tp,Daanen_2017,False,True,125.0
ACTTRAN034_Nice_Lose_Dis,69.20541579,-148.8086637,2016-08-26,60.0,,1,60.0,tp,Daanen_2017,False,False,60.0
ACTTRAN037_Nice_Lose_Dis,69.20528521,-148.8081242,2016-08-26,50.0,,1,50.0,tp,Daanen_2017,False,False,50.0
ACTTRAN038_Nice_Lose_Dis,69.20521989,-148.8079564,2016-08-26,53.0,,1,53.0,tp,Daanen_2017,False,False,53.0
ACTTRAN039_Nice_Lose_Dis,69.20512389,-148.8077802,2016-08-26,59.0,,1,59.0,tp,Daanen_2017,False,False,59.0
ACTTRAN040_Nice_Lose_Dis,69.20507584,-148.8074757,2016-08-26,65.0,,1,65.0,tp,Daanen_2017,False,False,65.0
ACTTRAN041_Nice_Lose_Dis,69.20500831,-148.8072735,2016-08-26,56.0,,1,56.0,tp,Daanen_2017,False,False,56.0
TRANS-1A026_NiceGainDis,69.16933165,-148.8910007,2016-08-24,40.0,,1,40.0,tp,Daanen_2017,True,False,40.0
TRANS-1A027_NiceGainDis,69.16932792,-148.8910809,2016-08-24,30.0,,1,30.0,tp,Daanen_2017,True,False,30.0
TRANS-1A028_NiceGainDis,69.16932468,-148.8911476,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRANS-1A029_NiceGainDis,69.16931999,-148.8911938,2016-08-24,40.0,,1,40.0,tp,Daanen_2017,True,False,40.0
TRANS-1A030_NiceGainDis,69.16931961,-148.8912276,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRANS-1A031_NiceGainDis,69.1693177,-148.8912638,2016-08-24,52.0,,1,52.0,tp,Daanen_2017,True,False,52.0
TRANS-1A032_NiceGainDis,69.16931605,-148.8912999,2016-08-24,52.0,,1,52.0,tp,Daanen_2017,True,False,52.0
TRANS-1A033_NiceGainDis,69.16931267,-148.8913337,2016-08-24,72.0,,1,72.0,tp,Daanen_2017,True,False,72.0
TRANS-1A034_NiceGainDis,69.16931198,-148.8913535,2016-08-24,95.0,,1,95.0,tp,Daanen_2017,True,False,95.0
TRANS-1B002_NiceGainDis,69.16970689,-148.8915427,2016-08-24,105.0,,1,105.0,tp,Daanen_2017,True,False,105.0
TRANS-1B003_NiceGainDis,69.16971413,-148.8916,2016-08-24,107.0,,1,107.0,tp,Daanen_2017,True,False,107.0
TRANS-1B004_NiceGainDis,69.16972566,-148.8916426,2016-08-24,106.0,,1,106.0,tp,Daanen_2017,True,False,106.0
TRANS-1B005_NiceGainDis,69.16974055,-148.8917039,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRANS-1B006_NiceGainDis,69.1697544,-148.8917425,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRANS-1B007_NiceGainDis,69.16976716,-148.891767,2016-08-24,53.0,,1,53.0,tp,Daanen_2017,True,False,53.0
TRANS-1B008_NiceGainDis,69.1697764,-148.8918104,2016-08-24,49.0,,1,49.0,tp,Daanen_2017,True,False,49.0
TRANS-1B009_NiceGainDis,69.16979946,-148.8918965,2016-08-24,40.0,,1,40.0,tp,Daanen_2017,True,False,40.0
TRANS-1B010_NiceGainDis,69.16984013,-148.8920877,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRANS-1B011_NiceGainDis,69.16969248,-148.8914187,2016-08-24,95.0,,1,95.0,tp,Daanen_2017,True,False,95.0
TRANS-1B012_NiceGainDis,69.16969275,-148.8913937,2016-08-24,68.0,,1,68.0,tp,Daanen_2017,True,False,68.0
TRANS-1B013_NiceGainDis,69.16968222,-148.891357,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRANS-1B014_NiceGainDis,69.16967329,-148.8913026,2016-08-24,42.0,,1,42.0,tp,Daanen_2017,True,False,42.0
TRANS-1B015_NiceGainDis,69.16964943,-148.891178,2016-08-24,27.0,,1,27.0,tp,Daanen_2017,True,False,27.0
TRANS-1B016_NiceGainDis,69.16962947,-148.8910626,2016-08-24,30.0,,1,30.0,tp,Daanen_2017,True,False,30.0
TRANS-1B017_NiceGainDis,69.16958208,-148.8909161,2016-08-24,33.0,,1,33.0,tp,Daanen_2017,True,False,33.0
TRANS-1B018_NiceGainDis,69.16955008,-148.8907363,2016-08-24,31.0,,1,31.0,tp,Daanen_2017,True,False,31.0
TRANS-1B019_NiceGainDis,69.16950456,-148.8905512,2016-08-24,49.0,,1,49.0,tp,Daanen_2017,True,False,49.0
TRANS-1B020_NiceGainDis,69.16946681,-148.8903467,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRANA002_NiceGainDis,69.17156768,-148.8843841,2016-08-24,82.0,,1,82.0,tp,Daanen_2017,True,False,82.0
TRANA003_NiceGainDis,69.17157506,-148.8843994,2016-08-24,54.0,,1,54.0,tp,Daanen_2017,True,False,54.0
TRANA004_NiceGainDis,69.17158024,-148.8844206,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRANA005_NiceGainDis,69.17158545,-148.8844416,2016-08-24,35.0,,1,35.0,tp,Daanen_2017,True,False,35.0
TRANA006_NiceGainDis,69.17158837,-148.8844581,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRANA007_NiceGainDis,69.17159639,-148.8844884,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRANA008_NiceGainDis,69.17161741,-148.8845797,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRANA009_NiceGainDis,69.17165475,-148.8846538,2016-08-24,51.0,,1,51.0,tp,Daanen_2017,True,False,51.0
TRANA010_NiceGainDis,69.17168061,-148.8847405,2016-08-24,49.0,,1,49.0,tp,Daanen_2017,True,False,49.0
TRANA011_NiceGainDis,69.17172155,-148.8848971,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRANA012_NiceGainDis,69.1717654,-148.8850571,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRANA013_NiceGainDis,69.17180305,-148.8852259,2016-08-24,38.0,,1,38.0,tp,Daanen_2017,True,False,38.0
TRANA014_NiceGainDis,69.17185051,-148.8853977,2016-08-24,31.0,,1,31.0,tp,Daanen_2017,True,False,31.0
TRANA015_NiceGainDis,69.17189299,-148.8855856,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRANA016_NiceGainDis,69.17194384,-148.8857487,2016-08-24,37.0,,1,37.0,tp,Daanen_2017,True,False,37.0
TRANA017_NiceGainDis,69.17199573,-148.8858805,2016-08-24,36.0,,1,36.0,tp,Daanen_2017,True,False,36.0
TRANA018_NiceGainDis,69.17204571,-148.8860281,2016-08-24,42.0,,1,42.0,tp,Daanen_2017,True,False,42.0
TRANA019_NiceGainDis,69.17209103,-148.8861791,2016-08-24,38.0,,1,38.0,tp,Daanen_2017,True,False,38.0
TRANA020_NiceGainDis,69.1721401,-148.8863488,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRANA022_NiceGainDis,69.17153695,-148.8843272,2016-08-24,76.0,,1,76.0,tp,Daanen_2017,True,False,76.0
TRANA023_NiceGainDis,69.17153283,-148.8843069,2016-08-24,42.0,,1,42.0,tp,Daanen_2017,True,False,42.0
TRANA024_NiceGainDis,69.17152719,-148.8842891,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRANA025_NiceGainDis,69.17152132,-148.8842703,2016-08-24,50.0,,1,50.0,tp,Daanen_2017,True,False,50.0
TRANA026_NiceGainDis,69.17151297,-148.8842446,2016-08-24,58.0,,1,58.0,tp,Daanen_2017,True,False,58.0
TRANA027_NiceGainDis,69.17149608,-148.8841816,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRANA028_NiceGainDis,69.17146615,-148.8841222,2016-08-24,49.0,,1,49.0,tp,Daanen_2017,True,False,49.0
TRANA029_NiceGainDis,69.17143302,-148.8840629,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRANA030_NiceGainDis,69.17140678,-148.8839972,2016-08-24,54.0,,1,54.0,tp,Daanen_2017,True,False,54.0
TRANA031_NiceGainDis,69.17135555,-148.8838433,2016-08-24,52.0,,1,52.0,tp,Daanen_2017,True,False,52.0
TRANA032_NiceGainDis,69.17130069,-148.8836741,2016-08-24,62.0,,1,62.0,tp,Daanen_2017,True,False,62.0
TRANA033_NiceGainDis,69.1712533,-148.8835072,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRANA034_NiceGainDis,69.17120733,-148.8833515,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRANA035_NiceGainDis,69.17114901,-148.8831923,2016-08-24,62.0,,1,62.0,tp,Daanen_2017,True,False,62.0
TRANA036_NiceGainDis,69.17108893,-148.8830391,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRANA037_NiceGainDis,69.17102505,-148.8828557,2016-08-24,33.0,,1,33.0,tp,Daanen_2017,True,False,33.0
TRANA038_NiceGainDis,69.17095358,-148.8826818,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRANA039_NiceGainDis,69.1708983,-148.8825213,2016-08-24,54.0,,1,54.0,tp,Daanen_2017,True,False,54.0
TRANA040_NiceGainDis,69.17083342,-148.882335,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRAN002_NiceGainDis,69.17359983,-148.8771915,2016-08-24,99.0,,1,99.0,tp,Daanen_2017,True,False,99.0
TRAN003_NiceGainDis,69.17359323,-148.8771805,2016-08-24,73.0,,1,73.0,tp,Daanen_2017,True,False,73.0
TRAN004_NiceGainDis,69.17358465,-148.8771576,2016-08-24,54.0,,1,54.0,tp,Daanen_2017,True,False,54.0
TRAN005_NiceGainDis,69.17357715,-148.8771413,2016-08-24,55.0,,1,55.0,tp,Daanen_2017,True,False,55.0
TRAN006_NiceGainDis,69.17357154,-148.8771247,2016-08-24,61.0,,1,61.0,tp,Daanen_2017,True,False,61.0
TRAN007_NiceGainDis,69.17356647,-148.8771046,2016-08-24,47.0,,1,47.0,tp,Daanen_2017,True,False,47.0
TRAN008_NiceGainDis,69.17355837,-148.8770795,2016-08-24,42.0,,1,42.0,tp,Daanen_2017,True,False,42.0
TRAN009_NiceGainDis,69.17352644,-148.8769947,2016-08-24,48.0,,1,48.0,tp,Daanen_2017,True,False,48.0
TRAN010_NiceGainDis,69.17349636,-148.87691,2016-08-24,49.0,,1,49.0,tp,Daanen_2017,True,False,49.0
TRAN011_NiceGainDis,69.17346928,-148.8768083,2016-08-24,42.0,,1,42.0,tp,Daanen_2017,True,False,42.0
TRAN012_NiceGainDis,69.17344687,-148.8767016,2016-08-24,37.0,,1,37.0,tp,Daanen_2017,True,False,37.0
TRAN013_NiceGainDis,69.17340669,-148.8764898,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRAN014_NiceGainDis,69.17336592,-148.8762742,2016-08-24,53.0,,1,53.0,tp,Daanen_2017,True,False,53.0
TRAN015_NiceGainDis,69.17332674,-148.876056,2016-08-24,51.0,,1,51.0,tp,Daanen_2017,True,False,51.0
TRAN016_NiceGainDis,69.17328867,-148.8758642,2016-08-24,46.0,,1,46.0,tp,Daanen_2017,True,False,46.0
TRAN017_NiceGainDis,69.17325567,-148.8756722,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRAN018_NiceGainDis,69.17319116,-148.875483,2016-08-24,37.0,,1,37.0,tp,Daanen_2017,True,False,37.0
TRAN019_NiceGainDis,69.17313383,-148.8753143,2016-08-24,41.0,,1,41.0,tp,Daanen_2017,True,False,41.0
TRAN020_NiceGainDis,69.17309154,-148.8750859,2016-08-24,40.0,,1,40.0,tp,Daanen_2017,True,False,40.0
TRAN023_NiceGainDis,69.17365704,-148.8773198,2016-08-24,77.0,,1,77.0,tp,Daanen_2017,True,False,77.0
TRAN024_NiceGainDis,69.17366435,-148.8773297,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRAN025_NiceGainDis,69.17367491,-148.8773588,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRAN026_NiceGainDis,69.17370082,-148.8774641,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRAN027_NiceGainDis,69.173726,-148.8775587,2016-08-24,48.0,,1,48.0,tp,Daanen_2017,True,False,48.0
TRAN028_NiceGainDis,69.17375265,-148.8776547,2016-08-24,51.0,,1,51.0,tp,Daanen_2017,True,False,51.0
TRAN029_NiceGainDis,69.17377579,-148.8777649,2016-08-24,52.0,,1,52.0,tp,Daanen_2017,True,False,52.0
TRAN030_NiceGainDis,69.17382861,-148.8779487,2016-08-24,37.0,,1,37.0,tp,Daanen_2017,True,False,37.0
TRAN031_NiceGainDis,69.17387355,-148.878203,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRAN032_NiceGainDis,69.17392302,-148.8784131,2016-08-24,40.0,,1,40.0,tp,Daanen_2017,True,False,40.0
TRAN033_NiceGainDis,69.17397476,-148.8786135,2016-08-24,41.0,,1,41.0,tp,Daanen_2017,True,False,41.0
TRAN034_NiceGainDis,69.1740094,-148.8788431,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRAN035_NiceGainDis,69.17405827,-148.8790562,2016-08-24,32.0,,1,32.0,tp,Daanen_2017,True,False,32.0
TRAN036_NiceGainDis,69.17412881,-148.8792379,2016-08-24,51.0,,1,51.0,tp,Daanen_2017,True,False,51.0
TRAN037_NiceGainDis,69.17418543,-148.8794288,2016-08-24,45.0,,1,45.0,tp,Daanen_2017,True,False,45.0
TRAN038_NiceGainDis,69.17422949,-148.8796272,2016-08-24,44.0,,1,44.0,tp,Daanen_2017,True,False,44.0
TRAN039_NiceGainDis,69.17427376,-148.8798364,2016-08-24,43.0,,1,43.0,tp,Daanen_2017,True,False,43.0
TRAN040_NiceGainDis,69.17433371,-148.8800032,2016-08-24,39.0,,1,39.0,tp,Daanen_2017,True,False,39.0
TRAN041_NiceGainDis,69.17439338,-148.8801494,2016-08-24,33.0,,1,33.0,tp,Daanen_2017,True,False,33.0
ACTTRAN003_OksGainDis,68.67606082,-149.1301629,2016-08-27,41.0,,1,41.0,tp,Daanen_2017,False,False,41.0
ACTTRAN005_OksGainDis,68.67578712,-149.129577,2016-08-27,39.0,,1,39.0,tp,Daanen_2017,False,False,39.0
ACTTRAN008_OksGainDis,68.67538324,-149.1286167,2016-08-27,45.0,,1,45.0,tp,Daanen_2017,False,False,45.0
ACTTRAN012_OksGainDis,68.67467794,-149.1266745,2016-08-27,54.0,,1,54.0,tp,Daanen_2017,False,False,54.0
ACTTRAN013_OksGainDis,68.67434938,-149.1255821,2016-08-27,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
ACTTRAN014_OksGainDis,68.67418678,-149.1248338,2016-08-27,39.0,,1,39.0,tp,Daanen_2017,False,False,39.0
ACTTRAN015_OksGainDis,68.6741039,-149.1244983,2016-08-27,56.0,,1,56.0,tp,Daanen_2017,False,False,56.0
ACTTRAN016_OksGainDis,68.67400068,-149.1241069,2016-08-27,49.0,,1,49.0,tp,Daanen_2017,False,False,49.0
ACTTRAN017_OksGainDis,68.67386163,-149.123855,2016-08-27,73.0,,1,73.0,tp,Daanen_2017,False,False,73.0
ACTTRAN018_OksGainDis,68.67382992,-149.1235329,2016-08-27,37.0,,1,37.0,tp,Daanen_2017,False,False,37.0
ACTTRAN019_OksGainDis,68.67384028,-149.1233369,2016-08-27,39.0,,1,39.0,tp,Daanen_2017,False,False,39.0
ACTTRAN020_OksGainDis,68.67386674,-149.1231405,2016-08-27,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
ACTTRAN028_OksGainDis,68.67380698,-149.1227419,2016-08-27,85.0,,1,85.0,tp,Daanen_2017,False,False,85.0
ACTTRAN030_OksGainDis,68.6738092,-149.1225057,2016-08-27,37.0,,1,37.0,tp,Daanen_2017,False,False,37.0
ACTTRAN031_OksGainDis,68.67381112,-149.122323,2016-08-27,37.0,,1,37.0,tp,Daanen_2017,False,False,37.0
ACTTRAN032_OksGainDis,68.67381091,-149.1220112,2016-08-27,44.0,,1,44.0,tp,Daanen_2017,False,False,44.0
ACTTRAN033_OksGainDis,68.67381025,-149.1216894,2016-08-27,38.0,,1,38.0,tp,Daanen_2017,False,False,38.0
ACTTRAN034_OksGainDis,68.67380053,-149.1216109,2016-08-27,74.0,,1,74.0,tp,Daanen_2017,False,False,74.0
ACTTRAN035_OksGainDis,68.67378746,-149.1214364,2016-08-27,75.0,,1,75.0,tp,Daanen_2017,False,False,75.0
ACTTRAN037_OksGainDis,68.67374041,-149.1206197,2016-08-27,62.0,,1,62.0,tp,Daanen_2017,False,False,62.0
ACTTRAN008_OksGainDis,68.68550057,-149.0984141,2016-08-27,85.0,,1,85.0,tp,Daanen_2017,False,False,85.0
ACTTRAN009_OksGainDis,68.68552407,-149.0985365,2016-08-27,45.0,,1,45.0,tp,Daanen_2017,False,False,45.0
ACTTRAN010_OksGainDis,68.68553848,-149.0986145,2016-08-27,32.0,,1,32.0,tp,Daanen_2017,False,False,32.0
ACTTRAN011_OksGainDis,68.6855542,-149.0986761,2016-08-27,31.0,,1,31.0,tp,Daanen_2017,False,False,31.0
ACTTRAN013_OksGainDis,68.68560452,-149.0993647,2016-08-27,45.0,,1,45.0,tp,Daanen_2017,False,False,45.0
ACTTRAN014_OksGainDis,68.68564803,-149.0997683,2016-08-27,65.0,,1,65.0,tp,Daanen_2017,False,False,65.0
ACTTRAN015_OksGainDis,68.68566617,-149.0997542,2016-08-27,50.0,,1,50.0,tp,Daanen_2017,False,False,50.0
ACTTRAN016_OksGainDis,68.68570683,-149.09986,2016-08-27,46.0,,1,46.0,tp,Daanen_2017,False,False,46.0
ACTTRAN017_OksGainDis,68.68572267,-149.0999286,2016-08-27,32.0,,1,32.0,tp,Daanen_2017,False,False,32.0
ACTTRAN018_OksGainDis,68.68574449,-149.1000341,2016-08-27,53.0,,1,53.0,tp,Daanen_2017,False,False,53.0
ACTTRAN019_OksGainDis,68.68575,-149.1000576,2016-08-27,45.0,,1,45.0,tp,Daanen_2017,False,False,45.0
ACTTRAN024_OksGainDis,68.68576246,-149.100495,2016-08-27,61.0,,1,61.0,tp,Daanen_2017,False,False,61.0
ACTTRAN027_OksGainDis,68.68581091,-149.1006103,2016-08-27,42.0,,1,42.0,tp,Daanen_2017,False,False,42.0
ACTTRAN028_OksGainDis,68.68584113,-149.1006797,2016-08-27,43.0,,1,43.0,tp,Daanen_2017,False,False,43.0
ACTTRAN029_OksGainDis,68.68591169,-149.1009899,2016-08-27,42.0,,1,42.0,tp,Daanen_2017,False,False,42.0
ACTTRAN030_OksGainDis,68.68595093,-149.1011581,2016-08-27,60.0,,1,60.0,tp,Daanen_2017,False,False,60.0
ACTTRAN031_OksGainDis,68.68598701,-149.1013677,2016-08-27,70.0,,1,70.0,tp,Daanen_2017,False,False,70.0
ACTTRAN032_OksGainDis,68.68609768,-149.1015771,2016-08-27,48.0,,1,48.0,tp,Daanen_2017,False,False,48.0
ACTTRAN033_OksGainDis,68.68613866,-149.101765,2016-08-27,38.0,,1,38.0,tp,Daanen_2017,False,False,38.0
ACTTRAN014_OksGainDis,68.69158855,-149.0828149,2016-08-27,60.0,,1,60.0,tp,Daanen_2017,False,False,60.0
ACTTRAN015_OksGainDis,68.69164131,-149.0830162,2016-08-27,67.0,,1,67.0,tp,Daanen_2017,False,False,67.0
ACTTRAN017_OksGainDis,68.69181514,-149.0836989,2016-08-27,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
ACTTRAN018_OksGainDis,68.69187164,-149.0839413,2016-08-27,45.0,,1,45.0,tp,Daanen_2017,False,False,45.0
ACTTRAN019_OksGainDis,68.69190637,-149.0841019,2016-08-27,51.0,,1,51.0,tp,Daanen_2017,False,False,51.0
ACTTRAN020_OksGainDis,68.69194355,-149.0842608,2016-08-27,51.0,,1,51.0,tp,Daanen_2017,False,False,51.0
ACTTRAN021_OksGainDis,68.6919569,-149.0843269,2016-08-27,44.0,,1,44.0,tp,Daanen_2017,False,False,44.0
ACTTRAN022_OksGainDis,68.69196069,-149.0843577,2016-08-27,47.0,,1,47.0,tp,Daanen_2017,False,False,47.0
ACTTRAN023_OksGainDis,68.69196316,-149.0843738,2016-08-27,64.0,,1,64.0,tp,Daanen_2017,False,False,64.0
