OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
45,TRANA016,69.17194384,-148.8857487,12/30/1899 0:00:00,37,no rocks,-71.19903691,326.77851,327.14851,3.21979,0.045222381
46,TRANA017,69.17199573,-148.8858805,12/30/1899 0:00:00,36,no rocks,-78.97185152,327.09295,327.45295,3.52423,0.044626407
47,TRANA018,69.17204571,-148.8860281,12/30/1899 0:00:00,42,no rocks,-87.05957215,327.23181,327.65181,3.72309,0.042764855
48,TRANA019,69.17209103,-148.8861791,12/30/1899 0:00:00,38,no rocks,-94.89199878,327.52441,327.90441,3.97569,0.041896999
49,TRANA020,69.1721401,-148.8863488,12/30/1899 0:00:00,39,no rocks,-103.5529493,327.8154,328.2054,4.27668,0.041299451
,,,,,,,,,,,
50,TRANA021,69.1715398,-148.8843397,12/30/1899 0:00:00,c.n.p.,no rocks,0.449809692,,323.89633,0,0
51,TRANA022,69.17153695,-148.8843272,12/30/1899 0:00:00,76,no rocks,1.029432454,323.52786,324.28786,0.39153,0.380335784
52,TRANA023,69.17153283,-148.8843069,12/30/1899 0:00:00,42,no rocks,1.931627202,324.13742,324.55742,0.66109,0.342245129
53,TRANA024,69.17152719,-148.8842891,12/30/1899 0:00:00,46,no rocks,2.878801588,324.36375,324.82375,0.92742,0.322154887
54,TRANA025,69.17152132,-148.8842703,12/30/1899 0:00:00,50,no rocks,3.870496123,324.44475,324.94475,1.04842,0.270874835
55,TRANA026,69.17151297,-148.8842446,12/30/1899 0:00:00,58,no rocks,5.252194876,324.503,325.083,1.18667,0.225937923
56,TRANA027,69.17149608,-148.8841816,12/30/1899 0:00:00,45,no rocks,8.36718818,325.01969,325.46969,1.57336,0.188039275
57,TRANA028,69.17146615,-148.8841222,12/30/1899 0:00:00,49,no rocks,12.36740792,325.47123,325.96123,2.0649,0.166963038
