GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm,Snow_Depth_May_2024_cm,NDVI_July2024,MTI_2024
52,70.73411799,-153.8537157,7847964.536,468562.455,17,17,18,17,1.7,66.4,-9999,29,43,0.63,-0.24
53,70.73412821,-153.8534449,7847965.536,468572.443,17,18,20,18,1.6,71.5,-9999,17,42,0.57,-0.22
54,70.73413585,-153.8531712,7847966.246,468582.531,23,23,24,23,3.6,75.1,-9999,29,31,0.54,-0.31
55,70.73404714,-153.8531451,7847956.34,468583.354,32,32,32,32,6.5,100,12,34,32,0.63,-0.23
56,70.7340386,-153.8534164,7847955.528,468573.351,28,25,25,26,3.8,57.9,-9999,23,67,0.69,-0.2
57,70.73402863,-153.8536862,7847954.556,468563.4,24,24,24,24,3.7,82.1,-9999,29,33,0.71,-0.25
58,70.73401985,-153.8539554,7847953.717,468553.472,22,22,22,22,4,69.8,-9999,22,51,0.65,-0.19
59,70.73401096,-153.8542266,7847952.866,468543.475,26,26,26,26,5,67,-9999,22,81,0.61,-0.21
60,70.73400188,-153.8544937,7847951.992,468533.623,35,34,34,34,5.6,87.4,-9999,34,33,0.82,-0.2
61,70.73399269,-153.8547652,7847951.107,468523.612,31,31,31,31,6.7,100,6,23,32,0.61,-0.38
62,70.73398431,-153.8550344,7847950.312,468513.687,29,29,30,29,6.2,79.8,-9999,29,40,0.72,-0.32
63,70.73397432,-153.855305,7847949.339,468503.707,21,22,22,22,2.6,59.6,-9999,20,35,0.7,-0.18
64,70.73396499,-153.8555736,7847948.438,468493.8,19,19,18,19,2.3,52.9,-9999,22,45,0.67,-0.08
65,70.73395538,-153.8558436,7847947.506,468483.844,22,23,23,23,3.5,66.9,-9999,22,28,0.61,-0.13
66,70.73386848,-153.8558108,7847937.798,468484.917,30,30,30,30,6.2,100,5,24,21,0.71,-0.08
67,70.73387982,-153.8555434,7847938.924,468494.781,21,22,23,22,3.6,57.8,-9999,18,28,0.71,-0.18
68,70.73388856,-153.855275,7847939.76,468504.676,26,26,27,26,4.9,100,7,30,35,0.7,-0.21
69,70.73389772,-153.8550017,7847940.639,468514.753,27,27,29,28,4.6,51.6,-9999,13,23,0.65,-0.24
70,70.73390401,-153.8547335,7847941.202,468524.639,19,19,18,19,2.1,67.4,-9999,20,41,0.66,-0.24
71,70.73391466,-153.8544665,7847942.251,468534.489,21,21,20,21,2.2,60.8,-9999,22,39,0.69,-0.17
72,70.73392399,-153.854195,7847943.151,468544.5,24,24,24,24,4.5,100,8,38,28,0.67,-0.18
73,70.73393271,-153.8539239,7847943.983,468554.496,25,25,25,25,5.3,100,5,28,41,0.76,-0.12
74,70.73394168,-153.8536542,7847944.843,468564.443,27,27,27,27,6.5,100,12,61,41,0.57,-0.32
75,70.73394967,-153.8533846,7847945.594,468574.381,20,20,20,20,3,72.2,-9999,27,55,0.62,-0.19
76,70.73395877,-153.8531144,7847946.47,468584.345,17,17,17,17,0.8,58,-9999,22,36,0.61,-0.35
77,70.73387031,-153.8530834,7847936.589,468585.349,19,19,22,20,3.5,80.7,-9999,19,51,0.63,-0.32
78,70.73386129,-153.8533535,7847935.723,468575.387,27,27,27,27,5.8,100,13,36,36,0.6,-0.33
79,70.7338518,-153.8536213,7847934.803,468565.514,20,21,22,21,3,64.1,-9999,20,21,0.69,-0.19
80,70.73384231,-153.8538929,7847933.885,468555.497,28,28,28,28,6.2,80.7,-9999,24,40,0.66,-0.27
81,70.7338326,-153.8541622,7847932.942,468545.566,21,21,21,21,2,69.9,-9999,31,35,0.69,-0.27
82,70.73382411,-153.8544298,7847932.134,468535.696,27,27,27,27,5.8,100,3,23,40,0.66,-0.33
83,70.73381533,-153.854701,7847931.296,468525.697,23,23,24,23,2.8,78.2,-9999,37,31,0.71,-0.31
84,70.7338063,-153.8549701,7847930.428,468515.774,24,24,24,24,4.7,56.8,-9999,22,19,0.6,-0.19
85,70.73379673,-153.855239,7847929.5,468505.858,20,21,22,21,2.3,60.5,-9999,26,25,0.69,-0.24
