GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm
94,70.72299895,-153.8357563,7846715.368,469206.6848,28,30,33,30,5.1,71.6,-9999,25
95,70.72300021,-153.835485,7846715.371,469216.6848,31,31,32,31,7.4,41.5,-9999,24
96,70.72300147,-153.8352136,7846715.374,469226.6848,35,35,36,35,6.8,100,9,24
97,70.72300273,-153.8349422,7846715.377,469236.6848,29,29,32,30,4.2,51.9,-9999,25
98,70.72300399,-153.8346708,7846715.379,469246.6848,36,36,36,36,8.5,27.9,-9999,19
99,70.72291433,-153.8346671,7846705.379,469246.6848,30,28,30,29,4.9,55.5,-9999,33
100,70.72291307,-153.8349385,7846705.377,469236.6848,40,40,39,40,7.1,100,6,33
101,70.72291182,-153.8352098,7846705.374,469226.6848,32,32,33,32,5.4,100,16,29
102,70.72291056,-153.8354812,7846705.371,469216.6848,17,17,17,17,1.9,47.9,-9999,31
103,70.7229093,-153.8357526,7846705.368,469206.6848,25,26,23,25,3.2,47.2,-9999,16
104,70.72290804,-153.836024,7846705.366,469196.6848,27,28,30,28,4.4,44.3,-9999,13
105,70.72290678,-153.8362953,7846705.363,469186.6848,21,22,19,21,3.2,43.8,-9999,17
106,70.72290552,-153.8365667,7846705.36,469176.6848,20,19,21,20,2,50.4,-9999,24
107,70.72290426,-153.8368381,7846705.357,469166.6848,21,21,21,21,2.3,53.8,-9999,24
108,70.722903,-153.8371094,7846705.354,469156.6848,22,22,21,22,2.1,55.6,-9999,23
109,70.72290173,-153.8373808,7846705.352,469146.6848,28,28,28,28,5,100,5,25
110,70.72281208,-153.8373761,7846695.352,469146.7218,30,32,35,32,6.1,100,10,32
111,70.72281335,-153.8371047,7846695.354,469156.7218,28,27,28,28,4.3,69.6,-9999,26
112,70.72281461,-153.8368333,7846695.357,469166.7218,22,21,23,22,3,57.5,-9999,29
113,70.72281587,-153.836562,7846695.36,469176.7218,33,37,38,36,7.7,65,-9999,41
114,70.72281713,-153.8362906,7846695.363,469186.7218,16,17,16,16,1.6,50.4,-9999,26
115,70.72281839,-153.8360192,7846695.366,469196.7218,30,29,30,30,5.5,71.4,-9999,37
116,70.72281965,-153.8357478,7846695.368,469206.7218,36,37,38,37,5.7,87.9,-9999,2
117,70.72282091,-153.8354765,7846695.371,469216.7218,26,27,25,26,3.9,51.1,-9999,17
118,70.72282217,-153.8352051,7846695.374,469226.7218,26,24,22,24,2.4,51.3,-9999,25
119,70.72282342,-153.8349337,7846695.377,469236.7218,31,32,27,30,3.2,59.2,-9999,28
120,70.72282468,-153.8346631,7846695.379,469246.6941,33,33,31,32,5.5,100,14,8
