easting_m	northing_m	elevation_m	twt_ns	alt_m
638527.4147	7040142.226	1179.213828	8.859836	0.443
638527.4448	7040142.265	1179.20846	9.056721	0.4528
638527.478	7040142.303	1179.198001	9.056721	0.4528
638527.5109	7040142.34	1179.188162	9.253606	0.4627
638527.5418	7040142.38	1179.182147	9.253606	0.4627
638527.5728	7040142.419	1179.176133	9.253606	0.4627
638527.6038	7040142.458	1179.170119	9.253606	0.4627
638527.6348	7040142.497	1179.164105	9.253606	0.4627
638527.6658	7040142.537	1179.158091	9.253606	0.4627
638527.6968	7040142.576	1179.152077	9.253606	0.4627
638527.7277	7040142.615	1179.146062	9.253606	0.4627
638527.7587	7040142.654	1179.140048	9.253606	0.4627
638527.7897	7040142.694	1179.134034	9.253606	0.4627
638527.8161	7040142.736	1179.127612	9.253606	0.4627
638527.8416	7040142.779	1179.121105	9.253606	0.4627
638527.8671	7040142.822	1179.114599	9.253606	0.4627
638527.8926	7040142.865	1179.108092	9.253606	0.4627
638527.9181	7040142.908	1179.101585	9.253606	0.4627
638527.9436	7040142.951	1179.095557	9.253606	0.4627
638527.9691	7040142.994	1179.090672	9.253606	0.4627
638527.9947	7040143.037	1179.085786	9.253606	0.4627
638528.0202	7040143.08	1179.0809	9.253606	0.4627
638528.0457	7040143.123	1179.076015	9.253606	0.4627
638528.0713	7040143.166	1179.071129	9.253606	0.4627
638528.0968	7040143.209	1179.066243	9.253606	0.4627
638528.1223	7040143.252	1179.061358	9.253606	0.4627
638528.1488	7040143.294	1179.055087	9.253606	0.4627
638528.1762	7040143.336	1179.047526	9.253606	0.4627
638528.2036	7040143.378	1179.039965	9.450492	0.4725
638528.231	7040143.42	1179.032404	9.450492	0.4725
638528.2584	7040143.462	1179.024843	9.450492	0.4725
638528.2858	7040143.503	1179.017282	9.450492	0.4725
638528.3186	7040143.541	1179.008924	9.647377	0.4824
638528.3516	7040143.579	1179.000535	9.647377	0.4824
638528.3846	7040143.616	1178.992146	9.844262	0.4922
638528.4176	7040143.654	1178.983757	10.041147	0.5021
638528.4506	7040143.691	1178.975368	10.041147	0.5021
638528.4837	7040143.729	1178.965617	10.238033	0.5119
638528.5168	7040143.766	1178.946041	10.434918	0.5217
638528.55	7040143.804	1178.926464	10.434918	0.5217
638528.5832	7040143.841	1178.906887	10.828688	0.5414
638528.6165	7040143.879	1178.891238	10.828688	0.5414
638528.6499	7040143.916	1178.883156	11.222459	0.5611
638528.6833	7040143.953	1178.875075	11.419344	0.571
638528.7167	7040143.99	1178.867743	11.616229	0.5808
638528.7503	7040144.027	1178.862684	11.813115	0.5907
