easting_m,northing_m,elevation_m,twt_ns,alt_m
638513.9682,7040142.74,1181.239531,12.924378,0.6462
638513.9187,7040142.747,1181.271648,13.012299,0.6506
638513.8711,7040142.761,1181.291581,13.10022,0.655
638513.8253,7040142.781,1181.300359,12.836457,0.6418
638513.7795,7040142.801,1181.309136,12.484774,0.6242
638513.7337,7040142.821,1181.317914,12.221011,0.6111
638513.6879,7040142.841,1181.326691,11.957248,0.5979
638513.6421,7040142.861,1181.335469,11.253881,0.5627
638513.5962,7040142.881,1181.344246,11.253881,0.5627
638513.5572,7040142.911,1181.351379,11.16596,0.5583
638513.5232,7040142.947,1181.357282,11.078039,0.5539
638513.4891,7040142.984,1181.363186,10.814276,0.5407
638513.4551,7040143.021,1181.369089,10.726355,0.5363
638513.4267,7040143.062,1181.381385,10.726355,0.5363
638513.3992,7040143.103,1181.394846,10.770315,0.5385
638513.3718,7040143.145,1181.408308,10.814276,0.5407
638513.3444,7040143.187,1181.421769,10.858236,0.5429
638513.3081,7040143.22,1181.416103,10.902197,0.5451
638513.2677,7040143.25,1181.401669,10.931504,0.5466
638513.2273,7040143.279,1181.387236,10.960811,0.548
638513.187,7040143.309,1181.372803,10.990118,0.5495
638513.1462,7040143.338,1181.37507,11.078039,0.5539
638513.1055,7040143.367,1181.378321,10.550513,0.5275
638513.0647,7040143.396,1181.381572,10.726355,0.5363
638513.0217,7040143.416,1181.406464,10.902197,0.5451
638512.972,7040143.41,1181.495015,11.253881,0.5627
638512.9221,7040143.411,1181.503928,11.605564,0.5803
638512.8721,7040143.412,1181.512841,11.693485,0.5847
638512.8221,7040143.413,1181.521754,11.869327,0.5935
638512.7721,7040143.414,1181.530667,12.045169,0.6023
638512.7221,7040143.415,1181.53958,12.484774,0.6242
638512.6775,7040143.431,1181.55195,12.572695,0.6286
638512.6383,7040143.462,1181.567717,12.704576,0.6352
638512.599,7040143.493,1181.583485,12.836457,0.6418
638512.5597,7040143.524,1181.599253,12.924378,0.6462
638512.5205,7040143.555,1181.61502,12.924378,0.6462
638512.4814,7040143.586,1181.63056,12.924378,0.6462
638512.4424,7040143.618,1181.64596,12.924378,0.6462
638512.4034,7040143.649,1181.66136,12.836457,0.6418
638512.3645,7040143.68,1181.67676,12.748537,0.6374
638512.3255,7040143.712,1181.69216,12.660616,0.633
638512.2862,7040143.743,1181.706526,12.572695,0.6286
638512.2446,7040143.77,1181.711716,12.396853,0.6198
638512.2031,7040143.798,1181.716906,12.396853,0.6198
638512.1615,7040143.826,1181.72193,12.660616,0.633
638512.1248,7040143.86,1181.718143,12.924378,0.6462
638512.0881,7040143.894,1181.714356,13.188141,0.6594
638512.0514,7040143.928,1181.710569,13.276062,0.6638
638512.0147,7040143.962,1181.706782,13.276062,0.6638
638511.978,7040143.996,1181.702996,13.276062,0.6638
638511.9413,7040144.03,1181.699209,13.276062,0.6638
638511.9046,7040144.064,1181.695422,13.188141,0.6594
638511.871,7040144.101,1181.695217,13.10022,0.655
638511.8378,7040144.138,1181.695461,12.924378,0.6462
638511.8046,7040144.175,1181.695706,12.924378,0.6462
638511.7714,7040144.213,1181.69595,12.748537,0.6374
638511.7348,7040144.247,1181.701546,12.572695,0.6286
638511.6974,7040144.28,1181.708525,12.396853,0.6198
638511.6599,7040144.313,1181.715504,12.572695,0.6286
638511.6179,7040144.339,1181.726057,12.836457,0.6418
638511.5713,7040144.357,1181.740201,12.924378,0.6462
638511.5247,7040144.375,1181.754344,13.012299,0.6506
638511.4782,7040144.393,1181.768487,13.012299,0.6506
638511.4321,7040144.412,1181.754466,13.012299,0.6506
