site_id,lon,lat,pf_observed,org_thick,thaw_depth,date,pf_depth,obs_limit,method,source
PF69,-147.4847458,65.12408042,1,0,79.0,2024-09-24,79.0,180,tp,Schwenk_PFRR
PF70,-147.4847416,65.1240949,1,0,78.0,2024-09-24,78.0,180,tp,Schwenk_PFRR
PF71,-147.4847733,65.12406346,1,0,78.0,2024-09-24,78.0,180,tp,Schwenk_PFRR
PF72,-147.4852269,65.124311,1,53,2.0,2024-09-24,2.0,180,tp,Schwenk_PFRR
PF73,-147.4859792,65.12456689,0,0,,2024-09-24,,180,tp,Schwenk_PFRR
PF74,-147.4865183,65.1247667,1,71,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF75,-147.4873421,65.12500739,1,60,5.0,2024-09-24,5.0,180,tp,Schwenk_PFRR
PF76,-147.4766355,65.1276287,1,0,109.0,2024-09-24,109.0,180,tp,Schwenk_PFRR
PF77,-147.4769816,65.12773289,1,0,73.0,2024-09-24,73.0,180,tp,Schwenk_PFRR
PF78,-147.4766114,65.12790922,1,0,47.0,2024-09-24,47.0,180,tp,Schwenk_PFRR
PF79,-147.475133,65.12816837,1,0,106.0,2024-09-24,106.0,180,tp,Schwenk_PFRR
PF80,-147.4748407,65.12833084,1,0,116.0,2024-09-24,116.0,180,tp,Schwenk_PFRR
PF81,-147.4744736,65.12860642,1,0,173.0,2024-09-24,173.0,180,tp,Schwenk_PFRR
PF82,-147.4738938,65.12793054,1,0,144.0,2024-09-24,144.0,180,tp,Schwenk_PFRR
PF83,-147.4737746,65.12773992,1,0,128.0,2024-09-24,128.0,180,tp,Schwenk_PFRR
PF84,-147.4740525,65.12753191,1,0,180.0,2024-09-24,180.0,180,tp,Schwenk_PFRR
PF85,-147.4740094,65.12749056,0,0,,2024-09-24,,180,tp,Schwenk_PFRR
