Name,Longitude,Latitude,Description,Permafrost?,Hit bedrock?,Moss thickness (cm),Active layer thickness (cm),Maximum probe depth,Date and time
EAFB7S6,-146.8385114,64.79960674,"100 cm
in thick trees, birch mostly and sone small spruce
rocky on the way down
small succulents 
gravel layer potentially around site",0,1,0,,,2024-09-25 10:19:53.2 UTC-07:00
EAFB7S7,-146.8397762,64.79968839,"68 cm
in thick trees, birch mostly and some small spruce
rocky on the way down
bigger succulents 
gravel layer potentially around site",0,1,0,,,2024-09-25 10:22:04.6 UTC-07:00
EAFB8S2,-146.7966555,64.79027786,"97 cm 
clearing 
fine gravels",0,1,0,,,2024-09-25 10:34:40.0 UTC-07:00
EAFB8S3,-146.7968986,64.79021981,"84 cm 
clearing 
fine gravels",0,1,0,,,2024-09-25 10:36:05.6 UTC-07:00
EAFB8S4,-146.79675,64.79040094,"121 cm 
clearing 
fine gravels",0,1,0,,,2024-09-25 10:38:33.2 UTC-07:00
EAFB8S5,-146.797482,64.7905305,"80 cm 
spruce, birch forest. not very thick 
gravel layer 
small suculents",0,1,0,,,2024-09-25 10:40:58.2 UTC-07:00
EAFB8S6,-146.7976005,64.79025018,"43 cm 
spruce, birch forest
deadfall
gravel layer 
small suculents",0,1,0,,,2024-09-25 10:43:12.2 UTC-07:00
EAFB8S7,-146.7959543,64.79027193,"129 cm 
mostly birch forest, not very thick
tall grasses
gravel layrr",0,1,0,,,2024-09-25 10:46:38.6 UTC-07:00
EAFB9S2,-146.7828446,64.76810125,"on cleared site
shallow refusal, tried multiple spots to get to depth
60 cm
",0,1,0,,,2024-09-25 10:57:38.0 UTC-07:00
EAFB9S3,-146.7830012,64.76819472,"on cleared site
gravel layer just heforr refusal
48 cm",0,1,0,,,2024-09-25 11:00:13.2 UTC-07:00
EAFB9S4,-146.7832211,64.76800797,"on cleared site
fine gravel layer
85 cm",0,1,0,,,2024-09-25 11:01:40.0 UTC-07:00
EAFB9S5,-146.7832694,64.76843725,"beyond cleared site
fine gravel layer to push through
60 cm",0,1,0,,,2024-09-25 11:04:21.2 UTC-07:00
EAFB9S6,-146.7819262,64.76818575,"too many rocks
tried 8 locations unable to hit pf due to rocks at about 50-80 cm
",0,1,0,,,2024-09-25 11:13:29.6 UTC-07:00
EAFB9S7,-146.7833239,64.76762321,"also rocky
tried multiple spots
potentially rock but felt solid
77 cm",0,1,0,,,2024-09-25 11:19:01.6 UTC-07:00
EAFB18S2,-146.7765775,64.75755249,"84 cm
clearing
gravel layer",0,1,0,,,2024-09-25 11:27:44.4 UTC-07:00
EAFB18S3,-146.7766737,64.75739509,"75 cm
clearing
gravel layer",0,1,0,,,2024-09-25 11:32:45.8 UTC-07:00
EAFB18S4,-146.7769191,64.75752909,"104 cm
clearing
gravel layer",0,1,0,,,2024-09-25 11:33:49.8 UTC-07:00
EAFB18S5,-146.7779166,64.7572803,"deeper than 120 cm, hitting rock 
small suculent
birch forest, not very thick
gravel layer",0,1,0,,,2024-09-25 11:40:49.4 UTC-07:00
EAFB18S6,-146.7780013,64.75760579,"deeper than 120 cm, hitting rock 
thick suculent
birch forest, not very thick
gravel layer",0,1,0,,,2024-09-25 11:43:25.0 UTC-07:00
EAFB18S7,-146.7757937,64.75767003,"deeper than 120 cm, hitting rock 
snall suculent
birch and spruce forest, thin
gravel layer",0,1,0,,,2024-09-25 11:47:43.2 UTC-07:00
EAFB19S2,-146.7974159,64.74609319,"cleared area
102 cm
clayey soil
gravel at top",0,1,0,,,2024-09-25 11:59:10.8 UTC-07:00
