site,year,date,thaw_depth_cm,pf_observed,temp_C,site_key,Latitude (°N),Longitude (°E)
QT09,2011,2011-09-17,120.0,1,0.03,QT09,35.72,94.13
QT09,2012,2012-09-22,120.0,1,0.35,QT09,35.72,94.13
QT09,2013,2013-09-29,120.0,1,0.2,QT09,35.72,94.13
QT09,2014,2014-09-10,120.0,1,0.1,QT09,35.72,94.13
QT09,2015,2015-10-16,120.0,1,0.12,QT09,35.72,94.13
QT09,2016,2016-09-17,120.0,1,0.59,QT09,35.72,94.13
QT09,2017,2017-09-26,120.0,1,0.64,QT09,35.72,94.13
QT09,2018,2018-09-12,120.0,1,0.65,QT09,35.72,94.13
Ch06,2005,2005-08-15,100.0,1,2.153,Ch06,35.62,94.06
Ch06,2006,2006-11-17,180.0,0,0.05170833333333333,Ch06,35.62,94.06
Ch06,2007,2007-08-15,100.0,1,1.963791666666667,Ch06,35.62,94.06
Ch06,2008,2008-08-28,100.0,1,1.8910833333333334,Ch06,35.62,94.06
Ch06,2009,2009-09-13,100.0,1,2.227375,Ch06,35.62,94.06
Ch06,2010,2010-08-11,100.0,1,3.0612083333333335,Ch06,35.62,94.06
Ch06,2011,2011-09-03,100.0,1,2.328208333333333,Ch06,35.62,94.06
Ch06,2012,2012-08-17,100.0,1,2.3455,Ch06,35.62,94.06
Ch06,2013,2013-08-22,100.0,1,3.5192499999999995,Ch06,35.62,94.06
Ch06,2014,2014-08-21,100.0,1,2.400791666666666,Ch06,35.62,94.06
Ch06,2015,2015-08-04,100.0,1,3.283916666666667,Ch06,35.62,94.06
Ch06,2016,2016-08-23,100.0,1,4.14425,Ch06,35.62,94.06
Ch06,2017,2017-08-20,100.0,1,2.8077083333333337,Ch06,35.62,94.06
Ch06,2018,2018-09-01,100.0,1,2.8625454545454545,Ch06,35.62,94.06
QT08,2010,2010-06-06,240.0,0,0.12136170212765957,QT08,35.22,93.08
QT08,2011,2011-10-12,240.0,0,0.013520833333333334,QT08,35.22,93.08
QT08,2012,2012-09-15,200.0,1,0.34022916666666675,QT08,35.22,93.08
QT08,2013,2013-09-29,240.0,0,0.03768749999999999,QT08,35.22,93.08
QT08,2014,2014-11-10,240.0,0,0.031208333333333328,QT08,35.22,93.08
QT08,2015,2015-11-14,240.0,0,0.022770833333333348,QT08,35.22,93.08
QT08,2016,2016-10-14,240.0,0,0.049479166666666664,QT08,35.22,93.08
QT08,2017,2017-10-24,240.0,0,0.10160416666666668,QT08,35.22,93.08
QT08,2018,2018-10-18,240.0,0,0.09179166666666666,QT08,35.22,93.08
QT01,2004,2004-09-06,100.0,1,1.79,QT01,35.14,93.04
QT01,2005,2005-09-04,100.0,1,2.03,QT01,35.14,93.04
QT01,2006,2006-08-12,100.0,1,2.2234583333333333,QT01,35.14,93.04
