site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,source
GPRT7,2011-08-18,67.12335626425505,-50.1831358272482,45.433396125,1,45.433396125,,gp,2,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.12333511911815,-50.18318191697202,42.69902174999999,1,42.69902174999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.12330924487817,-50.1832388474358,45.889124624999994,1,45.889124624999994,,gp,2,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.12328042362186,-50.18330425313391,40.420375875000005,1,40.420375875000005,,gp,2,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.1232612255353,-50.18335100686576,41.483743499999996,1,41.483743499999996,,gp,3,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.12323830196675,-50.18340019153433,55.915164000000004,1,55.915164000000004,,gp,2,5.0,True,Petrone_etal_2016
GPRT7,2011-08-18,67.12320501832335,-50.18347012744993,68.67557662499999,1,68.67557662499999,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12312806546446,-50.183684310083585,54.54797625,1,54.54797625,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12313017859361,-50.18357114575362,60.928183125,1,60.928183125,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12313107575788,-50.18343948415509,39.7367825625,1,39.7367825625,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12313812597652,-50.18337083713172,50.90214374999999,1,50.90214374999999,,gp,1,5.0,False,Petrone_etal_2016
GPRT8,2011-08-18,67.12314710260544,-50.18331344012063,51.813602249999995,1,51.813602249999995,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12316338975461,-50.18322371450867,56.37089193749999,1,56.37089193749999,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12317383245565,-50.18310214265264,66.10954244999999,1,66.10954244999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12318029578037,-50.18302108590943,79.2066366,1,79.2066366,,gp,1,5.0,False,Petrone_etal_2016
GPRT8,2011-08-18,67.12318363075659,-50.18297152500686,80.983980675,1,80.983980675,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.1231873094895,-50.18287223521702,71.3073348,1,71.3073348,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12319555791004,-50.18276018885446,64.0517868,1,64.0517868,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.1232057015172,-50.18266790384578,44.82575624999999,1,44.82575624999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12320800354364,-50.18253335114267,45.12957599999999,1,45.12957599999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12321547852753,-50.182416297482185,54.2441565,1,54.2441565,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12321994907965,-50.18229650209117,62.75109899999999,1,62.75109899999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.1232217179168,-50.18217468478289,80.3915321625,1,80.3915321625,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12322387667939,-50.182070643397765,86.31600997500001,1,86.31600997500001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12322919826232,-50.181971105650426,85.72356292500001,1,85.72356292500001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.1232346820609,-50.181844859451765,93.03041865,1,93.03041865,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12324203251927,-50.18171818507169,91.35181648125001,1,91.35181648125001,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12325106848024,-50.181599502903886,71.50481690625,1,71.50481690625,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12326216467949,-50.18148899237894,59.0634135,1,59.0634135,,gp,1,5.0,False,Petrone_etal_2016
GPRT8,2011-08-18,67.12326549268697,-50.18143816341121,60.248310525,1,60.248310525,,gp,1,5.0,False,Petrone_etal_2016
GPRT8,2011-08-18,67.1232754095636,-50.181360139614554,53.25100875,1,53.25100875,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12328829214827,-50.18126564783395,43.245895499999996,1,43.245895499999996,,gp,5,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12330104079355,-50.181139193737344,45.12957599999999,1,45.12957599999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12330523754065,-50.181053678975346,64.6442353125,1,64.6442353125,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12330891169223,-50.18098289733514,63.80299575000001,1,63.80299575000001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12331087250168,-50.18089872611358,69.332508375,1,69.332508375,,gp,3,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12331914573127,-50.180791787694844,85.13111441250001,1,85.13111441250001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12332707489588,-50.180676081517625,80.98398067500001,1,80.98398067500001,,gp,4,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12332832540639,-50.180570053143555,74.46705435000001,1,74.46705435000001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12333589194131,-50.18047113016253,80.39153362500001,1,80.39153362500001,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12336797560101,-50.180080101904814,80.391533625,1,80.391533625,,gp,2,5.0,True,Petrone_etal_2016
GPRT8,2011-08-18,67.12338041112434,-50.17996856496847,73.28216025,1,73.28216025,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12339378103056,-50.18003911524339,85.70663595,1,85.70663595,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12341250710728,-50.180104527703534,84.386323125,1,84.386323125,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12343123670611,-50.18017063173224,81.7457004,1,81.7457004,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12344797068442,-50.18022662169391,83.50611555,1,83.50611555,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12346734686452,-50.18030219420791,87.0269473125,1,87.0269473125,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12348333650291,-50.18035882429797,85.70663595,1,85.70663595,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12350628781468,-50.18046097916587,82.40585535,1,82.40585535,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12352187561753,-50.18052672905663,43.58443725,1,43.58443725,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12353294737919,-50.18058652286769,48.66256125,1,48.66256125,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12355383818223,-50.18068050641565,43.8383435625,1,43.8383435625,,gp,4,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12357059286248,-50.18075515017415,48.66256125,1,48.66256125,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12358527296927,-50.18081885637274,44.092249875,1,44.092249875,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12360473751275,-50.18088255437314,45.95422874999999,1,45.95422874999999,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12362181984334,-50.18094821578694,44.6000625,1,44.6000625,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.1236380520629,-50.18102305054186,47.64693675,1,47.64693675,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12365853493388,-50.18111042083017,47.646936000000004,1,47.646936000000004,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12366686251046,-50.18115993412189,48.66256125,1,48.66256125,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12367889179421,-50.18123156863288,54.75631049999999,1,54.75631049999999,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12369918007508,-50.18133934802534,61.527141,1,61.527141,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12371384283128,-50.18139971275333,46.63131075,1,46.63131075,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12373393953636,-50.18147011407269,52.047977249999995,1,52.047977249999995,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12375317036467,-50.18154661549865,47.646936000000004,1,47.646936000000004,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12376331883503,-50.18160136982236,43.58443725,1,43.58443725,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.1237847990419,-50.18170837957896,43.922979,1,43.922979,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12380194044326,-50.18178564359786,46.63131075,1,46.63131075,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12383397410588,-50.18190974064893,51.709435875,1,51.709435875,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12386710990882,-50.18207391379784,48.66256125,1,48.66256125,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12388776233422,-50.182165314435835,49.678186499999995,1,49.678186499999995,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12391659331752,-50.18227718700276,47.646937124999994,1,47.646937124999994,,gp,2,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.1239367128363,-50.18235212270356,48.66256125,1,48.66256125,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12394861481206,-50.18239898031547,45.61568774999999,1,45.61568774999999,,gp,1,5.0,False,Petrone_etal_2016
GPRT12,2011-08-18,67.12397030817195,-50.18248930896078,50.693810250000006,1,50.693810250000006,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12399722169845,-50.18260635726751,55.433393249999995,1,55.433393249999995,,gp,3,5.0,True,Petrone_etal_2016
GPRT12,2011-08-18,67.12402108443167,-50.18271159784512,54.07922625,1,54.07922625,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12378950189036,-50.183797319800895,63.90291236666667,1,63.90291236666667,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12379718178944,-50.18366166041301,60.17297475,1,60.17297475,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12382233549985,-50.18314187910394,55.771933499999996,1,55.771933499999996,,gp,1,5.0,False,Petrone_etal_2016
GPRT15,2011-08-18,67.12382379356164,-50.18307612759865,52.72506,1,52.72506,,gp,1,5.0,False,Petrone_etal_2016
GPRT15,2011-08-18,67.12382651747397,-50.18296553283313,48.3240195,1,48.3240195,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12382895097623,-50.18285663843427,55.517469600000005,1,55.517469600000005,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383248012178,-50.18272811158162,48.32402025,1,48.32402025,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383628402634,-50.1826240889056,44.092249875,1,44.092249875,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383381164294,-50.18252073930043,45.954228750000006,1,45.954228750000006,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383497040999,-50.18236731788687,48.154748625,1,48.154748625,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383938638732,-50.18226607928703,47.139124499999994,1,47.139124499999994,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12384328855443,-50.182152101773475,45.615687,1,45.615687,,gp,3,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12384001886946,-50.18203909667719,54.75631049999999,1,54.75631049999999,,gp,1,5.0,False,Petrone_etal_2016
GPRT15,2011-08-18,67.1238358570753,-50.181927082333026,54.248497875,1,54.248497875,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383024771222,-50.18179517573721,49.678186499999995,1,49.678186499999995,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12382648110544,-50.18167277405783,47.139124499999994,1,47.139124499999994,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.1238312624744,-50.181555385583884,53.74068525,1,53.74068525,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12383616655211,-50.18146196850277,53.74068525,1,53.74068525,,gp,1,5.0,False,Petrone_etal_2016
GPRT15,2011-08-18,67.12386050900278,-50.1808728203563,52.2172485,1,52.2172485,,gp,2,5.0,True,Petrone_etal_2016
GPRT15,2011-08-18,67.12387204577504,-50.1807608509372,50.185998,1,50.185998,,gp,2,5.0,True,Petrone_etal_2016
