site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Saskatchewan,59,55.483333333333334,-105.0,46.0,1,1963-07-01,46,09/1963,Saskatchewan | 59,,unknown,Smith_Burgess_2002,46.0,True,True,True
Saskatchewan,61,55.483333333333334,-105.0,76.0,1,1963-07-01,76,09/1963,Saskatchewan | 61,,unknown,Smith_Burgess_2002,76.0,True,True,True
Saskatchewan,24,56.5,-109.55,61.0,1,1963-07-01,61,09/1963,Saskatchewan | 24,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,37,53.88333333333333,-95.0,61.0,1,1965-07-01,61,09/1965,Manitoba | 37,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,38,53.9,-95.63333333333334,46.0,1,1965-07-01,46,09/1965,Manitoba | 38,,unknown,Smith_Burgess_2002,46.0,True,True,True
Manitoba,39,53.916666666666664,-96.51666666666667,48.0,1,1965-07-01,48,09/1965,Manitoba | 39,,unknown,Smith_Burgess_2002,48.0,True,True,True
Manitoba,40,53.85,-97.36666666666666,53.0,1,1965-07-01,53,09/1965,Manitoba | 40,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,36,54.55,-94.31666666666666,51.0,1,1965-07-01,51,09/1965,Manitoba | 36,,unknown,Smith_Burgess_2002,51.0,True,True,True
Manitoba,41,54.15,-97.88333333333334,43.0,1,1965-07-01,43,09/1965,Manitoba | 41,,unknown,Smith_Burgess_2002,43.0,True,True,True
Manitoba,194,54.61666666666667,-99.66666666666667,76.0,1,1963-07-01,76,09/1963,Manitoba | 194,,unknown,Smith_Burgess_2002,76.0,True,True,True
Manitoba,197,54.61666666666667,-99.66666666666667,61.0,1,1963-07-01,61,09/1963,Manitoba | 197,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,192,54.583333333333336,-99.83333333333333,46.0,1,1963-07-01,46,09/1963,Manitoba | 192,,unknown,Smith_Burgess_2002,46.0,True,True,True
Manitoba,187,54.88333333333333,-99.88333333333334,61.0,1,1963-07-01,61,09/1963,Manitoba | 187,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,186,54.88333333333333,-99.88333333333334,84.0,1,1963-07-01,84,09/1963,Manitoba | 186,,unknown,Smith_Burgess_2002,84.0,True,True,True
Manitoba,185,54.81666666666667,-99.98333333333333,53.0,1,1963-07-01,53,09/1963,Manitoba | 185,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,190,54.55,-99.98333333333333,61.0,1,1963-07-01,61,09/1963,Manitoba | 190,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,178,54.63333333333333,-100.0,53.0,1,1963-07-01,53,09/1963,Manitoba | 178,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,153,54.5,-100.0,61.0,1,1963-07-01,61,09/1963,Manitoba | 153,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,183,54.8,-100.0,61.0,1,1963-07-01,61,09/1963,Manitoba | 183,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,183,54.7,-100.0,76.0,1,1963-07-01,46-76,09/1963,Manitoba | 183,,unknown,Smith_Burgess_2002,76.0,True,True,True
Manitoba,176,54.666666666666664,-100.1,53.0,1,1963-07-01,53,09/1963,Manitoba | 176,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,175,54.65,-100.13333333333334,53.0,1,1963-07-01,53,09/1963,Manitoba | 175,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,174,54.63333333333333,-100.15,61.0,1,1963-07-01,61,09/1963,Manitoba | 174,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,172,54.61666666666667,-100.18333333333334,61.0,1,1963-07-01,61,09/1963,Manitoba | 172,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,171,54.583333333333336,-100.3,61.0,1,1963-07-01,61,09/1963,Manitoba | 171,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,169,54.56666666666667,-100.4,61.0,1,1963-07-01,61,09/1963,Manitoba | 169,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,167,54.53333333333333,-100.46666666666667,61.0,1,1963-07-01,61,09/1963,Manitoba | 167,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,165,54.55,-100.58333333333333,53.0,1,1963-07-01,53,09/1963,Manitoba | 165,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,163,54.53333333333333,-100.68333333333334,61.0,1,1963-07-01,61,09/1963,Manitoba | 163,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,161,54.516666666666666,-100.75,53.0,1,1963-07-01,53,09/1963,Manitoba | 161,,unknown,Smith_Burgess_2002,53.0,True,True,True
Manitoba,-,54.78333333333333,-101.01666666666667,61.0,1,1963-07-01,61,09/1963,Manitoba,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,152,54.46666666666667,-101.3,61.0,1,1963-07-01,61,09/1963,Manitoba | 152,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,125,54.333333333333336,-101.33333333333333,61.0,1,1963-07-01,61,09/1963,Manitoba | 125,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,-,54.166666666666664,-101.38333333333334,61.0,1,1963-07-01,61,09/1963,Manitoba,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,34,55.333333333333336,-91.66666666666667,61.0,1,1965-07-01,48-61,09/1965,Manitoba | 34,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,35,55.0,-92.71666666666667,61.0,1,1965-07-01,53-61,09/1965,Manitoba | 35,,unknown,Smith_Burgess_2002,61.0,True,True,True
Manitoba,26,55.55,-99.96666666666667,91.0,1,1963-07-01,91,09/1963,Manitoba | 26,,unknown,Smith_Burgess_2002,91.0,True,True,True
"Churchill, Man.",2,58.75,-94.0,94.0,1,1975-07-01,94,1974 - 1976,"Churchill, Man. | 2",,unknown,Smith_Burgess_2002,94.0,True,True,True
"Churchill, Man.",1,58.75,-94.0,777.0,1,1975-07-01,777,1974 - 1976,"Churchill, Man. | 1",,unknown,Smith_Burgess_2002,777.0,True,True,True
"Churchill, Man.",3,58.75,-94.0,52.0,1,1975-07-01,52,1974 - 1976,"Churchill, Man. | 3",,unknown,Smith_Burgess_2002,52.0,True,True,True
Northern Ontario,5,51.78333333333333,-81.08333333333333,64.0,1,1965-07-01,33-64,09/1965,Northern Ontario | 5,,unknown,Smith_Burgess_2002,64.0,True,True,True
Northern Ontario,9,53.416666666666664,-83.33333333333333,81.0,1,1965-07-01,81,09/1965,Northern Ontario | 9,,unknown,Smith_Burgess_2002,81.0,True,True,True
Northern Ontario,22,53.416666666666664,-84.66666666666667,84.0,1,1965-07-01,69-84,09/1965,Northern Ontario | 22,,unknown,Smith_Burgess_2002,84.0,True,True,True
Northern Ontario,11,53.916666666666664,-85.91666666666667,43.0,1,1965-07-01,43,09/1965,Northern Ontario | 11,,unknown,Smith_Burgess_2002,43.0,True,True,True
Northern Ontario,30,53.38333333333333,-89.88333333333334,61.0,1,1965-07-01,61,09/1965,Northern Ontario | 30,,unknown,Smith_Burgess_2002,61.0,True,True,True
Northern Ontario,31,53.53333333333333,-89.88333333333334,56.0,1,1965-07-01,51-56,09/1965,Northern Ontario | 31,,unknown,Smith_Burgess_2002,56.0,True,True,True
Northern Ontario,21,54.0,-84.95,46.0,1,1965-07-01,46,09/1965,Northern Ontario | 21,,unknown,Smith_Burgess_2002,46.0,True,True,True
Northern Ontario,33,54.63333333333333,-91.0,53.0,1,1965-07-01,53,09/1965,Northern Ontario | 33,,unknown,Smith_Burgess_2002,53.0,True,True,True
Northern Ontario,13,55.13333333333333,-85.25,91.0,1,1965-07-01,30-91,09/1965,Northern Ontario | 13,,unknown,Smith_Burgess_2002,91.0,True,True,True
Northern Ontario,14,55.13333333333333,-85.75,53.0,1,1965-07-01,53,09/1965,Northern Ontario | 14,,unknown,Smith_Burgess_2002,53.0,True,True,True
Northern Ontario,15,55.2,-86.71666666666667,84.0,1,1965-07-01,46-84,09/1965,Northern Ontario | 15,,unknown,Smith_Burgess_2002,84.0,True,True,True
Northern Ontario,20,55.916666666666664,-87.83333333333333,61.0,1,1965-07-01,61,09/1965,Northern Ontario | 20,,unknown,Smith_Burgess_2002,61.0,True,True,True
Northern Ontario,19,55.583333333333336,-88.33333333333333,46.0,1,1965-07-01,46,09/1965,Northern Ontario | 19,,unknown,Smith_Burgess_2002,46.0,True,True,True
Northern Ontario,32,55.833333333333336,-91.0,76.0,1,1965-07-01,66-76,09/1965,Northern Ontario | 32,,unknown,Smith_Burgess_2002,76.0,True,True,True
Mont Jacques-Cartier (PQ),-,48.93333333333333,-65.91666666666667,600.0,1,1978-07-01,>600,1977 - 1979,Mont Jacques-Cartier (PQ),,unknown,Smith_Burgess_2002,600.0,True,True,True
Labrador,90,51.916666666666664,-56.46666666666667,48.0,1,1967-07-01,48,09/1967 & 1968,Labrador | 90,,unknown,Smith_Burgess_2002,48.0,True,True,True
Quebec,55,51.3,-63.45,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 55,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,38,52.5,-70.76666666666667,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 38,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,85,53.4,-56.85,46.0,1,1967-07-01,46,09/1967 & 1968,Labrador | 85,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,80,53.93333333333333,-59.916666666666664,36.0,1,1967-07-01,36,09/1967 & 1968,Labrador | 80,,unknown,Smith_Burgess_2002,36.0,True,True,True
Labrador,43,53.666666666666664,-67.0,46.0,1,1967-07-01,46,09/1967 & 1968,Labrador | 43,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,35,53.35,-70.96666666666667,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 35,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,78,54.0,-59.0,61.0,1,1967-07-01,61,09/1967 & 1968,Labrador | 78,,unknown,Smith_Burgess_2002,61.0,True,True,True
Labrador,67,54.45,-61.88333333333333,46.0,1,1967-07-01,46,09/1967 & 1968,Labrador | 67,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,46,54.333333333333336,-65.18333333333334,46.0,1,1967-07-01,46,09/1967 & 1968,Labrador | 46,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,44,54.8,-67.0,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 44,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,28,54.766666666666666,-74.3,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 28,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,70,55.333333333333336,-61.55,46.0,1,1967-07-01,46,09/1967 & 1968,Labrador | 70,,unknown,Smith_Burgess_2002,46.0,True,True,True
Labrador,69,55.4,-62.46666666666667,41.0,1,1967-07-01,41,09/1967 & 1968,Labrador | 69,,unknown,Smith_Burgess_2002,41.0,True,True,True
Quebec,18,55.583333333333336,-75.66666666666667,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 18,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,16,55.46666666666667,-77.23333333333333,46.0,1,1967-07-01,46,09/1967 & 1968,Quebec | 16,,unknown,Smith_Burgess_2002,46.0,True,True,True
Quebec,13,55.016666666666666,-77.88333333333334,84.0,1,1967-07-01,53-84,09/1967 & 1968,Quebec | 13,,unknown,Smith_Burgess_2002,84.0,True,True,True
Kangiqsualujjuaq Valley,Site #1,58.5,-65.83,180.0,1,1988-07-01,120-180,1988,Kangiqsualujjuaq Valley | Site #1,,unknown,Smith_Burgess_2002,180.0,True,True,True
Kangiqsualujjuaq Valley,Site #2,58.5,-65.83,180.0,1,1988-07-01,110-180,1988,Kangiqsualujjuaq Valley | Site #2,,unknown,Smith_Burgess_2002,180.0,True,True,True
Kangiqsualujjuaq Valley,Site #3,58.5,-65.83,200.0,1,1986-07-01,150-200,1986,Kangiqsualujjuaq Valley | Site #3,,unknown,Smith_Burgess_2002,200.0,True,True,True
Kangiqsualujjuaq,Till site,58.5,-65.5,150.0,1,1985-07-01,150,1984 - 1987,Kangiqsualujjuaq | Till site,,unknown,Smith_Burgess_2002,150.0,True,True,True
Kangiqsualujjuaq,PF mounds,58.5,-65.5,135.0,1,1984-07-01,85-135,1984 - 1985,Kangiqsualujjuaq | PF mounds,,unknown,Smith_Burgess_2002,135.0,True,True,True
Kangiqsualujjuaq,Tidal marsh,58.5,-65.5,100.0,1,1985-07-01,100,1984 - 1986,Kangiqsualujjuaq | Tidal marsh,,unknown,Smith_Burgess_2002,100.0,True,True,True
