site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Devon Island:TrueloveLowlands,Upland Plateau (G),75.65,-84.38333333333334,30.0,1,1972-07-01,<30,05/1972 - 05/1973,Devon Island:TrueloveLowlands | Upland Plateau (G),,unknown,Smith_Burgess_2002,30.0,True,True,True
Devon Island:TrueloveLowlands,Granite Gneiss (F),75.66666666666667,-84.45,223.0,1,1972-07-01,223,05/1972 - 05/1973,Devon Island:TrueloveLowlands | Granite Gneiss (F),,unknown,Smith_Burgess_2002,223.0,True,True,True
Devon Island:TrueloveLowlands,Tundra-Meadow (C),75.66666666666667,-84.46666666666667,70.0,1,1972-07-01,70,05/1972 - 05/1973,Devon Island:TrueloveLowlands | Tundra-Meadow (C),,unknown,Smith_Burgess_2002,70.0,True,True,True
Devon Island:TrueloveLowlands,Limestone-Inland (E),75.66666666666667,-84.6,140.0,1,1972-07-01,140,05/1972 - 05/1973,Devon Island:TrueloveLowlands | Limestone-Inland (E),,unknown,Smith_Burgess_2002,140.0,True,True,True
Devon Island:TrueloveLowlands,Limestone-Coast (D),75.68333333333334,-84.65,122.0,1,1972-07-01,122,05/1972 - 05/1973,Devon Island:TrueloveLowlands | Limestone-Coast (D),,unknown,Smith_Burgess_2002,122.0,True,True,True
Rea Point,-,75.36,-105.75,53.0,1,1986-07-01,25-53,1985-1987,Rea Point,,unknown,Smith_Burgess_2002,53.0,True,True,True
Alert,-,82.5,-62.43333333333333,8.0,1,1979-07-01,<0.8,08/1979 to 08/1980,Alert,,unknown,Smith_Burgess_2002,8.0,True,True,True
Yukon Territory,83,60.166666666666664,-129.9,53.0,1,1964-07-01,53,09/1964,Yukon Territory | 83,,unknown,Smith_Burgess_2002,53.0,True,True,True
Yukon Territory,94,60.083333333333336,-132.65,46.0,1,1964-07-01,46,09/1964,Yukon Territory | 94,,unknown,Smith_Burgess_2002,46.0,True,True,True
Yukon Territory,93,60.083333333333336,-132.65,46.0,1,1964-07-01,46,09/1964,Yukon Territory | 93,,unknown,Smith_Burgess_2002,46.0,True,True,True
Yukon Territory,95,60.13333333333333,-132.9,69.0,1,1964-07-01,69,09/1964,Yukon Territory | 95,,unknown,Smith_Burgess_2002,69.0,True,True,True
Yukon Territory,97,60.13333333333333,-132.9,71.0,1,1964-07-01,71,09/1964,Yukon Territory | 97,,unknown,Smith_Burgess_2002,71.0,True,True,True
Yukon Territory,96,60.13333333333333,-132.9,69.0,1,1964-07-01,69,09/1964,Yukon Territory | 96,,unknown,Smith_Burgess_2002,69.0,True,True,True
Yukon Territory,99,60.266666666666666,-133.08333333333334,61.0,1,1964-07-01,61,09/1964,Yukon Territory | 99,,unknown,Smith_Burgess_2002,61.0,True,True,True
