lat,lon,pf_obs,pf_depth,depth_obs,site_id
65.86101905,-156.2305986,N,,,polysample
65.8587799,-156.2333753,N,,,polysample
65.85132826,-156.2618784,N,,,polysample
65.85229769,-156.2604636,N,,,polysample
65.85056393,-156.2633051,N,,,polysample
65.86042966,-156.2614328,N,,,polysample
65.86021204,-156.2650546,N,,,polysample
65.85937536,-156.2679487,N,,,polysample
65.85944612,-156.2724658,N,,,polysample
65.86127369,-156.2596517,N,,,polysample
65.8617048,-156.2576162,N,,,polysample
65.85955619,-156.2758746,N,,,polysample
65.84950161,-156.3388791,N,,,polysample
65.8472745,-156.339982,N,,,polysample
65.85746744,-156.3157082,N,,,polysample
65.85697554,-156.3223063,N,,,polysample
65.85394441,-156.3363976,N,,,polysample
65.85570087,-156.3292361,N,,,polysample
65.85570051,-156.3263996,N,,,polysample
65.85014882,-156.3404232,N,,,polysample
65.84851659,-156.3405181,N,,,polysample
65.85139233,-156.3400084,N,,,polysample
65.82301362,-156.3676853,N,,,polysample
65.8235582,-156.3706903,N,,,polysample
65.8241896,-156.374675,N,,,polysample
65.82431227,-156.377305,N,,,polysample
65.82538843,-156.3794582,N,,,polysample
65.82287954,-156.3643117,N,,,polysample
65.82426499,-156.3723031,N,,,polysample
65.82204687,-156.3672464,N,,,polysample
65.83034312,-156.3732755,N,,,polysample
65.82953702,-156.3714037,N,,,polysample
65.82985532,-156.3691724,N,,,polysample
65.83156876,-156.3711234,N,,,polysample
65.83153999,-156.368678,N,,,polysample
65.83097414,-156.3651427,N,,,polysample
65.83055468,-156.3629536,N,,,polysample
65.82624149,-156.3746223,N,,,polysample
65.82697632,-156.3785896,N,,,polysample
65.8254788,-156.3733962,N,,,polysample
65.82774328,-156.3706317,N,,,polysample
65.82846814,-156.3750625,N,,,polysample
65.82778553,-156.368264,N,,,polysample
65.82813369,-156.3729197,N,,,polysample
65.82850793,-156.3773575,N,,,polysample
65.82691207,-156.3369024,N,,,polysample
65.82606363,-156.3399855,N,,,polysample
65.82742229,-156.3350593,N,,,polysample
65.79719544,-156.3666254,N,,,polysample
65.79805718,-156.3676257,N,,,polysample
65.7990542,-156.3672463,N,,,polysample
65.72735809,-156.5307079,N,,,polysample
65.72942946,-156.5329116,N,,,polysample
65.73201323,-156.5363323,N,,,polysample
65.73302974,-156.5379262,N,,,polysample
65.73099435,-156.5344243,N,,,polysample
65.73440825,-156.5392071,N,,,polysample
65.72823572,-156.5318467,N,,,polysample
65.72559637,-156.4764505,N,,,polysample
65.72698321,-156.4769025,N,,,polysample
65.72426385,-156.4761563,N,,,polysample
65.72790254,-156.4748445,N,,,polysample
65.72492713,-156.4786054,N,,,polysample
65.72680971,-156.4745577,N,,,polysample
65.726179,-156.4781996,N,,,polysample
65.67235706,-156.4490943,N,,,polysample
65.66909457,-156.4560804,N,,,polysample
65.67006194,-156.4530202,N,,,polysample
65.6710893,-156.4510478,N,,,polysample
65.67145362,-156.4488199,N,,,polysample
65.66841303,-156.4585025,N,,,polysample
65.67326949,-156.4470139,N,,,polysample
65.674734,-156.4449642,N,,,polysample
65.70034985,-156.3972112,N,,,polysample
65.70119786,-156.3885537,N,,,polysample
65.70165062,-156.3914727,N,,,polysample
65.69959624,-156.3937168,N,,,polysample
65.70264667,-156.3908906,N,,,polysample
65.70089619,-156.3946268,N,,,polysample
65.70190684,-156.3936387,N,,,polysample
65.70077656,-156.3907698,N,,,polysample
65.70318028,-156.3818661,N,,,polysample
65.70116582,-156.3851245,N,,,polysample
65.70188235,-156.3825888,N,,,polysample
65.7020969,-156.3804141,N,,,polysample
65.70368277,-156.3797179,N,,,polysample
65.70289051,-156.3777318,N,,,polysample
65.69699732,-156.3826271,N,,,polysample
65.69591152,-156.3816184,N,,,polysample
65.69674942,-156.3804814,N,,,polysample
65.69799472,-156.3544173,N,,,polysample
65.69712858,-156.3563802,N,,,polysample
65.69620237,-156.3535787,N,,,polysample
65.69766604,-156.350952,N,,,polysample
65.69585399,-156.3612228,N,,,polysample
65.69578191,-156.3589155,N,,,polysample
65.69715256,-156.3594021,N,,,polysample
65.69530279,-156.3570533,N,,,polysample
65.66310283,-156.4328987,N,,,polysample
65.66415179,-156.4315727,N,,,polysample
65.80432618,-156.36243,Y,,,polysample
65.77999976,-156.4377923,Y,,,polysample
65.77363609,-156.4624112,Y,,,polysample
65.77168806,-156.4680591,Y,,,polysample
65.77111423,-156.4699472,Y,,,polysample
65.77248133,-156.4666757,Y,,,polysample
65.75109619,-156.5448967,Y,,,polysample
65.75049314,-156.5472757,Y,,,polysample
65.75126133,-156.5424822,Y,,,polysample
65.74993944,-156.549153,Y,,,polysample
65.75140414,-156.5494606,Y,,,polysample
65.75172508,-156.5472171,Y,,,polysample
65.75337954,-156.5444882,Y,,,polysample
65.75215062,-156.545242,Y,,,polysample
65.75235747,-156.5501034,Y,,,polysample
65.75263094,-156.5480104,Y,,,polysample
65.70211164,-156.4049812,Y,,,polysample
65.70265012,-156.4076948,Y,,,polysample
65.70311417,-156.4118125,Y,,,polysample
65.65610422,-156.4773518,Y,,,polysample
65.65543292,-156.4794743,Y,,,polysample
65.61476754,-156.5364786,Y,,,polysample
65.61563585,-156.532177,Y,,,polysample
65.61563322,-156.5295248,Y,,,polysample
65.61492052,-156.5342503,Y,,,polysample
65.6147069,-156.5319828,Y,,,polysample
65.61755579,-156.5334243,Y,,,polysample
65.6184586,-156.5353567,Y,,,polysample
65.61767461,-156.536556,Y,,,polysample
65.61448893,-156.5160369,Y,,,polysample
65.61409835,-156.5194549,Y,,,polysample
65.61503861,-156.5179117,Y,,,polysample
65.61394992,-156.5105625,Y,,,polysample
65.61492305,-156.5134143,Y,,,polysample
65.61494643,-156.5103723,Y,,,polysample
65.61399927,-156.5132681,Y,,,polysample
65.61668422,-156.4912129,Y,,,polysample
65.61692459,-156.4890689,Y,,,polysample
65.61772906,-156.4902306,Y,,,polysample
65.61504733,-156.5019289,Y,,,polysample
65.61555878,-156.4992498,Y,,,polysample
65.66851187,-156.3712795,Y,,,polysample
65.66936884,-156.3687376,Y,,,polysample
65.67021521,-156.3697063,Y,,,polysample
65.66871863,-156.3749679,Y,,,polysample
65.6678108,-156.3736807,Y,,,polysample
65.66687081,-156.3728259,Y,,,polysample
65.66941924,-156.3537055,Y,,,polysample
65.66583945,-156.3591512,Y,,,polysample
65.67105717,-156.3529512,Y,,,polysample
65.66807547,-156.3555927,Y,,,polysample
65.67236431,-156.3540568,Y,,,polysample
65.66723361,-156.3565465,Y,,,polysample
65.64720943,-156.3630925,Y,,,polysample
65.64820935,-156.3792738,Y,,,polysample
65.64909223,-156.3751981,Y,,,polysample
65.64945486,-156.3687717,Y,,,polysample
65.64948339,-156.3710617,Y,,,polysample
65.64971697,-156.3658204,Y,,,polysample
65.64862334,-156.3698743,Y,,,polysample
65.65079996,-156.3776795,Y,,,polysample
65.6480435,-156.3764174,Y,,,polysample
65.64877878,-156.3809795,Y,,,polysample
65.75913154,-156.5149484,Y,,,polysample
65.75973827,-156.5199524,Y,,,polysample
65.76054261,-156.5210885,Y,,,polysample
65.76059535,-156.5178692,Y,,,polysample
65.75929902,-156.5179853,Y,,,polysample
65.75815672,-156.5174649,Y,,,polysample
65.75999983,-156.5161576,Y,,,polysample
65.76063308,-156.5235018,Y,,,polysample
65.75456739,-156.5500723,Y,,,polysample
65.75278036,-156.5565899,Y,,,polysample
65.75462288,-156.5473158,Y,,,polysample
65.75387237,-156.5544447,Y,,,polysample
65.7542795,-156.5569657,Y,,,polysample
65.75501499,-156.5546427,Y,,,polysample
65.75566376,-156.5501648,Y,,,polysample
65.75328502,-156.5516234,Y,,,polysample
65.75280446,-156.554272,Y,,,polysample
65.75247588,-156.5067764,Y,,,polysample
65.75338522,-156.5086907,Y,,,polysample
65.70160845,-156.402792,Y,,,polysample
65.71494658,-156.3628097,Y,,,polysample
65.71587876,-156.3632006,Y,,,polysample
65.71108538,-156.2742541,Y,,,polysample
65.61938183,-156.485173,Y,,,polysample
65.61804394,-156.4843579,Y,,,polysample
65.73600422,-156.386334,Y,,,polysample
65.871383,-156.2633635,Y,,,polysample
65.6946015,-156.4386058,Y,,,polysample
65.70268798,-156.4098846,Y,,,polysample
65.68853913,-156.3848795,Y,,,polysample
65.66402625,-156.3809392,Y,,,polysample
65.65693707,-156.404474,Y,,,polysample
65.65718675,-156.4017107,Y,,,polysample
65.6601671,-156.4636186,Y,,,polysample
65.66040048,-156.4612707,Y,,,polysample
65.65955849,-156.4652451,Y,,,polysample
65.65455961,-156.4809067,Y,,,polysample
65.6237176,-156.5420945,Y,,,polysample
65.61963987,-156.5360734,Y,,,polysample
65.61644221,-156.5276245,Y,,,polysample
65.61512559,-156.5082341,Y,,,polysample
65.6188089,-156.4876121,Y,,,polysample
65.80531869,-156.3625628,Y,,,polysample
65.68848243,-156.459476,Y,,,polysample
65.68800673,-156.4620135,Y,,,polysample
65.68973186,-156.4527504,Y,,,polysample
65.71937831,-156.5221104,Y,,,polysample
65.77464417,-156.4601455,Y,,,polysample
65.67167051,-156.5884042,Y,,,polysample
65.72552717,-156.2098856,Y,,,polysample
65.72644105,-156.2102443,Y,,,polysample
