lat,lon,pf_observed,thaw_depth,obs_limit,site_id,source,date,pf_depth,method
65.72056764,-156.5161336,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72053472,-156.5183504,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6980018,-156.5007664,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69719875,-156.498927,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69615799,-156.4967392,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68562277,-156.4868868,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68610616,-156.4815432,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68515866,-156.4899793,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68622696,-156.4793586,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68559639,-156.4842178,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68767496,-156.4867682,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6871053,-156.4887168,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6867805,-156.4909253,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68757941,-156.4840241,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69146041,-156.4462067,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6905297,-156.4460381,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69268397,-156.3853233,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.69428661,-156.3880346,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6930181,-156.3875745,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6916404,-156.3865613,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.68256211,-156.3768424,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65953234,-156.3911226,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65654803,-156.4093098,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65572062,-156.4063377,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65726305,-156.4078823,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65611548,-156.4129762,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65714513,-156.4112458,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.65678361,-156.4146684,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.6247492,-156.5407031,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.62622536,-156.5430439,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.62541732,-156.5440116,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.62451725,-156.5432572,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.62630344,-156.5457431,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61620726,-156.520425,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.61538113,-156.5189423,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.77312686,-156.4187915,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.80994604,-156.3672019,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.81158655,-156.3676075,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.80884325,-156.366527,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8186126,-156.3415009,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.81834921,-156.3436584,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.817665,-156.3474498,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8153708,-156.3262443,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.81532534,-156.3284976,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.8163976,-156.329198,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.81634306,-156.326451,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83389967,-156.340828,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83565272,-156.3426931,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83467571,-156.3429415,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.83301662,-156.3416056,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.86255632,-156.3008259,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.85702413,-156.2786789,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87550517,-156.2580486,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87695237,-156.2658294,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87601172,-156.2637999,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87733153,-156.2683454,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87478904,-156.2614725,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87625987,-156.259886,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.87678713,-156.262596,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72997375,-156.5210174,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72803704,-156.5186681,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.72909971,-156.5193284,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.74388885,-156.5552774,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.74343581,-156.558134,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
65.74528311,-156.5547669,0,,,polysample,Koyukuk_2018,2018-07-08,,tp
