site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
SS33-1,Talucci_2024,2019-10-06,60.93538,-117.124,1,175.0,34.32,5,175.0,,unknown,5,42.5,burned,,
SS33-3,Talucci_2024,2015-10-12,60.93987,-117.378,1,114.1,33.34,10,114.1,,unknown,1,33.25,burned,,
SS33-3,Talucci_2024,2019-10-11,60.94009,-117.378,1,189.4,17.56,5,189.4,,unknown,5,33.25,burned,,
kakisa_2014,Talucci_2024,2015-10-12,60.94055556,-117.3616667,1,74.87,10.8,68,74.87,,unknown,1,255.0,burned,,
kakisa_2014,Talucci_2024,2015-10-12,60.94056,-117.3617,1,71.23,15.69,130,71.23,,unknown,1,255.0,burned,,
kakiska_2014,Talucci_2024,2016-09-28,60.94056,-117.3617,1,93.11,12.65,130,93.11,,unknown,2,255.0,burned,,
SS33-9,Talucci_2024,2015-10-12,60.94142,-117.365,1,65.0,22.07,26,65.0,,unknown,1,31.2,burned,,
SS33-9,Talucci_2024,2016-09-28,60.94142,-117.365,1,84.6,16.87,26,84.6,,unknown,2,31.2,burned,,
SS33-9,Talucci_2024,2017-10-02,60.94142,-117.365,1,83.17,8.95,26,83.17,,unknown,3,31.2,burned,,
SS33-9,Talucci_2024,2018-09-19,60.94146,-117.365,1,93.0,,1,93.0,,unknown,4,31.2,burned,95.0,2018-10-26
b1,Talucci_2024,2015-10-12,60.94149,-117.36552,1,70.44,9.35,55,70.44,,unknown,1,297.0,burned,,
b1,Talucci_2024,2016-09-28,60.94149,-117.3655,1,87.87,25.32,189,87.87,,unknown,2,297.0,burned,,
b1,Talucci_2024,2017-10-02,60.94149,-117.3655,1,87.84,11.78,189,87.84,,unknown,3,297.0,burned,,
b1,Talucci_2024,2018-09-19,60.94149,-117.3655,1,94.1,11.26,189,94.1,,unknown,4,297.0,burned,,
b1,Talucci_2024,2019-10-11,60.94149,-117.3655,1,105.62,11.14,189,105.62,,unknown,5,297.0,burned,,
SS33-9,Talucci_2024,2018-09-19,60.94149,-117.365,1,98.0,,1,98.0,,unknown,4,31.2,burned,100.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94155,-117.365,1,93.0,,1,93.0,,unknown,4,31.2,burned,95.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94162,-117.365,1,103.0,,1,103.0,,unknown,4,31.2,burned,105.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94166,-117.365,1,108.0,,6,108.0,,unknown,4,31.2,burned,,
SS33-9,Talucci_2024,2019-10-11,60.94166,-117.365,1,100.6,8.96,6,100.6,,unknown,5,31.2,burned,,
SS33-11,Talucci_2024,2015-10-12,60.94818,-117.356,1,128.75,14.29,9,128.75,,unknown,1,68.0,burned,,
SS33-11,Talucci_2024,2019-10-11,60.94818,-117.356,1,203.0,,9,203.0,,unknown,5,68.0,burned,,
SS33-11,Talucci_2024,2019-10-11,60.94823,-117.355,1,163.25,27.21,4,163.25,,unknown,5,68.0,burned,,
SS33-6,Talucci_2024,2018-09-19,60.95213,-117.333,1,133.0,,1,133.0,,unknown,4,65.5,burned,135.0,2018-10-26
SS33-6,Talucci_2024,2015-10-12,60.95214,-117.333,1,83.6,12.87,20,83.6,,unknown,1,42.2,burned,,
SS33-6,Talucci_2024,2016-09-28,60.95214,-117.333,1,112.0,25.25,20,112.0,,unknown,2,42.2,burned,,
SS33-6,Talucci_2024,2018-09-19,60.95216,-117.333,1,118.0,,1,118.0,,unknown,4,65.5,burned,120.0,2018-10-26
SS33-6,Talucci_2024,2018-09-19,60.95219,-117.333,1,98.0,,1,98.0,,unknown,4,65.5,burned,100.0,2018-10-26
SS33-6,Talucci_2024,2018-09-19,60.95226,-117.333,1,108.0,,1,108.0,,unknown,4,65.5,burned,110.0,2018-10-26
SS33-6,Talucci_2024,2018-09-19,60.95232,-117.333,1,113.0,,6,113.0,,unknown,4,65.5,burned,,
SS33-6,Talucci_2024,2019-10-07,60.95232,-117.333,1,162.2,56.77,6,162.2,,unknown,5,65.5,burned,,
SS33-6,Talucci_2024,2015-10-12,60.95727,-117.339,1,140.88,23.55,15,140.88,,unknown,1,65.5,burned,,
SS33-6,Talucci_2024,2016-09-28,60.95727,-117.339,1,180.86,23.23,15,180.86,,unknown,2,65.5,burned,,
SS33-6,Talucci_2024,2018-09-19,60.95728,-117.339,1,123.0,14.14,2,123.0,,unknown,4,42.2,burned,,
SS33-6,Talucci_2024,2018-09-19,60.95732,-117.339,1,98.5,13.44,2,98.5,,unknown,4,42.2,burned,,
SS33-6,Talucci_2024,2018-09-19,60.95738,-117.339,1,94.0,,1,94.0,,unknown,4,42.2,burned,95.0,2018-10-26
SS33-6,Talucci_2024,2018-09-19,60.95744,-117.338,1,128.0,,1,128.0,,unknown,4,42.2,burned,130.0,2018-10-26
SS33-6,Talucci_2024,2018-09-19,60.95748,-117.338,1,79.0,,5,79.0,,unknown,4,42.2,burned,,
SS33-6,Talucci_2024,2019-10-07,60.95748,-117.338,1,178.0,37.84,5,178.0,,unknown,5,42.2,burned,,
KAK-UB-1,Talucci_2024,2019-10-07,60.96169,-117.275,1,189.33,18.58,3,189.33,,unknown,,65.8,unburned,,
CG1-8,Talucci_2024,2017-10-02,60.98869,-117.25,1,94.0,1.41,2,94.0,,unknown,,58.1,unburned,,
CG1-8,Talucci_2024,2019-10-07,60.98889,-117.249,1,132.75,31.6,4,132.75,,unknown,,58.1,unburned,,
CG1-157,Talucci_2024,2019-10-05,61.05614,-118.374,1,95.0,8.49,2,95.0,,unknown,,31.55,unburned,,
CG1-18,Talucci_2024,2019-10-05,61.05873,-118.406,1,53.2,25.65,5,53.2,,unknown,,22.0,unburned,,
CG1-18,Talucci_2024,2019-10-05,61.05917,-118.403,1,155.8,16.62,5,155.8,,unknown,,69.4,unburned,,
CG1-25,Talucci_2024,2019-10-05,61.06403,-118.482,1,84.0,6.24,3,84.0,,unknown,,46.6,unburned,,
F4-31,Talucci_2024,2019-10-05,61.06417,-118.44,1,140.0,14.23,5,140.0,,unknown,39,26.1,burned,,
kakisa_unburn,Talucci_2024,2015-10-12,61.08138889,-117.6230556,1,70.76,23.97,58,70.76,,unknown,,200.0,unburned,,
kakisa_unburn,Talucci_2024,2015-10-01,61.08139,-117.6231,1,83.81,30.71,101,83.81,,unknown,,200.0,unburned,,
F4-1,Talucci_2024,2019-10-05,61.09666,-118.813,1,137.0,19.46,5,137.0,,unknown,39,68.6,burned,,
CG1-15,Talucci_2024,2017-10-02,61.13372,-117.922,1,112.44,24.3,9,112.44,,unknown,,64.2,unburned,,
CG1-6,Talucci_2024,2019-10-07,61.13375,-117.772,1,174.8,24.25,5,174.8,,unknown,,21.7,unburned,,
CG1-15,Talucci_2024,2019-10-07,61.13394,-117.921,1,128.2,42.3,5,128.2,,unknown,,64.2,unburned,,
