"id","borehole_id","year","alt","date","guess","upper_therm","lower_therm","comment","created_at","updated_at"
78,20,1997,1.70,1997-09-11,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
79,20,1998,1.91,1998-08-19,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
82,20,2001,1.92,2001-08-29,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
83,20,2002,1.86,2002-09-04,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
86,20,2005,1.96,2005-09-11,,1.00,2.00,"",2018-10-18 13:56:39.000 +0200,
8,16,2000,4.88,2000-08-01,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
7,16,1999,4.41,1999-10-07,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
6,16,1998,4.42,1998-11-06,true,4.00,5.00,"minimum guess, data only starts in November 1998",2018-10-18 13:56:39.000 +0200,
10,16,2002,4.46,2002-10-08,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
11,16,2003,8.55,2003-11-05,,7.00,9.00,"",2018-10-18 13:56:39.000 +0200,
12,16,2004,4.78,2004-10-06,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
14,16,2006,4.80,2006-10-11,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
15,16,2007,4.55,2007-10-04,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
16,16,2008,4.97,2008-09-23,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
1,16,2010,6.74,2010-09-20,true,5.00,7.00,"Guess, gaps exist",2018-10-18 13:56:39.000 +0200,
17,16,2011,6.72,2011-10-10,true,5.00,7.00,"Guess, gaps exist",2018-10-18 13:56:39.000 +0200,
22,14,2006,5.88,2006-10-04,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
24,14,2008,3.89,2008-09-11,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
29,15,2006,1.28,2006-09-26,,1.20,1.60,"",2018-10-18 13:56:39.000 +0200,
30,15,2007,1.16,2007-10-09,,0.80,1.20,"",2018-10-18 13:56:39.000 +0200,
31,15,2008,1.89,2008-09-17,,1.20,2.00,"",2018-10-18 13:56:39.000 +0200,
28,15,2005,2.27,2005-09-18,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
2,16,2009,6.99,2009-10-23,,5.00,7.00,ff,2018-10-18 13:56:39.000 +0200,
96,6,1991,3.37,1991-09-23,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
97,6,1992,3.40,1992-08-28,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
98,6,1993,3.45,1993-08-23,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
55,4,2010,4.44,2010-10-13,,4.00,6.20,"",2018-10-18 13:56:39.000 +0200,2021-02-15 17:29:22.000 +0100
105,6,2000,3.45,2000-08-30,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
117,39,2002,3.35,2002-09-03,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
118,39,2003,3.25,2003-08-31,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
119,39,2004,2.89,2004-09-13,,2.50,3.00,"",2018-10-18 13:56:39.000 +0200,
126,25,2001,3.47,2001-09-03,,2.59,3.59,"",2018-10-18 13:56:39.000 +0200,
127,25,2002,3.29,2002-09-08,,2.59,3.59,"",2018-10-18 13:56:39.000 +0200,
128,25,2003,3.46,2003-09-04,,2.59,3.59,"",2018-10-18 13:56:39.000 +0200,
129,25,2004,4.17,2004-10-05,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
130,25,2005,4.43,2005-09-22,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
131,25,2006,4.49,2006-09-06,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
132,25,2007,4.48,2007-09-16,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
133,25,2008,,,,,,"",2018-10-18 13:56:39.000 +0200,
134,25,2009,4.48,2009-08-20,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
145,23,2002,4.87,2002-09-08,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
146,23,2003,5.10,2003-08-30,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
147,23,2004,5.04,2004-09-18,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
148,23,2005,4.97,2005-09-14,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
149,23,2006,4.88,2006-10-05,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
150,23,2007,5.03,2007-08-24,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
152,23,2009,5.11,2009-09-05,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
153,23,2010,5.10,2010-09-03,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
160,25,2010,4.48,2010-09-05,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
161,25,2011,4.55,2011-08-18,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
163,8,2003,4.07,2003-10-11,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
164,8,2004,3.92,2004-10-25,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
165,8,2005,,,,,,"",2018-10-18 13:56:39.000 +0200,
167,8,2007,3.40,2007-10-06,true,3.00,3.50,No data in Sep,2018-10-18 13:56:39.000 +0200,
172,7,2002,2.88,2002-09-22,,2.30,3.30,"",2018-10-18 13:56:39.000 +0200,
173,7,2003,4.28,2003-10-04,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
175,7,2005,,,,,,"",2018-10-18 13:56:39.000 +0200,
179,7,2009,,,,,,"",2018-10-18 13:56:39.000 +0200,
140,23,1997,3.17,1997-08-18,,1.20,3.20,"",2018-10-18 13:56:39.000 +0200,
176,7,2006,3.19,2006-09-17,,2.30,3.30,"",2018-10-18 13:56:39.000 +0200,
141,23,1998,3.18,1998-08-14,,1.20,3.20,"",2018-10-18 13:56:39.000 +0200,
178,7,2008,3.27,2008-09-14,,2.30,3.30,"",2018-10-18 13:56:39.000 +0200,
99,6,1994,3.29,1994-10-07,true,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
101,6,1996,3.38,1996-08-13,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
100,6,1995,3.44,1995-08-15,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
102,6,1997,3.44,1997-09-12,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
103,6,1998,3.46,1998-08-18,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
104,6,1999,3.43,1999-08-29,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
106,6,2001,3.47,2001-09-05,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
108,6,2003,3.51,2003-08-10,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
107,6,2002,3.44,2002-09-04,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
111,6,2006,3.50,2006-09-12,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
109,6,2004,3.50,2004-09-07,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
112,6,2007,3.51,2007-08-19,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
113,6,2008,3.51,2008-09-03,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
114,6,2009,3.53,2009-09-03,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
115,6,2010,3.53,2010-08-26,,2.55,3.55,"",2018-10-18 13:56:39.000 +0200,
174,7,2004,3.71,2004-09-27,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
116,6,2011,3.75,2011-10-06,true,3.55,4.55,"",2018-10-18 13:56:39.000 +0200,
177,7,2007,3.24,2007-09-30,,2.30,3.30,"",2018-10-18 13:56:39.000 +0200,
142,23,1999,3.17,1999-08-28,,1.20,3.20,"",2018-10-18 13:56:39.000 +0200,
143,23,2000,4.98,2000-09-04,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
144,23,2001,5.04,2001-09-12,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
151,23,2008,5.02,2008-09-09,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
154,23,2011,5.15,2011-09-23,,3.20,5.20,"",2018-10-18 13:56:39.000 +0200,
137,22,2007,3.95,2007-09-03,true,3.00,4.00,"large thermistor spacing, not comparable to A",2018-10-18 13:56:39.000 +0200,
139,22,2009,5.21,2009-11-01,true,5.00,6.00,"large thermistor spacing, not comparable to A",2018-10-18 13:56:39.000 +0200,
156,12,2008,6.55,2008-11-04,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
138,22,2008,3.96,2008-09-11,true,3.00,4.00,"large thermistor spacing, not comparable to A",2018-10-18 13:56:39.000 +0200,
162,8,2002,3.39,2002-09-26,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
136,22,2006,3.88,2006-09-22,true,3.00,4.00,"large thermistor spacing, not comparable to A",2018-10-18 13:56:39.000 +0200,
135,22,2005,3.87,2005-09-15,true,3.00,4.00,"large thermistor spacing, not comparable to A",2018-10-18 13:56:39.000 +0200,
120,39,2005,2.49,2005-09-05,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
158,12,2010,6.82,2010-10-20,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
155,12,2007,6.45,2007-10-30,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
122,39,2007,2.47,2007-08-16,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
123,39,2008,2.48,2008-09-06,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
124,39,2009,2.48,2009-09-03,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
125,39,2010,2.43,2010-08-24,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
159,39,2011,2.47,2011-09-06,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
157,12,2009,6.91,2009-10-26,false,6.45,7.93,"",2018-10-18 13:56:39.000 +0200,
121,39,2006,2.48,2006-09-14,,2.00,2.50,"",2018-10-18 13:56:39.000 +0200,
166,8,2006,3.47,2006-09-24,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
168,8,2008,3.42,2008-09-20,true,3.00,3.50,No data after 15. Oct,2018-10-18 13:56:39.000 +0200,
170,8,2010,3.63,2010-10-04,,3.50,4.00,Thermistor at 4 m drifting?,2018-10-18 13:56:39.000 +0200,
197,9,2012,3.94,2012-08-26,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
201,18,2012,2.95,2012-08-24,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
209,25,2012,4.55,2012-08-19,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
211,24,2009,3.70,2009-10-08,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
212,24,2008,3.77,2008-09-07,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
213,24,2007,3.55,2007-09-04,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
215,24,2005,3.94,2005-09-16,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
216,24,2004,3.97,2004-09-15,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
217,24,2003,3.96,2003-09-05,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
218,24,2002,3.85,2002-09-17,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
220,24,2011,3.43,2011-09-16,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
221,24,2012,3.47,2012-09-15,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
222,9,2013,3.91,2013-09-09,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
231,18,2013,2.95,2013-09-07,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
235,25,2013,4.51,2013-06-22,,3.59,4.59,"",2018-10-18 13:56:39.000 +0200,
239,24,2013,,,,,,"",2018-10-18 13:56:39.000 +0200,
241,18,2014,3.00,2014-12-31,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
243,9,2014,3.93,2014-10-17,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
244,10,2014,4.98,2014-09-08,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
247,7,2014,3.27,2014-10-13,,2.30,3.30,"",2018-10-18 13:56:39.000 +0200,
256,15,2015,3.58,2015-12-16,,3.50,4.00,"",2018-10-18 13:56:39.000 +0200,
264,9,2015,3.97,2015-08-29,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
269,3,2009,5.10,2009-10-07,true,5.00,5.60,"Guess by PI, +/-0.1 m",2018-10-18 13:56:39.000 +0200,
254,8,2015,4.79,2015-09-30,,4.00,5.00,Thermistor at 4 m drifting?,2018-10-18 13:56:39.000 +0200,
203,7,2012,3.67,2012-09-26,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
249,7,2013,3.44,2013-09-16,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
253,7,2015,3.83,2015-09-16,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
204,7,2011,4.02,2011-10-10,,3.30,5.30,"",2018-10-18 13:56:39.000 +0200,
207,13,2012,3.30,2012-09-13,true,2.30,3.60,"Thermistor at 2.3 m not properly working, int",2018-10-18 13:56:39.000 +0200,
257,6,2015,4.37,2015-09-01,,3.55,4.55,"",2018-10-18 13:56:39.000 +0200,
