"id","name","alter_name","site_id","year","active","project","gtnp_id","gtnp_dms_id","calm_id","e","n","h","lat","lon","depth","inc","slp","asp","morphology","surf_type","pf_thick","class","comment","created_at","updated_at"
25,MUR_0499,"4/1999",17,1999,true,PERMOS,CH 35,1715,,791001.820,153696.540,2546.620,46.507340,9.821836,71.000,0,15,225,rock glacier,coarse blocks,>15 m,IB,"A good description of the borehole installation and instrumentation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 65-97. Coordinates remeasured in 2023.",2018-08-09 14:36:26.000 +0200,2023-10-27 14:14:56.000 +0200
24,RIT_0102,Ritigraben,19,2002,true,PERMOS,CH 15,869,CH12,631735.000,113751.000,2634.000,46.174694,7.849835,30.000,0,0,-999,rock glacier,coarse blocks,>13 m,SH,"Thermistor chain is being sheared off gradually from bottom upwards. Originally also measurements at 14, 16, 18, 20, 22.5, 25, 27.5 and 30 m depth.",2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:04.000 +0100
22,SBE_0190,VAW/Ursina 1,20,1990,true,PERMOS,CH 16,861,,790944.200,152590.100,2754.200,46.497379,9.926302,67.000,0,0,-999,rock glacier,coarse blocks,>16 m,SH,"Borehole originally from VAW and has been taken over by PHI in 2005. Borehole had been sheared off at around 16 m then. Data before 2005 and for other depths below 15.9 m are not included in the DB, and are probably also worthless according to PHI.;Data between 21.10.2010 and 02.10.2013 not included in the DB, since thermistors were drifting. New thermistor chain was installed on 02.10.2013. Before, measurements were taken at 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 7.95, 8.9, 9.9, 10.9, 11.9, 12.9, 13.9, 14.9, and 15.9 m depth. Since then, measurements are taken at 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 8.0, 10.0, 12.0 und 14.0 m depth. Re-installation of the chain after calibration on 2019-07-30 with new depths: -132 cm",2018-08-09 14:36:26.000 +0200,2022-03-30 15:39:33.000 +0200
23,SBE_0290,VAW/Ursina 2,20,1990,true,PERMOS,CH 17,860,CH11,790855.800,152745.000,2732.000,46.498797,9.925215,60.000,0,0,-999,rock glacier,coarse blocks,>25 m,IB,"Borehole originally from VAW and has been taken over by PHI in 1997, when it was also newly instrumented. Borehole had been sheared off at around 25 m then. Data before 1997 and for other depths below 25.2 m are not included in the DB, and are probably also worthless according to PHI.",2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:04.000 +0100
14,SCH_5000,Chain1,22,2000,true,PERMOS,CH 19,866,"",630348.708,156416.894,2909.296,46.558328,7.834420,101.000,0,30,45,crest,debris,>100 m,IB,"PACE borehole, prior to the renovation in summer 2011, the uppermost thermistor temperatures are also available in 6h intervals (data not in DB and never properly analyzed).",2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
16,SCH_5198,Chain3,22,1998,true,PERMOS,CH 18,865,CH2,630364.458,156410.487,2910.640,46.558281,7.834621,14.000,0,30,45,crest,debris,>13 m,SH,none,2018-08-09 14:36:26.000 +0200,2023-01-31 08:57:52.000 +0100
15,SCH_5200,Chain2,22,2000,true,PERMOS,CH 20,864,"",630348.060,156416.130,2909.296,46.558340,7.834400,100.000,30,30,45,crest,debris,>100 m,IB,"PACE borehole, prior to the renovation in summer 2011, the uppermost thermistor temperatures are also available in 6h intervals (data not in DB and never properly analyzed). Borehole filled with water and data become unusable in summer 2018. ",2018-08-09 14:36:26.000 +0200,2023-01-31 08:57:52.000 +0100
71,SCH_5318,SCH_5000_2,22,2018,true,PERMOS,,,,630343.160,156416.530,2907.000,46.558342,7.834336,32.160,0,,,crest,debris,,,Replacement borehole for SCH_5000; The lower part (ca. 10 m) of the tube/borehole filled with frozen water. The thermistor chain could only be lowered down to 22.5 m.,2018-09-27 09:40:40.000 +0200,2022-12-20 19:30:25.000 +0100
7,STO_6000,none,23,2000,true,PERMOS,CH 21,888,CH4,629868.850,92875.520,3412.000,45.986780,7.824190,100.000,0,8,180,crest,debris,>100 m,IB,PACE borehole,2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
8,STO_6100,none,23,2000,true,PERMOS,CH 22,887,,629867.750,92852.820,3410.000,45.986560,7.824050,31.000,0,8,180,crest,debris,>17 m,SH,,2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
12,TSA_0104,none,26,2004,true,PERMOS,CH 23,880,CH6,608500.000,106415.500,3040.000,46.109040,7.548442,20.000,0,30,270,crest,bedrock,>20 m,SH,"",2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
66,TSA_0117,Tsate_B2_2017,26,2017,true,PERMOS,,,,608500.000,106415.500,3050.000,,,20.000,0,,,crest,bedrock,,SH,"Replacement borehole for TSA_0104, 2019-10-14: concrete filling around the tube to prevent water infiltration from the surface.",2018-08-09 14:36:26.000 +0200,2021-04-13 10:25:54.000 +0200
