SiteIDYear,SiteID,Year,Date,Project,ObservEnv,ObservSoil,ObservVeg,LocEcoregion,LocLandmark,LatWGS84,LonWGS84,ElevEllip_m,PlotType,PlotSize,PhysiogName,TopoMacroName,TopoMicroName,Terrain Title,TkarstName,DrainageName,NWI_name,SoilMoistureName,WaterDep_cm,DomText_Name,SiteChem_name,SitepH,SiteEC_uScm,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilThawDep_cm,SoilCryoturb,SoilPFrost,SoilRockDep_cm,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,VegetationTitle,EcoStructName,VegMethod,Disturbance_Name
GOSL-T2-125-5S-2021,GOSL-T2-125-5S,2021,9/22/2021 0:00,NPS LTEM,Jorgenson,,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Veg,1 m rad,no data,no data,no data,Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-40,Peat,Acidic,999,999,999,999,,999,U,y,999,,,n,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Absent/none (mature vegetation)
Gosl-T2-G1-2021,Gosl-T2-G1,2021,9/23/2021 0:00,NPS LTEM,Jorgenson,Jorg Hill,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,202,Veg,2 m,Lowland,"Basin, Drained",Ice-cored mounds,Peat plateau Bog,Undergraded,Somewhat poorly drained,Upland,Moist,999,Peat,Acidic,999,999,999,40,,46,a,p,999,999,,n,n,Open Low Ericaceous Shrub Bog,Low Scrub,O,Absent/none (mature vegetation)
GOSL-T2-075-2014,GOSL-T2-075,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Soil-Veg,10,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-55,Peat,Acidic,999,999,999,999,999,56,n,Y,999,999,0,n,n,"Open Low Scrub, post burn or disturbance",Post-fire Scrub,PM,Absent/none (mature vegetation)
GOSL-T1-044-2014,GOSL-T1-044,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,Jorgenson/Schirokauer,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,212,Veg,5 m rad,no data,no data,no data,Peat plateau Bog,Not determined,Somewhat poorly drained,Saturated,Moist,999,Peat,Acidic,999,999,999,999,,46,U,Y,999,,,n,n,Black Spruce Woodland,Needleleaf Woodland,PM,Absent/none (mature vegetation)
GOSL-T2-187-2005,GOSL-T2-187,2005,9/24/2005 0:00,NSF PF Dynamics,Jorgenson,Jorg/Kanev,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Perm-Soil-Veg,5 m rad,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-70,Peat,Acidic,3.3,70,205,40,52,61,n,y,999,999,262,y,y,Black Spruce Woodland,Needleleaf Woodland,O,Absent/none (mature vegetation)
GOSL-T1-154-BM-2019,GOSL-T1-154-BM,2019,5/21/2019 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,208.679,BM,point,Lowland,no data,no data,Shore Fen,Not determined,no data,no data,no data,,No Data,no data,,,,,,999,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T1-165-2014,GOSL-T1-165,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,207.7692,Veg,3 m rad,Lacustrine,Flat Or Fluvial Related,Hummocks (mineral cored),Shore Fen,Shore Fen,no data,Seasonally flooded,no data,-10,Peat,Circumneutral,,,999,999,999,999,u,n,999,999,0,n,n,Subartic Lowland Sedge-Moss Bog Meadow,Bog Meadow,O,Thermokarst
GOSL-T2-060-ST-2005,GOSL-T2-060-ST,2005,8/24/2005 0:00,NSF PF Dynamics,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,196.714,Dlog,point,Lowland,no data,no data,Bogs,Not determined,no data,no data,no data,,No Data,no data,,,,,,88,,,,,,Y,,No data,No data,,Absent/none (mature vegetation)
GOSL-T2-100-2014,GOSL-T2-100,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,194.3108,TopoSurv,point,Lowland,no data,no data,Bogs,Not determined,no data,no data,no data,,No Data,no data,,,,,,999,,,,,,Y,,No data,No data,,Thermokarst
GOSL-T1-000-BM-2014,GOSL-T1-000-BM,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.89,201.3945,BM,point,Lowland,no data,no data,Bogs,Not determined,no data,Saturated,no data,,No Data,no data,,,,,,46,,,,,,n,,No data,No data,,Absent/none (mature vegetation)
