site_id,lat,lon,date,pf_observed,pf_depth,thaw_depth,obs_limit,method,source,candidate_type,absence_latitude_threshold_abs_ge,pedon_key,site_key,pedlabsampnum,upedonid,usiteid,country_key,state_key,county_key,mlra_key,ssa_key,frozen_horizons,all_horizons,n_frozen_layers,n_layers,corr_classification_name,corr_taxorder,corr_taxsuborder,corr_taxgrtgroup,corr_taxsubgrp,samp_classification_name,samp_taxorder,samp_taxsuborder,samp_taxgrtgroup,samp_taxsubgrp,SSL_classification_name,SSL_taxorder,SSL_taxsuborder,SSL_taxgrtgroup,SSL_taxsubgrp
S2018AK180009,63.74685287475586,-160.4332275390625,2018-06-03,0,,,25.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75786,136382,19N0115,S2018AK180009,S2018AK180009,244,3946,4276.0,11334.0,12008.0,,A,0,1,,,,,,"Medial-skeletal over loamy-skeletal, amorphic over isotic Typic Haplocryand",andisols,cryands,haplocryands,typic haplocryands,,,,,
S2018AK180032,63.705684661865234,-160.62945556640625,2018-06-07,0,,,50.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75791,136387,19N0120,S2018AK180032,S2018AK180032,244,3946,4276.0,11334.0,12008.0,,Bw,0,1,,,,,,"Ashy, amorphic, subgelic Typic Vitrigeland",andisols,gelands,vitrigelands,typic vitrigelands,,,,,
S2018AK180034,63.69841003417969,-160.62738037109375,2018-06-07,0,,,32.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75792,136388,19N0121,S2018AK180034,S2018AK180034,244,3946,4276.0,11334.0,12008.0,,Abjj,0,1,,,,,,"Medial over loamy-skeletal, amorphic over isotic Andic Humicryept",inceptisols,cryepts,humicryepts,andic humicryepts,,,,,
S2018AK180039,63.58539581298828,-160.57716369628906,2018-06-09,0,,,152.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75793,136389,19N0122,S2018AK180039,S2018AK180039,244,3946,4276.0,11334.0,12008.0,,2Bw2,0,1,,,,,,"Loamy-skeletal, isotic, nonacid Turbic Humigelept",inceptisols,gelepts,humigelepts,turbic humigelepts,,,,,
S2018AK180080,63.096954345703125,-160.9402313232422,2018-06-27,0,,,120.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75794,136390,19N0123,S2018AK180080,S2018AK180080,244,3946,4276.0,11334.0,12008.0,,2Bw2|3Bw3,0,2,,,,,,"Medial over loamy, amorphic over isotic Typic Haplocryand",andisols,cryands,haplocryands,typic haplocryands,,,,,
S2018AK180081,63.0965690612793,-160.9430694580078,2018-06-27,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,76022,136618,20N0321,S2018AK180081,S2018AK180081,244,3946,4276.0,11324.0,12008.0,,A2|3Bw1,0,2,,,,,,"Medial, amorphic Vitric Fulvicryand",andisols,cryands,fulvicryands,vitric fulvicryands,,,,,
S2018AK180116,63.61216735839844,-160.7937774658203,2018-06-04,0,,,152.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75787,136383,19N0116,S2018AK180116,S2018AK180116,244,3946,4276.0,11334.0,12008.0,,C2,0,1,,,,,,"Loamy-skeletal, isotic Folistic Dystrocryept",inceptisols,cryepts,dystrocryepts,folistic dystrocryepts,,,,,
S2018AK180118,63.60850524902344,-160.7920379638672,2018-06-04,0,,,22.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75788,136384,19N0117,S2018AK180118,S2018AK180118,244,3946,4276.0,11334.0,12008.0,,A,0,1,,,,,,"Loamy-skeletal, isotic Typic Humicryept",inceptisols,cryepts,humicryepts,typic humicryepts,,,,,
S2018AK185008,71.251637,-156.4518,2018-05-12,0,,,56.0,pit,NCSS_Lab_Data_Mart,absence,55.0,74901,135497,18N1937,S2018AK185008,S2018AK185008,244,3946,4277.0,11340.0,11383.0,,Oi|Oa,0,2,,,,,,"Mixed, dysic Typic Glacistel",gelisols,histels,glacistels,typic glacistels,,,,,
S2018AK185022,71.246493,-156.395675,2018-05-12,0,,,52.0,pit,NCSS_Lab_Data_Mart,absence,55.0,74909,135505,18N1945,S2018AK185022,S2018AK185022,244,3946,4277.0,11340.0,11383.0,,Oe|Cgjj/Oajj,0,2,,,,,,"Coarse-loamy, mixed, superactive, acid Glacic Histoturbels",gelisols,turbels,histoturbels,glacic histoturbels,,,,,
S2018AK185111,68.6258666,-149.5916611,2018-08-18,0,,,90.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75025,135621,19N0038,S2018AK185111,S2018AK185111,244,3946,4277.0,11339.0,11139.0,,A|Oe|Oa,0,3,,,,,,Dysic Typic Cryosaprist,,saprists,cryosaprists,typic cryosaprists,,,,,
S2018AK185113,68.615093,-149.335225,2018-08-16,0,,,140.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75026,135622,19N0039,S2018AK185113,S2018AK185113,244,3946,4277.0,11339.0,11139.0,,Oi|Oa|Cg1|Cg2,0,4,,,,,,"Loamy-skeletal, mixed, superactive, nonacid Histic Gelaquepts",inceptisols,aquepts,gelaquepts,histic gelaquepts,,,,,
S2018AK185117,68.604999,-149.4926775,2018-08-17,0,,,91.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75027,135623,19N0040,S2018AK185117,S2018AK185117,244,3946,4277.0,11339.0,11139.0,,Oi|A|A/Bwjj(A)|A/Bwjj(Bwjj)|BCw,0,5,,,,,,"Loamy-skeletal, mixed, superactive, acid Typic Gelaquepts",inceptisols,aquepts,gelaquepts,typic gelaquepts,,,,,
S2018AK185118,68.629877,-149.575813,2018-08-18,0,,,110.0,pit,NCSS_Lab_Data_Mart,absence,55.0,75028,135624,19N0041,S2018AK185118,S2018AK185118,244,3946,4277.0,11339.0,11139.0,,Oa|Cg1|Cg2,0,3,,,,,,"Loamy-skeletal, mixed, superactive, nonacid Typic Gelaquents",entisols,aquents,gelaquents,typic gelaquents,,,,,
