
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                       P5           P5           P5           P5           P5           P5           P5           P5                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             15.000       21.000       21.000       25.000       23.000       30.000       30.000       27.000                 
   MAXIMUM             41.000       43.000       48.000       49.000       47.000       51.000       52.000       50.000                 
   RANGE               26.000       22.000       27.000       24.000       24.000       21.000       22.000       23.000                 
   MEAN                28.650       30.800       33.250       34.550       35.000       38.500       40.100       36.667                 
   VARIANCE            46.555       43.326       53.145       42.682       45.789       42.263       40.621       41.486                 
   STANDARD DEV         6.823        6.582        7.290        6.533        6.767        6.501        6.373        6.441                 
   STD. ERROR           1.526        1.472        1.630        1.461        1.513        1.454        1.425        1.073                 
   SKEWNESS(G1)         0.153        0.270        0.305        0.503        0.265        0.399        0.201        0.549                 
   KURTOSIS(G2)        -0.566       -1.086       -0.730       -0.605       -0.899       -1.021       -0.999       -0.828                 
   SUM                573.000      616.000      665.000      691.000      700.000      770.000      802.000     1320.000                 
   C.V.                 0.238        0.214        0.219        0.189        0.193        0.169        0.159        0.176                 
   MEDIAN              27.500       30.000       33.500       34.500       34.500       38.000       39.500       35.000      no data    
                                                                                                                                         
