
                     660707       660714       660721       660728       660804       660811       660817       660826      
                     P7             P7           P7           P7           P7           P7           P7           P7        
   N OF CASES        20                 20           20           20           20           20           36           20    
   MINIMUM             19.000       22.000       24.000       26.000       28.000       28.000       26.000       28.000    
   MAXIMUM             31.000       33.000       38.000       40.000       41.000       41.000       45.000       40.000    
   RANGE               12.000       11.000       14.000       14.000       13.000       13.000       19.000       12.000    
   MEAN                24.350       26.050       28.650       30.500       32.600       32.050       32.472       31.550    
   VARIANCE            10.976        7.418       12.345       10.474        9.832       10.997       16.028        8.787    
   STANDARD DEV         3.313        2.724        3.514        3.236        3.136        3.316        4.003        2.964    
   STD. ERROR           0.741        0.609        0.786        0.724        0.701        0.742        0.667        0.663    
   SKEWNESS(G1)         0.423        0.796        1.061        1.391        1.054        1.012        1.387        1.211    
   KURTOSIS(G2)        -0.216        0.668        0.842        1.948        0.886        1.072        2.125        1.460    
   SUM                487.000      521.000      573.000      610.000      652.000      641.000     1169.000      631.000    
   C.V.                 0.136        0.105        0.123        0.106        0.096        0.103        0.123        0.094    
   MEDIAN              24.500       26.000       28.000       30.000       32.000       32.000       32.000       31.000    
                                                                                                                            
