
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                      P40          P40          P40          P40          P40          P40          P40          P40          P40        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM              5.000       13.000       14.000       18.000       21.000       20.000       21.000       20.000       19.000    
   MAXIMUM             17.000       34.000       36.000       48.000       50.000       51.000       52.000       53.000       57.000    
   RANGE               12.000       21.000       22.000       30.000       29.000       31.000       31.000       33.000       38.000    
   MEAN                 9.450       19.100       22.400       27.200       29.650       29.350       30.300       30.150       32.528    
   VARIANCE            10.787       41.147       38.989       69.853       78.450       80.766       82.537       79.187       82.428    
   STANDARD DEV         3.284        6.415        6.244        8.358        8.857        8.987        9.085        8.899        9.079    
   STD. ERROR           0.734        1.434        1.396        1.869        1.981        2.010        2.031        1.990        1.513    
   SKEWNESS(G1)         0.412        1.150        0.749        1.123        1.048        1.196        1.190        1.222        1.180    
   KURTOSIS(G2)        -0.566        0.235       -0.085        0.358       -0.040        0.423        0.319        0.652        0.671    
   SUM                189.000      382.000      448.000      544.000      593.000      587.000      606.000      603.000     1171.000    
   C.V.                 0.348        0.336        0.279        0.307        0.299        0.306        0.300        0.295        0.279    
   MEDIAN               9.500       17.000       20.500       25.000       26.000       26.500       27.000       27.500       30.500    
                                                                                                                                         
