
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P44          P44          P44          P44          P44          P44          P44          P44        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             20.000       23.000       28.000       28.000       28.000       30.000       29.000       29.000    
   MAXIMUM             40.000       42.000       47.000       50.000       50.000       50.000       51.000       51.000    
   RANGE               20.000       19.000       19.000       22.000       22.000       20.000       22.000       22.000    
   MEAN                26.900       31.800       34.700       35.800       37.100       36.800       36.750       37.350    
   VARIANCE            32.305       35.642       27.905       40.695       38.726       38.484       33.964       46.555    
   STANDARD DEV         5.684        5.970        5.283        6.379        6.223        6.204        5.828        6.823    
   STD. ERROR           1.271        1.335        1.181        1.426        1.392        1.387        0.971        1.526    
   SKEWNESS(G1)         0.793        0.349        0.801        0.746        0.509        0.850        0.756        0.605    
   KURTOSIS(G2)        -0.372       -1.117       -0.410       -0.585       -0.843       -0.387       -0.430       -0.849    
   SUM                538.000      636.000      694.000      716.000      742.000      736.000     1323.000      747.000    
   C.V.                 0.211        0.188        0.152        0.178        0.168        0.169        0.159        0.183    
   MEDIAN              24.000       30.000       32.500       33.000       34.500       34.000       34.500       34.500    
                                                                                                                            
