
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                       P5           P5           P5           P5           P5           P5           P5           P5           P5           P5           P5          no data       P5        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              8.000       13.000       18.000       16.000       23.000       25.000       28.000       32.000       29.000       30.000       30.000                   28.000    
   MAXIMUM             24.000       39.000       41.000       42.000       45.000       45.000       45.000       52.000       48.000       49.000       54.000                   44.000    
   RANGE               16.000       26.000       23.000       26.000       22.000       20.000       17.000       20.000       19.000       19.000       24.000                   16.000    
   MEAN                12.700       23.350       28.700       30.000       32.950       34.200       36.700       39.550       38.600       40.500       38.444                   36.200    
   VARIANCE            17.589       35.082       35.063       48.211       35.945       38.063       26.642       35.313       27.516       25.105       28.540                   30.800    
   STANDARD DEV         4.194        5.923        5.921        6.943        5.995        6.170        5.162        5.942        5.246        5.011        5.342                    5.550    
   STD. ERROR           0.938        1.324        1.324        1.553        1.341        1.380        1.154        1.329        1.173        1.120        0.890                    1.241    
   SKEWNESS(G1)         0.967        0.978        0.284        0.023        0.379        0.247        0.287        0.531        0.167       -0.062        0.774                    0.158    
   KURTOSIS(G2)         0.932        0.890       -0.465       -0.506       -0.722       -1.101       -0.949       -0.712       -0.792       -0.457        0.529                   -1.486    
   SUM                254.000      467.000      574.000      600.000      659.000      684.000      734.000      791.000      772.000      810.000     1384.000                  724.000    
   C.V.                 0.330        0.254        0.206        0.231        0.182        0.180        0.141        0.150        0.136        0.124        0.139                    0.153    
   MEDIAN              13.000       22.000       29.000       30.500       32.000       34.000       36.000       38.000       38.000       40.000       38.000                   36.000    
                                                                                                                                                                                             
