
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P40          P40          P40          P40          P40          P40          P40          P40          P40          P40          P40          no data      P40        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                        20    
   MINIMUM              1.000        8.000       14.000       20.000       22.000       23.000       24.000       27.000       28.000       30.000       27.000                    26.000    
   MAXIMUM             17.000       39.000       44.000       48.000       51.000       53.000       53.000       52.000       55.000       55.000       58.000                    53.000    
   RANGE               16.000       31.000       30.000       28.000       29.000       30.000       29.000       25.000       27.000       25.000       31.000                    27.000    
   MEAN                 7.950       16.800       24.650       28.350       30.350       31.600       34.250       35.950       37.350       37.700       38.306                    33.700    
   VARIANCE            10.892       60.379       79.397       67.503       70.766       69.937       67.355       55.945       63.608       56.537       57.590                    64.326    
   STANDARD DEV         3.300        7.770        8.911        8.216        8.412        8.363        8.207        7.480        7.975        7.519        7.589                     8.020    
   STD. ERROR           0.738        1.738        1.992        1.837        1.881        1.870        1.835        1.672        1.783        1.681        1.265                     1.793    
   SKEWNESS(G1)         0.793        1.434        0.879        1.178        1.132        1.216        0.867        0.901        0.919        1.021        1.000                     1.141    
   KURTOSIS(G2)         1.745        1.617       -0.093        0.328        0.324        0.634       -0.048       -0.166       -0.132       -0.043        0.154                     0.246    
   SUM                159.000      336.000      493.000      567.000      607.000      632.000      685.000      719.000      747.000      754.000     1379.000                   674.000    
   C.V.                 0.415        0.463        0.361        0.290        0.277        0.265        0.240        0.208        0.214        0.199        0.198                     0.238    
   MEDIAN               8.000       14.000       23.000       25.000       28.000       29.000       32.000       34.000       35.000       34.500       36.000                    30.500    
                                                                                                                                                                                             
