
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                       P1           P1           P1           P1           P1           P1           P1           P1           P1        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM             10.000       11.000       12.000       11.000       12.000       15.000       21.000       17.000       12.000    
   MAXIMUM             26.000       32.000       34.000       35.000       36.000       36.000       40.000       42.000       50.000    
   RANGE               16.000       21.000       22.000       24.000       24.000       21.000       19.000       25.000       38.000    
   MEAN                18.650       23.850       23.300       26.100       27.600       28.000       29.250       29.700       31.306    
   VARIANCE            28.239       39.503       35.589       43.253       39.411       29.895       28.513       47.063       57.304    
   STANDARD DEV         5.314        6.285        5.966        6.577        6.278        5.468        5.340        6.860        7.570    
   STD. ERROR           1.188        1.405        1.334        1.471        1.404        1.223        1.194        1.534        1.262    
   SKEWNESS(G1)        -0.262       -0.236        0.027       -0.466       -0.620       -0.513        0.507        0.064        0.133    
   KURTOSIS(G2)        -1.173       -0.900       -0.597       -0.347       -0.054       -0.362       -0.548       -0.842        0.688    
   SUM                373.000      477.000      466.000      522.000      552.000      560.000      585.000      594.000     1127.000    
   C.V.                 0.285        0.264        0.256        0.252        0.227        0.195        0.183        0.231        0.242    
   MEDIAN              19.500       24.500       24.000       26.500       27.500       29.500       29.500       30.000       31.500    
                                                                                                                                         
