
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P16          P16          P16          P16          P16          P16          P16          P16          P16          P16          P16          no data      P16        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000        5.000        9.000       15.000       19.000       21.000       25.000       30.000       30.000       33.000       33.000                   27.000    
   MAXIMUM              7.000       15.000       26.000       31.000       36.000       37.000       43.000       49.000       47.000       54.000       56.000                   48.000    
   RANGE                7.000       10.000       17.000       16.000       17.000       16.000       18.000       19.000       17.000       21.000       23.000                   21.000    
   MEAN                 2.000       10.750       18.800       24.000       28.800       30.700       34.350       38.700       38.750       43.400       43.611                   36.400    
   VARIANCE             7.789        8.513       25.537       21.263       19.011       18.958       24.555       25.484       30.092       33.832       39.044                   25.726    
   STANDARD DEV         2.791        2.918        5.053        4.611        4.360        4.354        4.955        5.048        5.486        5.816        6.249                    5.072    
   STD. ERROR           0.624        0.652        1.130        1.031        0.975        0.974        1.108        1.129        1.227        1.301        1.041                    1.134    
   SKEWNESS(G1)         0.894       -0.555       -0.334       -0.367       -0.237       -0.274        0.054        0.077       -0.112       -0.095       -0.025                    0.160    
   KURTOSIS(G2)        -0.849       -0.567       -0.973       -0.540       -0.383       -0.460       -0.849       -0.678       -1.264       -0.972       -1.132                   -0.132    
   SUM                 40.000      215.000      376.000      480.000      576.000      614.000      687.000      774.000      775.000      868.000     1570.000                  728.000    
   C.V.                 1.395        0.271        0.269        0.192        0.151        0.142        0.144        0.130        0.142        0.134        0.143                    0.139    
   MEDIAN               0.000       11.500       19.000       24.000       29.000       31.000       33.500       38.000       39.000       44.000       44.000                   36.000    
                                                                                                                                                                                             
