
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P17          P17          no data    
   N OF CASES                                                                                                                                                36           36                 
   MINIMUM                                                                                                                                               27.000       27.000                 
   MAXIMUM                                                                                                                                               56.000       56.000                 
   RANGE                                                                                                                                                 29.000       29.000                 
   MEAN                                                                                                                                                  41.556       41.556                 
   VARIANCE                                                                                                                                              44.883       44.883                 
   STANDARD DEV                                                                                                                                           6.699        6.699                 
   STD. ERROR                                                                                                                                             1.117        1.117                 
   SKEWNESS(G1)                                                                                                                                           0.118        0.118                 
   KURTOSIS(G2)                                                                                                                                           0.429        0.429                 
   SUM                                                                                                                                                 1496.000     1496.000                 
   C.V.                                                                                                                                                   0.161        0.161                 
   MEDIAN                                                                                                                                                41.500       41.500                 
                                                                                                                                                                                             
