
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P45          P45          P45          P45          P45          P45          P45          P45          P45          P45          P45          no data      P45        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000        5.000       14.000       20.000       22.000       23.000       26.000       27.000       30.000       31.000       29.000                   27.000    
   MAXIMUM              8.000       23.000       26.000       28.000       33.000       32.000       34.000       35.000       39.000       41.000       41.000                   38.000    
   RANGE                8.000       18.000       12.000        8.000       11.000        9.000        8.000        8.000        9.000       10.000       12.000                   11.000    
   MEAN                 1.650       13.300       19.750       23.650       27.500       28.150       31.300       32.700       34.800       36.150       35.417                   31.700    
   VARIANCE             4.450       27.905       15.250        6.345        7.632        5.713        4.537        4.432        5.432        6.029        9.221                    9.274    
   STANDARD DEV         2.110        5.283        3.905        2.519        2.763        2.390        2.130        2.105        2.331        2.455        3.037                    3.045    
   STD. ERROR           0.472        1.181        0.873        0.563        0.618        0.534        0.476        0.471        0.521        0.549        0.506                    0.681    
   SKEWNESS(G1)         1.442        0.025       -0.014        0.366       -0.369       -0.490       -0.772       -1.191       -0.469        0.085       -0.305                    0.109    
   KURTOSIS(G2)         1.945       -0.818       -1.205       -0.961        0.028       -0.412        0.109        0.886        0.048       -0.272       -0.212                   -0.692    
   SUM                 33.000      266.000      395.000      473.000      550.000      563.000      626.000      654.000      696.000      723.000     1275.000                  634.000    
   C.V.                 1.278        0.397        0.198        0.107        0.100        0.085        0.068        0.064        0.067        0.068        0.086                    0.096    
   MEDIAN               1.000       14.000       21.000       23.000       28.000       28.000       32.000       33.000       35.000       36.000       36.000                   32.000    
                                                                                                                                                                                             
