
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P34          P34          P34          P34          P34          P34          P34          P34          P34          P34          P34          no data      P34        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              3.000       10.000       15.000       19.000       23.000       23.000       28.000       29.000       29.000       30.000       29.000                   26.000    
   MAXIMUM             17.000       19.000       28.000       30.000       33.000       34.000       36.000       39.000       39.000       41.000       42.000                   42.000    
   RANGE               14.000        9.000       13.000       11.000       10.000       11.000        8.000       10.000       10.000       11.000       13.000                   16.000    
   MEAN                 9.250       14.100       20.950       23.500       26.850       28.050       31.050       32.950       32.850       34.400       34.833                   31.950    
   VARIANCE            15.987        5.463       12.261       10.474        6.661        8.997        5.418        9.103        7.713        8.253        8.200                   22.892    
   STANDARD DEV         3.998        2.337        3.502        3.236        2.581        3.000        2.328        3.017        2.777        2.873        2.864                    4.785    
   STD. ERROR           0.894        0.523        0.783        0.724        0.577        0.671        0.521        0.675        0.621        0.642        0.477                    1.070    
   SKEWNESS(G1)         0.329        0.257       -0.093        0.311        0.905        0.383        0.580        0.698        0.718        0.393        0.303                    0.810    
   KURTOSIS(G2)        -0.749       -0.391       -0.674       -0.718        0.305       -0.611       -0.527       -0.488       -0.320       -0.474        0.176                   -0.435    
   SUM                185.000      282.000      419.000      470.000      537.000      561.000      621.000      659.000      657.000      688.000     1254.000                  639.000    
   C.V.                 0.432        0.166        0.167        0.138        0.096        0.107        0.075        0.092        0.085        0.084        0.082                    0.150    
   MEDIAN               9.000       14.000       21.500       23.500       26.000       27.500       31.000       32.000       32.000       34.000       35.000                   30.000    
                                                                                                                                                                                             
