    171.25      3.67      2.91      1.64       .84      -.34     -1.11     -1.73     -2.17     -2.41     -3.02     -4.22     -5.26     -6.23
    171.33      4.86      4.22      2.01       .83      -.34     -1.09     -1.72     -2.17     -2.41     -3.00     -4.23     -5.26     -6.21
    171.42      5.89      4.97      2.31       .92      -.35     -1.08     -1.70     -2.15     -2.41     -2.98     -4.21     -5.22     -6.22
    171.50      5.53      5.69      2.82      1.09      -.33     -1.04     -1.68     -2.13     -2.38     -2.96     -4.19     -5.22     -6.20
    171.58      4.41      5.41      2.98      1.20      -.31     -1.04     -1.66     -2.10     -2.38     -2.94     -4.19     -5.22     -6.15
    171.67      5.49      5.78      3.05      1.27      -.31     -1.04     -1.66     -2.10     -2.38     -2.94     -4.19     -5.20     -6.15
    171.75      5.28      6.70      3.44      1.41      -.29     -1.04     -1.66     -2.10     -2.36     -2.94     -4.19     -5.18     -6.15
    171.83      3.28      4.59      2.90      1.34      -.31     -1.00     -1.64     -2.10     -2.36     -2.92     -4.19     -5.18     -6.15
    171.92      2.03      2.82      2.13      1.16      -.31      -.99     -1.64     -2.05     -2.33     -2.90     -4.18     -5.17     -6.15
    172.00      1.24      1.85      1.60       .95      -.30      -.99     -1.61     -2.05     -2.33     -2.89     -4.16     -5.17     -6.12
    172.08       .50      1.06      1.15       .73      -.30      -.99     -1.61     -2.05     -2.33     -2.89     -4.14     -5.15     -6.10
    172.17       .23       .71       .80       .53      -.30      -.99     -1.61     -2.05     -2.29     -2.89     -4.14     -5.12     -6.09
    172.25       .16       .55       .58       .38      -.34      -.99     -1.61     -2.04     -2.28     -2.87     -4.13     -5.12     -6.09
    172.33       .86      1.19       .60       .30      -.34      -.99     -1.59     -2.04     -2.28     -2.85     -4.13     -5.12     -6.09
    172.42      3.41      3.77      1.31       .40      -.34      -.99     -1.57     -2.04     -2.28     -2.85     -4.09     -5.08     -6.09
    172.50      7.70      8.89      3.24       .87      -.31      -.99     -1.58     -2.01     -2.25     -2.86     -4.10     -5.08     -6.06
